Date/Time Start,2019-02-21 21:00:51.452347
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,3.0,221,1.0,221,0.043623604554666115,0.0,221
1,2.0,412,1.0,412,0.04259152507594743,0.0,412
2,0.0,532,1.0,532,0.04491878024612864,0.0,532
3,4.0,792,1.0,792,0.04496473475144459,0.0,792
4,3.0,1019,0.9999829000000006,1019,0.04400814726686163,0.000999246038663681,1019
5,3.0,1239,0.9997849000000071,1239,0.026144576363202016,0.005899090296332526,1239
6,4.0,1500,0.9995500000000148,1500,0.03190233505070495,0.005898082748341925,1500
7,0.0,1615,0.9994465000000182,1615,0.029820374010697655,0.006440889329520439,1615
8,3.0,1832,0.9992512000000247,1832,0.04781071524981255,0.005855918356602802,1832
9,5.0,2116,0.9989956000000331,2116,0.03969392897954709,0.006928571619284131,2116
10,1.0,2276,0.9988516000000378,2276,0.035547421692172065,0.006980931113059796,2276
11,6.0,2632,0.9985312000000484,2632,0.022327639333566317,0.006951544864666962,2632
12,3.0,2861,0.9983251000000551,2861,0.004429796430501908,0.005940024561732174,2861
13,6.0,3200,0.9980200000000652,3200,0.034195360090242904,0.005163727439968629,3200
14,0.0,3304,0.9979264000000683,3304,0.047819168450167544,0.006600399885760803,3304
15,3.0,3533,0.997720300000075,3533,0.031280497023957785,0.0071447876681546745,3533
16,3.0,3745,0.9975295000000813,3745,0.04116307141452606,0.006970811243847046,3745
17,2.0,3930,0.9973630000000868,3930,0.018009174529563736,0.00567806839653467,3930
18,1.0,4056,0.9972496000000906,4056,0.043256331057775585,0.006492614994328058,4056
19,3.0,4258,0.9970678000000965,4258,0.04322643115157538,0.006141350637875857,4258
20,1.0,4413,0.9969283000001011,4413,0.029353142000975146,0.006238270519468407,4413
21,0.0,4542,0.996812200000105,4542,0.03383466677538069,0.007397800983755954,4542
22,1.0,4707,0.9966637000001098,4707,0.025798917810122172,0.007174739574464073,4707
23,5.0,5042,0.9963622000001198,5042,0.020454102155488374,0.005973288750367407,5042
24,3.0,5268,0.9961588000001265,5268,0.04089662886793371,0.004875849744158723,5268
25,1.0,5417,0.9960247000001309,5417,0.04354150627033423,0.007193464001622317,5417
26,3.0,5657,0.995808700000138,5657,0.045593300570423406,0.006080715679672721,5657
27,0.0,5775,0.9957025000001415,5775,0.017355776995704588,0.0065355111514151555,5775
28,2.0,5945,0.9955495000001465,5945,0.028854561391670037,0.005962865136001817,5945
29,3.0,6163,0.995353300000153,6163,0.03429047962428507,0.007741463912780175,6163
30,3.0,6384,0.9951544000001595,6384,0.04590861681359926,0.006645451690221052,6384
