Date/Time Start,2019-02-20 20:50:35.760713
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,0.0,123,1.0,123,0.12638908897231266,0.0,123
1,2.0,294,1.0,294,0.12018167859281016,0.0,294
2,4.0,577,1.0,577,0.12060553296189426,0.0,577
3,6.0,922,1.0,922,0.12239313235749369,0.0,922
4,1.0,1050,1.0,1050,0.1226923810900189,0.0,1050
5,8.0,1560,1.0,1560,0.12407554176216032,0.0,1560
6,1.0,1686,1.0,1686,0.12272261378784029,0.0,1686
7,1.0,1871,1.0,1871,0.12544635816200359,0.0,1871
8,3.0,2102,1.0,2102,0.12213245095499667,0.0,2102
9,3.0,2325,1.0,2325,0.12485597543251355,0.0,2325
