Date/Time Start,2019-02-21 19:25:25.563039
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,2.0,187,1.0,187,0.087701553448955,0.0,187
1,0.0,312,1.0,312,0.08811280345916749,0.0,312
2,2.0,508,1.0,508,0.08384074103467319,0.0,508
3,3.0,744,1.0,744,0.09082151220132739,0.0,744
4,2.0,904,1.0,904,0.08789311381988227,0.0,904
5,3.0,1116,0.9998947000000035,1116,0.09355938476773928,0.003263261987195568,1116
6,1.0,1262,0.9997633000000078,1262,0.09815915525980191,0.005682085372739007,1262
7,2.0,1456,0.9995887000000135,1456,0.09696469121833437,0.005891614782384065,1456
8,3.0,1678,0.9993889000000201,1678,0.09097234874561026,0.004341217735264427,1678
9,2.0,1844,0.999239500000025,1844,0.09599241035350833,0.005491222846202103,1844
10,3.0,2073,0.9990334000000318,2073,0.09689658252302737,0.00587671613701028,2073
11,4.0,2302,0.9988273000000386,2302,0.09417374230368168,0.005748062628037396,2302
12,4.0,2567,0.9985888000000465,2567,0.09512191004348251,0.0052558685782746325,2567
13,6.0,2932,0.9982603000000573,2932,0.09703864122498525,0.0064060006045883085,2932
14,2.0,3112,0.9980983000000626,3112,0.10194313161902957,0.006044423029420108,3112
15,2.0,3285,0.9979426000000677,3285,0.10188098609275212,0.005329126458012969,3285
16,2.0,3476,0.9977707000000734,3476,0.10083311164254294,0.007379901760570304,3476
17,8.0,3939,0.9973540000000871,3939,0.09807580686928644,0.006188249713293528,3939
18,1.0,4070,0.997236100000091,4070,0.10199476187010757,0.006650345015460857,4070
19,2.0,4252,0.9970723000000964,4252,0.09699851339989966,0.00642856846480844,4252
20,1.0,4414,0.9969265000001012,4414,0.09799505356285307,0.006070786115798663,4414
21,3.0,4656,0.9967087000001084,4656,0.09868494587496293,0.006449821707726435,4656
22,3.0,4862,0.9965233000001145,4862,0.1016787110095464,0.007280913005929196,4862
23,2.0,5053,0.9963514000001201,5053,0.09941891420886155,0.007098455471664738,5053
24,4.0,5322,0.9961093000001281,5322,0.09787388830047558,0.007103378995229511,5322
25,1.0,5453,0.995991400000132,5453,0.10031860361572441,0.007125497163077443,5453
26,5.0,5762,0.9957133000001411,5762,0.09702952239891471,0.00624724626198061,5762
27,3.0,5969,0.9955270000001473,5969,0.09619431615163739,0.006641453827976936,5969
28,3.0,6210,0.9953101000001544,6210,0.09417453547359997,0.005642150447380133,6210
29,2.0,6443,0.9951004000001613,6443,0.09619476124964046,0.0059682055750697885,6443
30,3.0,6649,0.9949150000001674,6649,0.0975875444348576,0.007028332157981655,6649
31,4.0,6899,0.9946900000001748,6899,0.09616493436694146,0.0060359931648054045,6899
32,4.0,7190,0.9944281000001834,7190,0.10124623483603763,0.006602234567516152,7190
33,1.0,7328,0.9943039000001875,7328,0.09921939422686894,0.007235850651341025,7328
34,2.0,7513,0.994137400000193,7513,0.09678398213676505,0.006234762018455611,7513
35,2.0,7686,0.9939817000001981,7686,0.09492212676071707,0.006204506569412916,7686
36,0.0,7805,0.9938746000002017,7805,0.0994429364174354,0.006053743042188017,7805
37,3.0,8037,0.9936658000002085,8037,0.09422317346365287,0.006057768717647408,8037
38,5.0,8371,0.9933652000002184,8371,0.09833844586046869,0.006680160286275772,8371
39,1.0,8501,0.9932482000002223,8501,0.09669336424424098,0.00613060587907407,8501
40,1.0,8631,0.9931312000002261,8631,0.09577054943029698,0.005070005759877788,8631
41,3.0,8820,0.9929611000002317,8820,0.09600552001958171,0.006688128392467406,8820
42,0.0,8930,0.992862100000235,8930,0.09931815564632415,0.006373409133117423,8930
43,3.0,9150,0.9926641000002415,9150,0.09622237008403647,0.00617848635599578,9150
44,1.0,9317,0.9925138000002465,9317,0.09412168952340852,0.005456828504441704,9317
45,4.0,9616,0.9922447000002553,9616,0.09414069733292761,0.00554882359135923,9616
46,2.0,9780,0.9920971000002602,9780,0.09679371854517518,0.006646955698869999,9780
47,2.0,9940,0.9919531000002649,9940,0.09255582368932665,0.005021263382866436,9940
48,4.0,10196,0.9917227000002725,10196,0.09879777004243806,0.005576421350257377,10196
49,1.0,10343,0.9915904000002769,10343,0.0992179627017099,0.0041144973470274675,10343
50,1.0,10484,0.991463500000281,10484,0.10286744874208531,0.0056941497883302656,10484
51,3.0,10735,0.9912376000002885,10735,0.10509405825361312,0.006488811621887314,10735
52,1.0,10908,0.9910819000002936,10908,0.1051766825032372,0.006546779789738465,10908
