Date/Time Start,2019-02-20 20:19:35.081452
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,1.0,151,1.0,151,0.05389013504054373,0.0,151
1,2.0,313,1.0,313,0.053377206770726195,0.0,313
2,3.0,532,1.0,532,0.05298617152182479,0.0,532
3,4.0,791,1.0,791,0.05249439756670053,0.0,791
4,2.0,956,1.0,956,0.05400643213228746,0.0,956
5,4.0,1259,1.0,1259,0.054485598240945204,0.0,1259
6,3.0,1504,1.0,1504,0.05339506154461783,0.0,1504
7,0.0,1624,1.0,1624,0.05282269266123573,0.0,1624
8,0.0,1734,1.0,1734,0.052932218021967195,0.0,1734
9,1.0,1868,1.0,1868,0.05380289812586201,0.0,1868
10,2.0,2054,1.0,2054,0.05410949280986222,0.0,2054
11,3.0,2272,1.0,2272,0.05308250187460436,0.0,2272
12,4.0,2518,1.0,2518,0.05156124916260805,0.0,2518
13,4.0,2753,1.0,2753,0.05100614894577797,0.0,2753
14,2.0,2914,1.0,2914,0.05263974089522539,0.0,2914
