Date/Time Start,2019-02-21 22:36:39.717016
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,0.0,100,1.0,100,0.012964772097766399,0.0,100
1,7.0,534,1.0,534,0.014620443838240776,0.0,534
2,2.0,707,1.0,707,0.015386543543524825,0.0,707
3,1.0,834,1.0,834,0.012874168087178327,0.0,834
4,6.0,1201,0.999819100000006,1201,0.019023389669708724,0.004039652828359184,1201
5,2.0,1403,0.9996373000000119,1403,0.04022530417677273,0.007374818196838911,1403
6,2.0,1603,0.9994573000000179,1603,0.05719286017585546,0.007700817232152986,1603
7,6.0,1984,0.9991144000000292,1984,0.0537246726111086,0.0071273447366148645,1984
8,6.0,2320,0.9988120000000391,2320,0.047560438867852405,0.0072707773795118984,2320
9,2.0,2523,0.9986293000000451,2523,0.030277666774592156,0.008677834911256732,2523
10,4.0,2796,0.9983836000000532,2796,0.01818570766884547,0.006884775729554099,2796
11,3.0,3028,0.9981748000000601,3028,0.02798427009938991,0.006426770789905026,3028
12,0.0,3142,0.9980722000000635,3142,0.004183505285988774,0.006495954906217537,3142
13,6.0,3494,0.9977554000000739,3494,0.028812240838306025,0.007289470246364131,3494
14,2.0,3671,0.9975961000000791,3671,0.02906092198954969,0.006941167391988082,3671
15,4.0,3932,0.9973612000000869,3932,0.03904535079203632,0.007393674088178793,3932
16,1.0,4077,0.9972307000000912,4077,0.029877599553558332,0.006883063074351882,4077
17,4.0,4339,0.9969949000000989,4339,0.010979893912369285,0.006723616827433291,4339
18,1.0,4473,0.9968743000001029,4473,0.03516289120915332,0.00726072248827263,4473
19,2.0,4633,0.9967303000001076,4633,0.02343267492833547,0.006472349542536904,4633
20,10.0,5191,0.9962281000001242,5191,0.033266445366485466,0.006781722399574395,5191
21,3.0,5401,0.9960391000001304,5401,0.033969963242166806,0.00770213006007474,5401
22,8.0,5873,0.9956143000001444,5873,0.03155218931980494,0.007399037727968095,5873
23,2.0,6043,0.9954613000001494,6043,0.011046842436360962,0.006533276137120351,6043
24,1.0,6196,0.995323600000154,6196,-0.001369492875205146,0.006276730782606523,6196
25,1.0,6317,0.9952147000001575,6317,0.023732087547960114,0.006294450915417603,6317
26,2.0,6489,0.9950599000001626,6489,0.042496340963881205,0.00705570517937642,6489
27,2.0,6675,0.9948925000001682,6675,0.03740339739228128,0.007069357219616875,6675
28,1.0,6820,0.9947620000001725,6820,0.021890938410471225,0.006675696290240639,6820
29,4.0,7092,0.9945172000001805,7092,0.040440843265969306,0.006655459562352917,7092
30,2.0,7276,0.994351600000186,7276,0.05669445569788956,0.006921103663681488,7276
31,6.0,7609,0.9940519000001958,7609,0.03943602749154911,0.008104030616267154,7609
32,1.0,7779,0.9938989000002009,7779,0.03953701223739806,0.006880320600291324,7779
33,5.0,8092,0.9936172000002101,8092,0.03626532767551204,0.007432048389655218,8092
34,2.0,8272,0.9934552000002155,8272,0.03216756725580328,0.00701668350448017,8272
35,1.0,8413,0.9933283000002197,8413,0.030134194629623533,0.007147269187237512,8413
36,3.0,8630,0.9931330000002261,8630,0.03071868756983412,0.0062642981476512035,8630
37,0.0,8732,0.9930412000002291,8732,0.046910044362805055,0.0068487115158681194,8732
38,4.0,8977,0.9928207000002364,8977,0.026890321172849865,0.005958141810637875,8977
