Date/Time Start,2019-02-22 13:37:49.975504
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,7.0,278,1.0,278,0.030851875632840524,0.0,278
1,6.0,644,1.0,644,0.030432276570243263,0.0,644
2,21.0,1159,0.9998569000000047,1159,0.047396832136708554,0.004751647239012951,1159
3,28.0,1636,0.9994276000000188,1636,0.07619676341456937,0.01498600566919319,1636
4,7.0,2010,0.9990910000000299,2010,0.08036375774897356,0.017676598406161797,2010
5,9.0,2266,0.9988606000000375,2266,0.08158815049682744,0.01687058405195785,2266
6,6.0,2648,0.9985168000000488,2648,0.08177475664394064,0.01511799969971887,2648
7,18.0,3060,0.998146000000061,3060,0.08579665859166569,0.015792487888513312,3060
8,6.0,3528,0.9977248000000749,3528,0.08348087228548068,0.01569772083076582,3528
9,7.0,3833,0.997450300000084,3833,0.07770051362573123,0.014790025832356703,3833
10,20.0,4201,0.9971191000000948,4201,0.07802203642811788,0.013116817845279318,4201
11,24.0,4702,0.9966682000001097,4702,0.09415011735495454,0.01617730488986039,4702
12,6.0,5103,0.9963073000001216,5103,0.09252601909332739,0.015714435373408837,5103
13,29.0,5498,0.9959518000001333,5498,0.09697966057854362,0.015996449319439457,5498
14,20.0,5811,0.9956701000001426,5811,0.11015961596522088,0.0181648868687314,5811
15,6.0,6183,0.9953353000001536,6183,0.10849547551404085,0.017797057602071998,6183
16,23.0,6546,0.9950086000001643,6546,0.10003888528003838,0.01689018765228708,6546
17,6.0,6797,0.9947827000001718,6797,0.092663608328161,0.01551815844616348,6797
18,6.0,7159,0.9944569000001825,7159,0.09166212903737034,0.01681217457544385,7159
19,20.0,7541,0.9941131000001938,7541,0.09961277990558072,0.01670209487521636,7541
20,6.0,8009,0.9936919000002077,8009,0.08773565293950403,0.016810817490707442,8009
21,38.0,8440,0.9933040000002205,8440,0.0897201530401986,0.01702011174506404,8440
22,6.0,8780,0.9929980000002305,8780,0.08801372202441973,0.018221788421643022,8780
23,7.0,9152,0.9926632000002416,9152,0.10203232951161842,0.01811092179332752,9152
24,6.0,9610,0.9922510000002551,9610,0.09006128900208588,0.017818446115435073,9610
25,9.0,9863,0.9920233000002626,9863,0.08954551841018228,0.015640075114213312,9863
26,15.0,10144,0.991770400000271,10144,0.12077218546031633,0.016649849745681098,10144
27,6.0,10608,0.9913528000002847,10608,0.11808700694156618,0.01630047612380967,10608
28,6.0,10925,0.9910675000002941,10925,0.13405638959035512,0.016586196885190092,10925
29,6.0,11263,0.9907633000003041,11263,0.12958455503471858,0.015731172803885817,11263
30,6.0,11650,0.9904150000003156,11650,0.12460821179687515,0.01665147225778894,11650
31,6.0,11951,0.9901441000003245,11951,0.12265294110804698,0.01559371756972974,11951
32,22.0,12481,0.9896671000003402,12481,0.16255465825351903,0.01504879252615007,12481
33,6.0,12932,0.9892612000003536,12932,0.11200329959557749,0.014175709102745735,12932
34,6.0,13395,0.9888445000003673,13395,0.11729393558291071,0.013537209352579462,13395
35,34.0,13898,0.9883918000003822,13898,0.16218380168613572,0.014255639168648623,13898
36,6.0,14278,0.9880498000003934,14278,0.10970890944529521,0.015345203591737357,14278
37,7.0,14628,0.9877348000004038,14628,0.12916955329477786,0.015817508861987985,14628
38,6.0,15011,0.9873901000004152,15011,0.12291812551920314,0.01443087050977574,15011
39,6.0,15473,0.9869743000004289,15473,0.10179136613649982,0.01385506501090481,15473
40,6.0,15727,0.9867457000004364,15727,0.1423111167098359,0.013322097307880497,15727
41,24.0,16236,0.9862876000004515,16236,0.13815765964024662,0.016077067003258796,16236
42,7.0,16630,0.9859330000004631,16630,0.11232549322267928,0.014625608216797422,16630
43,17.0,17015,0.9855865000004745,17015,0.1262847600867609,0.013732456231365802,17015
44,6.0,17398,0.9852418000004859,17398,0.10605405984986233,0.014357594575677627,17398
45,6.0,17749,0.9849259000004963,17749,0.1228452095565548,0.012534437020358356,17749
46,6.0,18129,0.9845839000005076,18129,0.10719940438866615,0.013178399202144263,18129
47,7.0,18505,0.9842455000005187,18505,0.1262446131973349,0.013006771581824571,18505
48,19.0,18833,0.9839503000005284,18833,0.16293383904210315,0.012478801778875427,18833
49,36.0,19513,0.9833383000005486,19513,0.2007204785504762,0.013979145483009395,19513
50,6.0,19913,0.9829783000005604,19913,0.10095522944349795,0.013335084307036595,19913
51,8.0,20412,0.9825292000005752,20412,0.14549716886035904,0.014894135315300157,20412
52,6.0,20784,0.9821944000005862,20784,0.15450428787779102,0.014812118560482588,20784
53,6.0,21137,0.9818767000005967,21137,0.15759462793555543,0.012815513876306353,21137
