Date/Time Start,2019-02-25 00:20:33.041313
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,427,1.0,427,0.0932686776620722,0.0,427
1,6.0,878,1.0,878,0.09253200037846808,0.0,878
2,6.0,1175,1.0,1175,0.09309018724394166,0.0,1175
3,34.0,1614,1.0,1614,0.09406528460680759,0.0,1614
4,6.0,2014,0.9999874000000004,2014,0.09313031982630492,0.0004971134731022175,2014
5,6.0,2389,0.9996499000000115,2389,0.09750535194079081,0.013429922408754161,2389
6,22.0,2682,0.9993862000000202,2682,0.1074789423533674,0.014565141751629988,2682
7,6.0,3066,0.9990406000000316,3066,0.10711495762613292,0.014243835140708446,3066
8,6.0,3377,0.9987607000000408,3377,0.09743976670877343,0.013525048897021833,3377
9,6.0,3806,0.9983746000000535,3806,0.1027672241478811,0.014854000168643558,3806
10,6.0,4175,0.9980425000000644,4175,0.09176683046307343,0.011981469853871078,4175
11,6.0,4632,0.997631200000078,4632,0.09119362080025464,0.012349641176385914,4632
12,6.0,4985,0.9973135000000884,4985,0.09286243046393813,0.01215232927721553,4985
13,8.0,5230,0.9970930000000957,5230,0.10197027854773463,0.011188733091159742,5230
14,6.0,5552,0.9968032000001052,5552,0.09577028433682386,0.013236618966526881,5552
15,6.0,6020,0.9963820000001191,6020,0.08482228258513233,0.010843677487072354,6020
16,6.0,6389,0.99604990000013,6389,0.08722395606359169,0.010850783528370921,6389
17,6.0,6848,0.9956368000001437,6848,0.08247789526297376,0.009869000390125084,6848
18,6.0,7255,0.9952705000001557,7255,0.08625801924515415,0.010564280702715055,7255
19,6.0,7727,0.9948457000001697,7727,0.08322167949024904,0.009977843236086656,7727
20,7.0,8090,0.9945190000001805,8090,0.09366236358224196,0.01033216180667421,8090
21,13.0,8454,0.9941914000001912,8454,0.09066979508273877,0.010724059872490425,8454
22,6.0,9002,0.9936982000002075,9002,0.07886279409710509,0.009408311614354377,9002
23,19.0,9417,0.9933247000002198,9417,0.09574574123484543,0.010093364483818514,9417
24,7.0,9767,0.9930097000002301,9767,0.08939106264284678,0.010153665736267742,9767
25,7.0,10155,0.9926605000002416,10155,0.1068004670831346,0.009319241305946111,10155
26,6.0,10520,0.9923320000002525,10520,0.1262371015467056,0.010970800405819518,10520
27,6.0,10878,0.9920098000002631,10878,0.13386553471814322,0.010626729142462071,10878
28,36.0,11331,0.9916021000002765,11331,0.16635855765926916,0.010638906487676719,11331
29,6.0,11652,0.991313200000286,11652,0.13361921839160712,0.010859053180619386,11652
