Episode:,Score:,,
0,135.0,Median ,#VALUE!
1,171.0,,0
2,162.0,,
3,227.0,,
4,269.0,,
5,353.0,,
6,211.0,,
7,184.0,,
8,162.0,,
9,291.0,,
10,114.0,,
11,162.0,,
12,292.0,,
13,198.0,,
14,162.0,,
15,167.0,,
16,197.0,,
17,108.0,,
18,269.0,,
19,162.0,,
20,181.0,,
21,293.0,,
22,127.0,,
23,183.0,,
24,167.0,,
25,308.0,,
26,139.0,,
27,94.0,,
28,340.0,,
29,100.0,,
30,160.0,,
31,269.0,,
32,210.0,,
33,117.0,,
34,128.0,,
35,119.0,,
36,300.0,,
37,173.0,,
38,277.0,,
39,256.0,,
40,252.0,,
41,332.0,,
42,142.0,,
43,336.0,,
44,139.0,,
45,103.0,,
46,162.0,,
47,160.0,,
48,286.0,,
49,162.0,,
50,325.0,,
