Date/Time Start,2019-02-23 10:31:30.431288
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,10.0,774,1.0,774,0.041226989625729335,0.0,774
1,12.0,1599,0.9994609000000177,1599,0.031675526071339846,0.004808045275514649,1599
2,6.0,2256,0.9988696000000372,2256,0.027523595702237644,0.005825608678272312,2256
3,11.0,3093,0.998116300000062,3093,0.03108473325742402,0.006171198556571865,3093
4,10.0,3888,0.9974008000000856,3888,0.03244053651637298,0.005987247419265339,3888
5,6.0,4550,0.9968050000001052,4550,0.027601853190299428,0.005855198993154234,4550
6,5.0,4960,0.9964360000001173,4960,0.029405471623489044,0.005786578629411496,4960
7,9.0,5737,0.9957367000001404,5737,0.02954963024374831,0.006003449910599468,5737
8,10.0,6535,0.995018500000164,6535,0.02735667787422251,0.006046697251371197,6535
9,9.0,7305,0.9943255000001868,7305,0.03056195420999225,0.00569790790820201,7305
10,16.0,8293,0.9934363000002161,8293,0.02574418948657871,0.005350625210840266,8293
11,6.0,8941,0.9928531000002353,8941,0.023289089618584165,0.006088056489817164,8941
12,11.0,9787,0.9920917000002604,9787,0.02595943969126183,0.005697813529785294,9787
13,6.0,10430,0.9915130000002794,10430,0.044946696157357184,0.0063831974772796535,10430
14,11.0,11214,0.9908074000003027,11214,0.060018857938655634,0.005721970535711191,11214
15,4.0,11597,0.990462700000314,11597,0.07649246864896218,0.006113544281182431,11597
16,4.0,11991,0.9901081000003257,11991,0.07375798205169022,0.007467076092671696,11991
17,7.0,12754,0.9894214000003483,12754,0.061589736674532665,0.005658829365332848,12754
18,12.0,13585,0.9886735000003729,13585,0.05856940648311169,0.006560577000747687,13585
19,12.0,14421,0.9879211000003977,14421,0.05570208740701373,0.006152089881852676,14421
20,6.0,15053,0.9873523000004164,15053,0.04919342241615434,0.005894009658490338,15053
21,6.0,15684,0.9867844000004351,15684,0.05091891360429312,0.005670274870163723,15684
22,4.0,16056,0.9864496000004461,16056,0.07592579162609513,0.005469380386941378,16056
23,3.0,16421,0.9861211000004569,16421,0.079151948102533,0.006525298640449302,16421
24,5.0,16823,0.9857593000004689,16823,0.06315726610780949,0.005197652665778313,16823
25,6.0,17454,0.9851914000004875,17454,0.04812543227583784,0.005627775224572452,17454
26,6.0,18084,0.9846244000005062,18084,0.052338979263154284,0.005529714400842158,18084
27,11.0,18948,0.9838468000005318,18948,0.053855162036294736,0.0055468496111559405,18948
28,6.0,19348,0.9834868000005437,19348,0.05645937841385603,0.005250995116039121,19348
29,10.0,20158,0.9827578000005677,20158,0.06228336604932944,0.005778080865625439,20158
30,11.0,20934,0.9820594000005907,20934,0.07770316032980829,0.0056225858589575945,20934
31,4.0,21317,0.981714700000602,21317,0.10220827209926149,0.005990755656928945,21317
32,9.0,22085,0.9810235000006248,22085,0.0773752018964539,0.006119989410914665,22085
33,6.0,22733,0.980440300000644,22733,0.07008742034021351,0.0061837669860706004,22733
34,11.0,23562,0.9796942000006685,23562,0.07379897654200349,0.006019455193090045,23562
35,5.0,23971,0.9793261000006807,23971,0.0883368257715533,0.0057029076954728435,23971
36,9.0,24759,0.978616900000704,24759,0.0894492963224952,0.005724307373758317,24759
37,8.0,25558,0.9778978000007277,25558,0.07513978725791126,0.005200336592542783,25558
38,10.0,26360,0.9771760000007514,26360,0.07482796597138902,0.00549615317785744,26360
39,6.0,27006,0.9765946000007706,27006,0.06145314736170666,0.005045993835676548,27006
40,11.0,27803,0.9758773000007942,27803,0.07164646915091176,0.005588453076836444,27803
41,5.0,28207,0.9755137000008062,28207,0.08100463916538375,0.005136485227561898,28207
42,6.0,28831,0.9749521000008247,28831,0.06538355795857616,0.005978569557462321,28831
43,6.0,29463,0.9743833000008434,29463,0.06493622525536184,0.006300256082047068,29463
44,11.0,30333,0.9736003000008692,30333,0.07638259541200496,0.005695912320783694,30333
45,8.0,31083,0.9729253000008914,31083,0.09946231738726298,0.005917143618105911,31083
46,10.0,31869,0.9722179000009147,31869,0.09981059204341498,0.005896884987903383,31869
47,10.0,32662,0.9715042000009382,32662,0.09158926295565176,0.006242668543944695,32662
48,10.0,33468,0.9707788000009621,33468,0.0945749740317353,0.0057952620748620565,33468
49,7.0,34069,0.9702379000009799,34069,0.10554770703819548,0.00587400391982336,34069
50,10.0,34846,0.9695386000010029,34846,0.09722973346863628,0.005720443663060647,34846
51,8.0,35624,0.968838400001026,35624,0.09782911202173614,0.00580576075016743,35624
52,4.0,36018,0.9684838000010376,36018,0.12243923278251276,0.005557158202662571,36018
53,6.0,36629,0.9679339000010557,36629,0.12289928718060011,0.006329603905174563,36629
54,10.0,37467,0.9671797000010806,37467,0.09506155681176232,0.005689525679886749,37467
55,8.0,38235,0.9664885000011033,38235,0.09495070600920978,0.0056490330838888285,38235
56,6.0,38884,0.9659044000011225,38884,0.10034754351125844,0.005968010651965382,38884
57,8.0,39668,0.9651988000011458,39668,0.09421090030928655,0.0057696046345306375,39668
58,11.0,40503,0.9644473000011705,40503,0.11903291112648513,0.00545683869482771,40503
59,6.0,41125,0.963887500001189,41125,0.10674382636018122,0.005965359919205521,41125
60,10.0,41926,0.9631666000012127,41926,0.11930713663982244,0.005350387213345383,41926
61,4.0,42318,0.9628138000012243,42318,0.14712213884506906,0.0062155936306485925,42318
62,9.0,43108,0.9621028000012477,43108,0.11802609230898603,0.005244753945948957,43108
63,6.0,43744,0.9615304000012665,43744,0.10122092347006378,0.005846146938624227,43744
64,6.0,44378,0.9609598000012853,44378,0.11307462760796683,0.005847071443663007,44378
65,4.0,44768,0.9606088000012969,44768,0.13838239575807865,0.00580305026255351,44768
66,9.0,45538,0.9599158000013197,45538,0.1298956601650684,0.0055698258155395955,45538
67,2.0,45902,0.9595882000013305,45902,0.1791189037836515,0.0049452624268099665,45902
68,11.0,46717,0.9588547000013546,46717,0.13445512114858335,0.005250825579633488,46717
69,10.0,47523,0.9581293000013785,47523,0.13844451626240467,0.005449662917021274,47523
70,9.0,48313,0.9574183000014019,48313,0.14047607800251322,0.0056986083981600925,48313
71,2.0,48677,0.9570907000014127,48677,0.20947515358636667,0.005655364342681344,48677
72,6.0,49306,0.9565246000014314,49306,0.13867218133849823,0.005391943552274966,49306
73,6.0,49952,0.9559432000014505,49952,0.0983862177736988,0.005618850561548147,49952
74,9.0,50749,0.9552259000014741,50749,0.1450345691391635,0.005612221585900054,50749
75,9.0,51522,0.954530200001497,51522,0.1614506271068985,0.005570743029963428,51522
76,9.0,52289,0.9538399000015197,52289,0.14673771947194886,0.006035305036885592,52289
77,10.0,53071,0.9531361000015429,53071,0.13427493353481487,0.006346325905461524,53071
78,9.0,53848,0.9524368000015659,53848,0.146979488883086,0.005577195380139254,53848
79,10.0,54637,0.9517267000015893,54637,0.15736772131330615,0.0053564099250444685,54637
80,10.0,55427,0.9510157000016127,55427,0.1392565369417396,0.005168910852715939,55427
81,4.0,55818,0.9506638000016243,55818,0.17227629856075471,0.005982399458916265,55818
