Date/Time Start,2019-02-25 09:20:15.334109
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,393,1.0,393,0.03598026924650481,0.0,393
1,6.0,1027,1.0,1027,0.030492342429746775,0.0,1027
2,10.0,1808,1.0,1808,0.027619125072876522,0.0,1808
3,6.0,2444,0.9996004000000132,2444,0.035589326591869384,0.004761411160150189,2444
4,5.0,2849,0.9992359000000252,2849,0.04386926737188557,0.006167139009055883,2849
5,14.0,4712,0.9975592000000804,4712,0.038319850889381,0.005489373716675283,4712
6,8.0,5500,0.9968500000001037,5500,0.04302751465090716,0.004616669367475929,5500
7,9.0,6267,0.9961597000001264,6267,0.04267362461484862,0.0047795023494977985,6267
8,6.0,6896,0.9955936000001451,6896,0.04172965713787013,0.005361202181136367,6896
9,10.0,7686,0.9948826000001685,7686,0.04212235181203371,0.004497073555794026,7686
10,6.0,8325,0.9943075000001874,8325,0.04041553959571093,0.005231156667899588,8325
11,6.0,8984,0.9937144000002069,8984,0.04168730785530372,0.005132568616089068,8984
12,9.0,9749,0.9930259000002296,9749,0.04484819015061933,0.005326881118492928,9749
13,6.0,10379,0.9924589000002483,10379,0.05622610207647085,0.005541893813862107,10379
14,4.0,10762,0.9921142000002596,10762,0.07183605577436813,0.005368957499436689,10762
15,11.0,11580,0.9913780000002839,11580,0.06766932824066405,0.004857312912229897,11580
16,11.0,12389,0.9906499000003078,12389,0.06577777103676342,0.005321831145023314,12389
17,9.0,13181,0.9899371000003313,13181,0.06837249496443705,0.005071340975716495,13181
18,2.0,13551,0.9896041000003423,13551,0.07959154898653159,0.005453466790975261,13551
19,6.0,14190,0.9890290000003612,14190,0.06903230376156842,0.005209093409555945,14190
20,4.0,14587,0.988671700000373,14587,0.080104455577036,0.0056605617336428,14587
21,3.0,14966,0.9883306000003842,14966,0.08253529948971203,0.0061770972851381235,14966
22,12.0,15847,0.9875377000004103,15847,0.06837817549147346,0.0052523061900454,15847
23,6.0,16491,0.9869581000004294,16491,0.06274682593456707,0.005052904939667478,16491
24,10.0,17303,0.9862273000004534,17303,0.06625750041085071,0.005212816663511216,17303
25,9.0,18095,0.9855145000004769,18095,0.06570600849491628,0.004751308209667302,18095
26,4.0,18487,0.9851617000004885,18487,0.0875543856385107,0.005312278429022515,18487
27,4.0,18876,0.9848116000005,18876,0.07120629881716939,0.004971214473104777,18876
28,9.0,19660,0.9841060000005233,19660,0.06937648409179278,0.005265764439998896,19660
29,6.0,20309,0.9835219000005425,20309,0.0712686328932023,0.005117382911365865,20309
30,9.0,21089,0.9828199000005656,21089,0.08657450123379627,0.004912020658328122,21089
31,9.0,21877,0.982110700000589,21877,0.09017816410508707,0.00537666513925527,21877
32,11.0,22689,0.981379900000613,22689,0.0887467233932077,0.004933741606458936,22689
33,9.0,23470,0.9806770000006362,23470,0.09032202686604097,0.0057497765381077665,23470
34,5.0,23883,0.9803053000006484,23883,0.0920234719611542,0.005844858041537428,23883
35,4.0,24264,0.9799624000006597,24264,0.09703539149576598,0.0045338991593520325,24264
36,11.0,25102,0.9792082000006845,25102,0.0901458001471078,0.005294094822637077,25102
37,6.0,25760,0.978616000000704,25760,0.07633180620777208,0.005134954765008845,25760
38,3.0,26134,0.9782794000007151,26134,0.12290096366628606,0.006345729676730816,26134
39,6.0,26776,0.9777016000007341,26776,0.09506619604437894,0.004903392287509224,26776
40,10.0,27561,0.9769951000007574,27561,0.08929282357548453,0.00532042614145762,27561
41,12.0,28373,0.9762643000007815,28373,0.08837428608257782,0.005612654466831776,28373
42,9.0,29160,0.9755560000008048,29160,0.08543919397960624,0.005297346057331032,29160
43,3.0,29531,0.9752221000008158,29531,0.1056113714839249,0.005385068246310751,29531
44,16.0,31433,0.9735103000008721,31433,0.08932053401956548,0.005793406990307457,31433
45,9.0,32219,0.9728029000008954,32219,0.1158215068375488,0.005195728586600461,32219
46,5.0,32620,0.9724420000009073,32620,0.1187304200748553,0.005605228703353348,32620
47,6.0,33268,0.9718588000009265,33268,0.10492605441192418,0.005859732191052944,33268
48,11.0,34068,0.9711388000009502,34068,0.10535259323194623,0.005110436077675331,34068
49,6.0,34714,0.9705574000009694,34714,0.10256319153973192,0.005285553615469984,34714
50,6.0,35355,0.9699805000009883,35355,0.10408517396347756,0.005480830201831878,35355
51,5.0,35977,0.9694207000010068,35977,0.12389905418949111,0.005665377596037805,35977
52,11.0,36812,0.9686692000010315,36812,0.11459611648927906,0.004825656155460134,36812
53,7.0,37476,0.9680716000010512,37476,0.10983984716550772,0.005193206792003377,37476
54,5.0,38087,0.9675217000010693,38087,0.12593620537540917,0.005583180895768216,38087
55,9.0,38883,0.9668053000010929,38883,0.11824545804317572,0.005843805860468138,38883
56,11.0,39696,0.966073600001117,39696,0.11681944924563646,0.00536171463116805,39696
57,11.0,40487,0.9653617000011404,40487,0.1337951762335641,0.005812003180079174,40487
