Date/Time Start,2019-02-19 11:12:28.820887
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss
0,6.0,666,1.0,666,0.016091398700236906,0.0
1,6.0,1304,1.0,1304,0.015838056995254594,0.0
2,9.0,2085,1.0,2085,0.015765236858034055,0.0
3,4.0,2475,1.0,2475,0.018415935591269188,0.0
4,10.0,3349,1.0,3349,0.017425629582034436,0.0
5,10.0,4152,1.0,4152,0.017793672004190377,0.0
6,6.0,4773,1.0,4773,0.01583976279936683,0.0
7,6.0,5394,1.0,5394,0.017287412719822065,0.0
8,7.0,6021,1.0,6021,0.01688041507104557,0.0
9,2.0,6410,1.0,6410,0.017226314781458717,0.0
10,11.0,7250,1.0,7250,0.016702644924849405,0.0
11,8.0,8009,1.0,8009,0.01808508149960492,0.0
12,8.0,8796,1.0,8796,0.018473198417109097,0.0
13,10.0,9578,1.0,9578,0.017323796896536684,0.0
14,12.0,10427,1.0,10427,0.017444399369631547,0.0
15,6.0,11043,1.0,11043,0.018139795801986325,0.0
16,10.0,11878,1.0,11878,0.01596673188921382,0.0
17,11.0,12700,1.0,12700,0.017430101551550017,0.0
18,10.0,13469,1.0,13469,0.017916883108229104,0.0
19,4.0,13864,1.0,13864,0.01817348912605851,0.0
20,6.0,14497,1.0,14497,0.017197605646101354,0.0
21,7.0,15158,1.0,15158,0.015602667881852177,0.0
22,6.0,15788,1.0,15788,0.016641977679036142,0.0
23,6.0,16417,1.0,16417,0.017002855581549754,0.0
24,6.0,17055,1.0,17055,0.017211898271710435,0.0
25,5.0,17424,1.0,17424,0.01569429629193341,0.0
26,3.0,17808,1.0,17808,0.01865917367467773,0.0
27,6.0,18446,1.0,18446,0.017435318071812648,0.0
28,9.0,19214,1.0,19214,0.01779149571484595,0.0
29,3.0,19571,1.0,19571,0.01298651612508541,0.0
30,4.0,19942,1.0,19942,0.01551803381990571,0.0
31,6.0,20589,1.0,20589,0.01621125006855363,0.0
32,7.0,21353,1.0,21353,0.016978450459598792,0.0
33,5.0,21749,1.0,21749,0.016457403861244932,0.0
34,9.0,22510,1.0,22510,0.01818547873150768,0.0
35,4.0,22911,1.0,22911,0.01810064484270062,0.0
36,9.0,23695,1.0,23695,0.01808244131899876,0.0
37,6.0,24365,1.0,24365,0.016541322089259083,0.0
38,5.0,24754,1.0,24754,0.01805695146920787,0.0
