Date/Time Start,2019-02-15 23:41:45.141287,15:33:00,,,,
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss
0,3.0,191,1.0,191,0.07303616197789527,0.0
1,2.0,401,1.0,401,0.0737561768009549,0.0
2,0.0,516,1.0,516,0.07200702655574549,0.0
3,2.0,672,1.0,672,0.07348090935593997,0.0
4,1.0,823,1.0,823,0.0754470776840551,0.0
5,1.0,970,1.0,970,0.07523632105313191,0.0
6,5.0,1250,1.0,1250,0.07527810891291925,0.0
7,2.0,1450,1.0,1450,0.07135536398738623,0.0
8,2.0,1646,1.0,1646,0.07521445019056602,0.0
9,5.0,1930,1.0,1930,0.07202579482445415,0.0
10,4.0,2185,1.0,2185,0.07128109198574926,0.0
11,2.0,2348,1.0,2348,0.07348223318534394,0.0
12,0.0,2466,1.0,2466,0.07196388273673543,0.0
13,1.0,2608,1.0,2608,0.07527048738909439,0.0
14,3.0,2812,1.0,2812,0.07379760213342368,0.0
15,2.0,2978,1.0,2978,0.07383687448609307,0.0
16,1.0,3104,1.0,3104,0.07259091628449303,0.0
17,1.0,3241,1.0,3241,0.07333833860219831,0.0
18,3.0,3455,1.0,3455,0.07383729970065232,0.0
19,2.0,3634,1.0,3634,0.07411260782173892,0.0
20,2.0,3804,1.0,3804,0.07495128157384255,0.0
21,2.0,3961,1.0,3961,0.07360097115776341,0.0
22,4.0,4245,1.0,4245,0.07552986392672632,0.0
23,2.0,4398,1.0,4398,0.0734249713276726,0.0
24,1.0,4544,1.0,4544,0.07236290427103434,0.0
25,2.0,4732,1.0,4732,0.06968011273110801,0.0
26,3.0,4935,1.0,4935,0.07363185180085045,0.0
27,1.0,5083,1.0,5083,0.07105584482888917,0.0
28,2.0,5270,1.0,5270,0.07400629350686455,0.0
29,3.0,5484,1.0,5484,0.07327140644889012,0.0
30,1.0,5649,1.0,5649,0.07258004925467751,0.0
31,1.0,5792,1.0,5792,0.0735208824589536,0.0
32,1.0,5934,1.0,5934,0.07416190910087504,0.0
33,2.0,6093,1.0,6093,0.07531022538179122,0.0
34,1.0,6237,1.0,6237,0.07177612842578027,0.0
35,3.0,6453,1.0,6453,0.07437886228715931,0.0
36,5.0,6742,1.0,6742,0.07073575222162228,0.0
37,6.0,7126,1.0,7126,0.07068043252608429,0.0
38,3.0,7374,1.0,7374,0.07346111695252118,0.0
39,2.0,7546,1.0,7546,0.07314463821781236,0.0
40,2.0,7721,1.0,7721,0.06995514082057136,0.0
41,3.0,7921,1.0,7921,0.07397172756493092,0.0
42,6.0,8296,1.0,8296,0.07211698796351751,0.0
43,5.0,8582,1.0,8582,0.07280983835771367,0.0
44,2.0,8762,1.0,8762,0.0739763781014416,0.0
45,5.0,9063,1.0,9063,0.07364058997048888,0.0
46,4.0,9342,1.0,9342,0.0746066377474843,0.0
47,1.0,9495,1.0,9495,0.07247743560792574,0.0
48,4.0,9814,1.0,9814,0.07623531001395192,0.0
49,4.0,10070,1.0,10070,0.07555098307784647,0.0
50,0.0,10190,1.0,10190,0.07211135209848483,0.0
51,3.0,10404,1.0,10404,0.07344466131006445,0.0
52,5.0,10679,1.0,10679,0.07307251713492653,0.0
53,1.0,10815,1.0,10815,0.0741112220703679,0.0
54,3.0,11030,1.0,11030,0.07249543150497037,0.0
55,2.0,11198,1.0,11198,0.0736463585247596,0.0
56,2.0,11385,1.0,11385,0.0742822680721946,0.0
57,0.0,11505,1.0,11505,0.07192555690805118,0.0
58,3.0,11715,1.0,11715,0.06978349997883751,0.0
59,6.0,12086,1.0,12086,0.07462697504264004,0.0
60,3.0,12300,1.0,12300,0.07367674383186848,0.0
61,3.0,12523,1.0,12523,0.07395606491330493,0.0
62,3.0,12705,1.0,12705,0.07296035766274064,0.0
63,3.0,12916,1.0,12916,0.07388649273540171,0.0
64,4.0,13149,1.0,13149,0.07287729624259114,0.0
65,3.0,13368,1.0,13368,0.07314103664872854,0.0
66,1.0,13512,1.0,13512,0.07241644963829054,0.0
67,3.0,13750,1.0,13750,0.07252731490410677,0.0
68,2.0,13944,1.0,13944,0.07302667177522305,0.0
69,1.0,14069,1.0,14069,0.07252929669618606,0.0
70,5.0,14369,1.0,14369,0.07259276968737444,0.0
71,0.0,14468,1.0,14468,0.0722884177559554,0.0
72,4.0,14698,1.0,14698,0.07384270510595778,0.0
73,2.0,14871,1.0,14871,0.07386975020514747,0.0
74,4.0,15115,1.0,15115,0.07350488208600732,0.0
75,2.0,15280,1.0,15280,0.07533988523663897,0.0
76,4.0,15585,1.0,15585,0.07041901423305762,0.0
77,2.0,15739,1.0,15739,0.07364870162753316,0.0
78,1.0,15892,1.0,15892,0.07336879604392582,0.0
79,5.0,16191,1.0,16191,0.06848940357914736,0.0
80,2.0,16352,1.0,16352,0.07345768804690853,0.0
81,1.0,16517,1.0,16517,0.07171688734581977,0.0
82,4.0,16758,1.0,16758,0.07270852692765319,0.0
83,2.0,16955,1.0,16955,0.07402790515555949,0.0
84,2.0,17135,1.0,17135,0.07421581103569931,0.0
85,1.0,17284,1.0,17284,0.07243283022970161,0.0
86,5.0,17589,1.0,17589,0.0720209896075921,0.0
87,1.0,17724,1.0,17724,0.07253757549656761,0.0
88,2.0,17904,1.0,17904,0.0736064059038957,0.0
89,4.0,18132,1.0,18132,0.0733582039870191,0.0
90,4.0,18422,1.0,18422,0.07311855734422289,0.0
91,3.0,18649,1.0,18649,0.07364813202278205,0.0
92,0.0,18750,1.0,18750,0.07184533096186005,0.0
93,3.0,18956,1.0,18956,0.07344409743848357,0.0
94,4.0,19188,1.0,19188,0.07267039991786768,0.0
95,2.0,19397,1.0,19397,0.0733076766062011,0.0
96,5.0,19702,1.0,19702,0.07593920743856274,0.0
97,3.0,19955,1.0,19955,0.07141392177390486,0.0
98,2.0,20119,1.0,20119,0.07350880652666092,0.0
99,1.0,20271,1.0,20271,0.0720105110422561,0.0
100,3.0,20480,1.0,20480,0.07330847870219838,0.0
101,5.0,20767,1.0,20767,0.07268838127523349,0.0
102,0.0,20894,1.0,20894,0.07189509753636487,0.0
103,4.0,21188,1.0,21188,0.07250137112679936,0.0
104,1.0,21325,1.0,21325,0.07569323556266562,0.0
105,2.0,21497,1.0,21497,0.07481240130267865,0.0
106,4.0,21723,1.0,21723,0.07347311277305131,0.0
107,5.0,22008,1.0,22008,0.07287027963943649,0.0
108,3.0,22217,1.0,22217,0.07408606560464111,0.0
109,3.0,22420,1.0,22420,0.07388338582415886,0.0
110,1.0,22559,1.0,22559,0.0741463662694684,0.0
111,2.0,22774,1.0,22774,0.0706464373095091,0.0
112,3.0,22989,1.0,22989,0.07454104225995929,0.0
113,0.0,23083,1.0,23083,0.07223965869622027,0.0
114,3.0,23298,1.0,23298,0.07330830145713894,0.0
115,2.0,23490,1.0,23490,0.07322464425427218,0.0
116,0.0,23602,1.0,23602,0.07174436561763287,0.0
