Episode:,Score:
0,243.0
1,184.0
2,204.0
3,200.0
4,246.0
5,297.0
6,175.0
7,151.0
8,294.0
9,297.0
10,354.0
11,164.0
12,171.0
13,327.0
14,297.0
15,244.0
16,310.0
17,187.0
18,305.0
19,316.0
20,222.0
21,274.0
22,296.0
23,320.0
24,121.0
25,301.0
26,207.0
27,369.0
28,279.0
29,178.0
30,331.0
31,222.0
32,337.0
33,302.0
34,297.0
35,279.0
36,289.0
37,297.0
38,207.0
39,142.0
40,220.0
41,291.0
42,253.0
43,297.0
44,215.0
45,297.0
46,323.0
47,348.0
48,361.0
49,302.0
50,156.0
51,350.0
52,236.0
53,244.0
54,183.0
55,377.0
56,297.0
57,294.0
58,285.0
59,248.0
60,297.0
61,289.0
62,248.0
63,353.0
64,282.0
65,204.0
66,343.0
67,353.0
68,297.0
69,180.0
70,214.0
71,235.0
72,144.0
73,371.0
74,297.0
75,187.0
76,351.0
77,320.0
78,175.0
79,199.0
80,213.0
81,305.0
82,256.0
83,278.0
84,297.0
85,234.0
86,289.0
87,329.0
88,298.0
89,297.0
90,297.0
91,223.0
92,208.0
93,297.0
94,300.0
95,230.0
96,192.0
97,227.0
98,158.0
99,287.0
