Episode:,Score:
0,111.0
1,277.0
2,232.0
3,259.0
4,99.0
5,161.0
6,122.0
7,252.0
8,277.0
9,277.0
10,277.0
11,68.0
12,240.0
13,277.0
14,259.0
15,329.0
16,241.0
17,179.0
18,277.0
19,141.0
20,277.0
21,157.0
22,290.0
23,134.0
24,125.0
25,277.0
26,273.0
27,135.0
28,241.0
29,137.0
30,152.0
31,170.0
32,173.0
33,277.0
34,222.0
35,277.0
36,216.0
37,166.0
38,277.0
39,238.0
40,102.0
41,182.0
42,129.0
43,179.0
44,82.0
45,245.0
46,110.0
47,234.0
48,121.0
49,247.0
50,277.0
51,155.0
52,277.0
53,299.0
54,335.0
55,242.0
56,326.0
57,97.0
58,87.0
59,277.0
60,286.0
61,172.0
62,184.0
63,277.0
64,179.0
65,96.0
66,277.0
67,122.0
68,274.0
69,208.0
70,94.0
71,253.0
72,74.0
73,277.0
74,277.0
75,158.0
76,286.0
77,189.0
78,277.0
79,193.0
80,162.0
81,176.0
82,129.0
83,129.0
84,283.0
85,320.0
86,179.0
87,277.0
88,176.0
89,218.0
90,277.0
91,343.0
92,223.0
93,227.0
94,307.0
95,267.0
96,263.0
97,184.0
98,168.0
99,277.0
