Episode:,Score:
0,306.0
1,138.0
2,250.0
3,244.0
4,143.0
5,257.0
6,244.0
7,165.0
8,144.0
9,236.0
10,127.0
11,227.0
12,116.0
13,255.0
14,185.0
15,169.0
16,135.0
17,132.0
18,166.0
19,107.0
20,236.0
21,260.0
22,263.0
23,218.0
24,354.0
25,194.0
26,229.0
27,332.0
28,42.0
29,203.0
30,182.0
31,297.0
32,286.0
33,236.0
34,251.0
35,330.0
36,374.0
37,84.0
38,130.0
39,282.0
40,241.0
41,191.0
42,141.0
43,195.0
44,242.0
45,73.0
46,224.0
47,230.0
48,308.0
49,43.0
50,78.0
51,112.0
52,230.0
53,121.0
54,201.0
55,163.0
56,258.0
57,218.0
58,144.0
59,120.0
60,178.0
61,276.0
62,40.0
63,224.0
64,185.0
65,165.0
66,140.0
67,186.0
68,218.0
69,275.0
70,206.0
71,236.0
72,55.0
73,221.0
74,105.0
75,159.0
76,180.0
77,120.0
78,84.0
79,220.0
80,331.0
81,208.0
82,93.0
83,160.0
84,210.0
85,83.0
86,224.0
87,126.0
88,200.0
89,226.0
90,181.0
91,143.0
92,332.0
93,174.0
94,114.0
95,199.0
96,128.0
97,89.0
98,230.0
99,85.0
