Episode:,Score:
0,1290.0
1,1100.0
2,2220.0
3,1100.0
4,1100.0
5,1120.0
6,1020.0
7,800.0
8,1100.0
9,1100.0
10,1100.0
11,1100.0
12,1290.0
13,1290.0
14,1120.0
15,820.0
16,1100.0
17,990.0
18,900.0
19,1100.0
20,1100.0
21,1520.0
22,1100.0
23,1330.0
24,1100.0
25,1290.0
26,1100.0
27,1100.0
28,1100.0
29,1100.0
30,760.0
31,1100.0
32,1400.0
33,1400.0
34,1100.0
35,1620.0
36,1290.0
37,720.0
38,1100.0
39,1100.0
40,1290.0
41,1100.0
42,1100.0
43,1020.0
44,1290.0
45,1300.0
46,1120.0
47,1290.0
48,830.0
49,1100.0
50,1290.0
51,1320.0
52,1290.0
53,820.0
54,1100.0
55,800.0
56,1100.0
57,1100.0
58,1100.0
59,1100.0
60,1300.0
61,1100.0
62,1120.0
63,1290.0
64,870.0
65,1710.0
66,1290.0
67,860.0
68,1290.0
69,1100.0
70,1100.0
71,1320.0
72,1100.0
73,1290.0
74,1100.0
75,1100.0
76,1290.0
77,1100.0
78,910.0
79,1020.0
80,1100.0
81,1290.0
82,690.0
83,1100.0
84,680.0
85,2920.0
86,810.0
87,680.0
88,1100.0
89,1400.0
90,1020.0
91,1120.0
92,1400.0
93,1100.0
94,1100.0
95,1120.0
96,1100.0
97,1100.0
98,1160.0
99,920.0
