Episode:,Score:
0,1030.0
1,820.0
2,1050.0
3,820.0
4,750.0
5,700.0
6,720.0
7,760.0
8,590.0
9,950.0
10,1040.0
11,1250.0
12,1050.0
13,1170.0
14,600.0
15,1250.0
16,700.0
17,680.0
18,720.0
19,690.0
20,630.0
21,2230.0
22,1440.0
23,900.0
24,720.0
25,800.0
26,930.0
27,770.0
28,800.0
29,820.0
30,830.0
31,1050.0
32,900.0
33,1080.0
34,820.0
35,750.0
36,820.0
37,1250.0
38,820.0
39,820.0
40,1250.0
41,1050.0
42,830.0
43,900.0
44,710.0
45,850.0
46,820.0
47,820.0
48,820.0
49,820.0
50,1050.0
51,1050.0
52,620.0
53,2150.0
54,1050.0
55,900.0
56,820.0
57,1050.0
58,650.0
59,610.0
60,930.0
61,1070.0
62,740.0
63,820.0
64,750.0
65,620.0
66,820.0
67,700.0
68,1440.0
69,1440.0
70,650.0
71,960.0
72,1070.0
73,1050.0
74,1050.0
75,1050.0
76,1070.0
77,1440.0
78,830.0
79,700.0
80,1440.0
81,2150.0
82,820.0
83,1170.0
84,1080.0
85,2190.0
86,710.0
87,820.0
88,1440.0
89,750.0
90,750.0
91,820.0
92,1030.0
93,550.0
94,1070.0
95,710.0
96,760.0
97,820.0
98,710.0
99,1360.0
