Episode:,Score:
0,1480.0
1,1080.0
2,880.0
3,880.0
4,880.0
5,1680.0
6,880.0
7,880.0
8,880.0
9,880.0
10,1080.0
11,880.0
12,1170.0
13,950.0
14,880.0
15,1480.0
16,1110.0
17,880.0
18,930.0
19,880.0
20,1480.0
21,880.0
22,880.0
23,880.0
24,880.0
25,1480.0
26,2280.0
27,1180.0
28,1680.0
29,1790.0
30,1180.0
31,880.0
32,1480.0
33,1180.0
34,1480.0
35,1480.0
36,1430.0
37,880.0
38,740.0
39,880.0
40,1080.0
41,880.0
42,880.0
43,1480.0
44,880.0
45,640.0
46,880.0
47,690.0
48,880.0
49,930.0
50,880.0
51,1090.0
52,880.0
53,1180.0
54,1480.0
55,1480.0
56,880.0
57,780.0
58,1480.0
59,880.0
60,1480.0
61,990.0
62,1180.0
63,1430.0
64,880.0
65,1180.0
66,880.0
67,880.0
68,880.0
69,880.0
70,750.0
71,880.0
72,880.0
73,880.0
74,880.0
75,880.0
76,1480.0
77,880.0
78,1480.0
79,880.0
80,1780.0
81,1280.0
82,880.0
83,770.0
84,880.0
85,880.0
86,880.0
87,880.0
88,710.0
89,880.0
90,880.0
91,880.0
92,880.0
93,880.0
94,880.0
95,1070.0
96,880.0
97,880.0
98,940.0
99,1060.0
