Episode:,Score:
0,460.0
1,600.0
2,810.0
3,515.0
4,800.0
5,480.0
6,510.0
7,815.0
8,650.0
9,630.0
10,530.0
11,535.0
12,810.0
13,485.0
14,650.0
15,410.0
16,615.0
17,1070.0
18,685.0
19,795.0
20,535.0
21,725.0
22,925.0
23,745.0
24,555.0
25,550.0
26,460.0
27,345.0
28,685.0
29,765.0
30,775.0
31,555.0
32,420.0
33,805.0
34,535.0
35,535.0
36,420.0
37,665.0
38,535.0
39,1150.0
40,850.0
41,465.0
42,765.0
43,575.0
44,590.0
45,390.0
46,900.0
47,445.0
48,910.0
49,610.0
50,535.0
51,415.0
52,585.0
53,415.0
54,695.0
55,590.0
56,560.0
57,715.0
58,860.0
59,635.0
60,575.0
61,695.0
62,600.0
63,890.0
64,500.0
65,575.0
66,735.0
67,855.0
68,830.0
69,1190.0
70,1385.0
71,800.0
72,1145.0
73,725.0
74,630.0
75,725.0
76,500.0
77,735.0
78,715.0
79,1005.0
80,755.0
81,965.0
82,965.0
83,890.0
84,355.0
85,515.0
86,425.0
87,320.0
88,805.0
89,465.0
90,520.0
91,450.0
92,805.0
93,475.0
94,800.0
95,535.0
96,450.0
97,535.0
98,590.0
99,450.0
