Episode:,Score:
0,30.0
1,30.0
2,30.0
3,30.0
4,30.0
5,75.0
6,30.0
7,30.0
8,50.0
9,30.0
10,30.0
11,30.0
12,30.0
13,30.0
14,30.0
15,30.0
16,30.0
17,30.0
18,40.0
19,30.0
20,30.0
21,30.0
22,30.0
23,30.0
24,30.0
25,30.0
26,50.0
27,30.0
28,30.0
29,30.0
30,30.0
31,30.0
32,30.0
33,30.0
34,50.0
35,30.0
36,30.0
37,50.0
38,30.0
39,30.0
40,45.0
41,30.0
42,15.0
43,30.0
44,30.0
45,30.0
46,50.0
47,15.0
48,50.0
49,30.0
50,30.0
51,30.0
52,30.0
53,30.0
54,15.0
55,30.0
56,30.0
57,30.0
58,30.0
59,30.0
60,30.0
61,80.0
62,30.0
63,30.0
64,30.0
65,30.0
66,30.0
67,30.0
68,30.0
69,30.0
70,30.0
71,30.0
72,30.0
73,75.0
74,45.0
75,30.0
76,50.0
77,30.0
78,30.0
79,30.0
80,30.0
81,30.0
82,40.0
83,30.0
84,30.0
85,30.0
86,30.0
87,30.0
88,15.0
89,30.0
90,30.0
91,15.0
92,50.0
93,45.0
94,30.0
95,50.0
96,50.0
97,30.0
98,30.0
99,30.0
