Episode:,Score:
0,40.0
1,5.0
2,0.0
3,5.0
4,0.0
5,5.0
6,0.0
7,0.0
8,5.0
9,0.0
10,5.0
11,0.0
12,15.0
13,5.0
14,0.0
15,0.0
16,0.0
17,20.0
18,15.0
19,5.0
20,0.0
21,5.0
22,0.0
23,0.0
24,5.0
25,0.0
26,5.0
27,0.0
28,5.0
29,0.0
30,5.0
31,5.0
32,0.0
33,5.0
34,15.0
35,0.0
36,0.0
37,5.0
38,5.0
39,0.0
40,5.0
41,0.0
42,5.0
43,5.0
44,5.0
45,15.0
46,5.0
47,0.0
48,0.0
49,0.0
50,0.0
51,5.0
52,20.0
53,5.0
54,0.0
55,0.0
56,5.0
57,15.0
58,0.0
59,5.0
60,0.0
61,5.0
62,5.0
63,15.0
64,0.0
65,5.0
66,5.0
67,5.0
68,5.0
69,0.0
70,5.0
71,15.0
72,0.0
73,0.0
74,0.0
75,15.0
76,5.0
77,0.0
78,5.0
79,0.0
80,5.0
81,5.0
82,0.0
83,0.0
84,5.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,30.0
94,0.0
95,15.0
96,0.0
97,5.0
98,25.0
99,0.0
