Episode:,Score:
0,390.0
1,520.0
2,320.0
3,375.0
4,495.0
5,405.0
6,320.0
7,510.0
8,330.0
9,470.0
10,420.0
11,350.0
12,355.0
13,470.0
14,400.0
15,540.0
16,280.0
17,385.0
18,425.0
19,335.0
20,360.0
21,285.0
22,630.0
23,800.0
24,280.0
25,410.0
26,445.0
27,490.0
28,465.0
29,600.0
30,480.0
31,355.0
32,385.0
33,440.0
34,515.0
35,600.0
36,545.0
37,585.0
38,515.0
39,575.0
40,405.0
41,385.0
42,385.0
43,515.0
44,385.0
45,600.0
46,385.0
47,550.0
48,370.0
49,335.0
50,300.0
51,715.0
52,385.0
53,370.0
54,345.0
55,480.0
56,335.0
57,665.0
58,345.0
59,545.0
60,410.0
61,305.0
62,405.0
63,465.0
64,410.0
65,490.0
66,355.0
67,370.0
68,600.0
69,420.0
70,490.0
71,455.0
72,365.0
73,525.0
74,365.0
75,290.0
76,385.0
77,385.0
78,385.0
79,280.0
80,525.0
81,325.0
82,355.0
83,385.0
84,320.0
85,575.0
86,630.0
87,335.0
88,335.0
89,380.0
90,675.0
91,365.0
92,555.0
93,375.0
94,435.0
95,355.0
96,295.0
97,510.0
98,800.0
99,405.0
