Episode:,Score:
0,710.0
1,575.0
2,715.0
3,1360.0
4,695.0
5,720.0
6,875.0
7,705.0
8,535.0
9,460.0
10,695.0
11,775.0
12,925.0
13,385.0
14,590.0
15,450.0
16,425.0
17,965.0
18,680.0
19,710.0
20,670.0
21,295.0
22,535.0
23,695.0
24,500.0
25,780.0
26,805.0
27,705.0
28,595.0
29,370.0
30,650.0
31,755.0
32,545.0
33,775.0
34,1010.0
35,535.0
36,535.0
37,575.0
38,705.0
39,775.0
40,565.0
41,510.0
42,930.0
43,665.0
44,815.0
45,480.0
46,695.0
47,810.0
48,670.0
49,405.0
50,370.0
51,775.0
52,965.0
53,805.0
54,525.0
55,710.0
56,695.0
57,565.0
58,1010.0
59,965.0
60,535.0
61,635.0
62,980.0
63,490.0
64,515.0
65,445.0
66,980.0
67,770.0
68,450.0
69,315.0
70,600.0
71,725.0
72,730.0
73,730.0
74,400.0
75,505.0
76,670.0
77,535.0
78,805.0
79,740.0
80,635.0
81,555.0
82,490.0
83,795.0
84,1045.0
85,785.0
86,525.0
87,805.0
88,695.0
89,775.0
90,585.0
91,560.0
92,760.0
93,500.0
94,805.0
95,1090.0
96,535.0
97,730.0
98,535.0
99,1485.0
