Episode:,Score:
0,730.0
1,555.0
2,610.0
3,470.0
4,525.0
5,375.0
6,900.0
7,540.0
8,490.0
9,905.0
10,530.0
11,515.0
12,570.0
13,445.0
14,775.0
15,605.0
16,605.0
17,620.0
18,575.0
19,500.0
20,540.0
21,630.0
22,595.0
23,510.0
24,620.0
25,995.0
26,330.0
27,720.0
28,590.0
29,605.0
30,585.0
31,395.0
32,600.0
33,605.0
34,525.0
35,525.0
36,665.0
37,575.0
38,910.0
39,805.0
40,485.0
41,610.0
42,490.0
43,760.0
44,755.0
45,580.0
46,615.0
47,775.0
48,530.0
49,580.0
50,510.0
51,600.0
52,360.0
53,480.0
54,505.0
55,500.0
56,650.0
57,1000.0
58,640.0
59,510.0
60,610.0
61,785.0
62,725.0
63,870.0
64,655.0
65,410.0
66,545.0
67,425.0
68,735.0
69,725.0
70,875.0
71,380.0
72,610.0
73,800.0
74,470.0
75,430.0
76,955.0
77,535.0
78,530.0
79,855.0
80,680.0
81,600.0
82,605.0
83,515.0
84,585.0
85,700.0
86,260.0
87,950.0
88,545.0
89,500.0
90,430.0
91,470.0
92,600.0
93,775.0
94,560.0
95,470.0
96,320.0
97,610.0
98,740.0
99,395.0
