Episode:,Score:
0,180.0
1,80.0
2,120.0
3,125.0
4,355.0
5,200.0
6,125.0
7,80.0
8,85.0
9,135.0
10,200.0
11,200.0
12,120.0
13,410.0
14,125.0
15,180.0
16,95.0
17,80.0
18,125.0
19,195.0
20,125.0
21,125.0
22,125.0
23,125.0
24,105.0
25,410.0
26,355.0
27,80.0
28,75.0
29,80.0
30,125.0
31,95.0
32,180.0
33,125.0
34,125.0
35,180.0
36,125.0
37,185.0
38,125.0
39,350.0
40,95.0
41,125.0
42,80.0
43,240.0
44,125.0
45,200.0
46,100.0
47,130.0
48,125.0
49,125.0
50,80.0
51,125.0
52,175.0
53,120.0
54,355.0
55,80.0
56,180.0
57,125.0
58,125.0
59,120.0
60,80.0
61,125.0
62,125.0
63,95.0
64,380.0
65,125.0
66,365.0
67,125.0
68,80.0
69,90.0
70,125.0
71,180.0
72,125.0
73,385.0
74,130.0
75,245.0
76,125.0
77,105.0
78,125.0
79,200.0
80,110.0
81,125.0
82,125.0
83,80.0
84,180.0
85,130.0
86,115.0
87,210.0
88,80.0
89,180.0
90,180.0
91,125.0
92,125.0
93,110.0
94,125.0
95,175.0
96,125.0
97,125.0
98,175.0
99,125.0
