EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-04-24 09:58:30.374655
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,5.0,339,1.0,339,0.0641144251885,0.0,339
1,1.0,491,1.0,491,0.0639139315309,0.0,491
2,3.0,725,1.0,725,0.0643215856045,0.0,725
3,3.0,940,1.0,940,0.0655174638123,0.0,940
4,2.0,1147,1.0,1147,0.0639702998246,0.0,1147
5,10.0,1720,1.0,1720,0.0702815713267,0.0,1720
6,3.0,1924,1.0,1924,0.0640386872943,0.0,1924
7,4.0,2191,1.0,2191,0.0637604180123,0.0,2191
8,6.0,2546,1.0,2546,0.0663736154496,0.0,2546
9,3.0,2758,1.0,2758,0.0640824705116,0.0,2758
10,3.0,2977,1.0,2977,0.0664181197445,0.0,2977
11,3.0,3202,1.0,3202,0.0662523553438,0.0,3202
12,2.0,3376,1.0,3376,0.0642286731765,0.0,3376
13,2.0,3548,1.0,3548,0.0657333469148,0.0,3548
14,1.0,3684,1.0,3684,0.0640750959351,0.0,3684
15,3.0,3934,1.0,3934,0.0646528732628,0.0,3934
16,2.0,4115,1.0,4115,0.0635668388594,0.0,4115
17,1.0,4256,1.0,4256,0.0640093346014,0.0,4256
18,0.0,4375,1.0,4375,0.0636483697581,0.0,4375
19,2.0,4578,1.0,4578,0.0650732056628,0.0,4578
20,7.0,4983,1.0,4983,0.0614118753668,0.0,4983
21,3.0,5193,1.0,5193,0.0655596694066,0.0,5193
22,6.0,5559,1.0,5559,0.0684943288219,0.0,5559
23,3.0,5773,1.0,5773,0.066139075174,0.0,5773
24,1.0,5922,1.0,5922,0.0640608494064,0.0,5922
25,2.0,6106,1.0,6106,0.065012938343,0.0,6106
26,2.0,6294,1.0,6294,0.0635894894243,0.0,6294
27,2.0,6457,1.0,6457,0.0656806331105,0.0,6457
28,1.0,6591,1.0,6591,0.0642220960902,0.0,6591
29,1.0,6729,1.0,6729,0.0639098887804,0.0,6729
30,1.0,6858,1.0,6858,0.0641605716285,0.0,6858
31,2.0,7048,1.0,7048,0.0637779166824,0.0,7048
32,4.0,7304,1.0,7304,0.0678411890403,0.0,7304
33,2.0,7492,1.0,7492,0.0650586549074,0.0,7492
34,5.0,7786,1.0,7786,0.0650681357476,0.0,7786
35,1.0,7922,1.0,7922,0.0641425111715,0.0,7922
36,4.0,8203,1.0,8203,0.0647927855284,0.0,8203
37,4.0,8466,1.0,8466,0.0649639645259,0.0,8466
38,6.0,8824,1.0,8824,0.0685453811275,0.0,8824
39,3.0,9048,1.0,9048,0.0667654154323,0.0,9048
40,5.0,9354,1.0,9354,0.0630357278377,0.0,9354
41,5.0,9663,1.0,9663,0.0653265558521,0.0,9663
42,3.0,9883,1.0,9883,0.0626804235645,0.0,9883
43,0.0,10016,0.9999856000000005,10016,0.0634168160981,0.00161318999804,10016
44,4.0,10274,0.9997534000000081,10274,0.0527146360801,0.00592633264581,10274
45,2.0,10431,0.9996121000000128,10431,0.0345706176725,0.00705487704728,10431
46,2.0,10598,0.9994618000000177,10598,0.0348977665868,0.00744413180259,10598
47,5.0,10900,0.9991900000000267,10900,0.0476850489315,0.00661800562226,10900
