Date/Time Start,2019-04-06 00:21:50.239561
EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,0.0006,0.01
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,1.0,131,1.0,131,0.0183717646273,0.0,131
1,1.0,261,1.0,261,0.0196979846375,0.0,261
2,4.0,537,1.0,537,0.0198955821359,0.0,537
3,2.0,732,1.0,732,0.0198989017556,0.0,732
4,4.0,980,1.0,980,0.0198445712975,0.0,980
5,1.0,1125,1.0,1125,0.0194521616502,0.0,1125
6,0.0,1224,1.0,1224,0.0200357118979,0.0,1224
7,3.0,1441,1.0,1441,0.0199628769064,0.0,1441
8,2.0,1600,1.0,1600,0.0195116506737,0.0,1600
9,3.0,1803,1.0,1803,0.0195403390339,0.0,1803
10,2.0,1959,1.0,1959,0.0194006026185,0.0,1959
11,5.0,2281,1.0,2281,0.0178282664169,0.0,2281
12,3.0,2499,1.0,2499,0.0194924673441,0.0,2499
13,2.0,2654,1.0,2654,0.0195901826745,0.0,2654
14,3.0,2870,1.0,2870,0.0175889147558,0.0,2870
15,2.0,3056,1.0,3056,0.019290128858,0.0,3056
16,4.0,3321,1.0,3321,0.0186083196118,0.0,3321
17,5.0,3642,1.0,3642,0.0180318625354,0.0,3642
18,4.0,3888,1.0,3888,0.0174120524709,0.0,3888
19,3.0,4127,1.0,4127,0.0176337623665,0.0,4127
20,0.0,4246,1.0,4246,0.0203179649602,0.0,4246
21,1.0,4384,1.0,4384,0.019339097603,0.0,4384
22,2.0,4567,1.0,4567,0.0188611339106,0.0,4567
23,1.0,4718,1.0,4718,0.0198427579236,0.0,4718
24,1.0,4866,1.0,4866,0.0187930270048,0.0,4866
25,5.0,5193,1.0,5193,0.0192439282478,0.0,5193
26,2.0,5352,1.0,5352,0.0192464503618,0.0,5352
27,2.0,5542,1.0,5542,0.0196274787629,0.0,5542
28,1.0,5672,1.0,5672,0.0186168621939,0.0,5672
29,2.0,5845,1.0,5845,0.0192955892662,0.0,5845
30,4.0,6112,1.0,6112,0.0199030741373,0.0,6112
31,0.0,6234,1.0,6234,0.019544708344,0.0,6234
32,1.0,6380,1.0,6380,0.0200191266988,0.0,6380
33,1.0,6545,1.0,6545,0.0198110716361,0.0,6545
34,2.0,6732,1.0,6732,0.0197735719413,0.0,6732
35,2.0,6951,1.0,6951,0.018993853838,0.0,6951
36,2.0,7136,1.0,7136,0.018849799485,0.0,7136
37,7.0,7512,1.0,7512,0.0149255566611,0.0,7512
38,0.0,7620,1.0,7620,0.0187004263064,0.0,7620
39,3.0,7844,1.0,7844,0.0172697788969,0.0,7844
40,0.0,7974,1.0,7974,0.0193021999385,0.0,7974
41,1.0,8126,1.0,8126,0.0178122057604,0.0,8126
42,2.0,8312,1.0,8312,0.0181422391306,0.0,8312
43,2.0,8486,1.0,8486,0.0196143332227,0.0,8486
44,2.0,8650,1.0,8650,0.0184194681962,0.0,8650
45,2.0,8823,1.0,8823,0.0189738880057,0.0,8823
46,2.0,8989,1.0,8989,0.019690370967,0.0,8989
47,3.0,9227,1.0,9227,0.0173039075355,0.0,9227
48,7.0,9622,1.0,9622,0.0145703828127,0.0,9622
49,6.0,9991,1.0,9991,0.0157689513477,0.0,9991
