Date/Time Start,2019-04-08 10:21:43.238114
EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,0.00025,0.01
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,0.0,118,1.0,118,0.11143056398,0.0,118
1,2.0,303,1.0,303,0.113596223375,0.0,303
2,1.0,448,1.0,448,0.112583573676,0.0,448
3,5.0,796,1.0,796,0.112920715784,0.0,796
4,2.0,972,1.0,972,0.113576193509,0.0,972
5,1.0,1093,1.0,1093,0.113027670228,0.0,1093
6,1.0,1264,1.0,1264,0.11308097774,0.0,1264
7,1.0,1401,1.0,1401,0.114276703583,0.0,1401
8,1.0,1549,1.0,1549,0.114567962853,0.0,1549
9,2.0,1734,1.0,1734,0.11222674158,0.0,1734
10,4.0,2002,1.0,2002,0.109220121584,0.0,2002
11,3.0,2213,1.0,2213,0.11122495621,0.0,2213
12,3.0,2395,1.0,2395,0.111728024065,0.0,2395
13,1.0,2528,1.0,2528,0.112692188107,0.0,2528
14,3.0,2761,1.0,2761,0.114157679127,0.0,2761
15,3.0,2988,1.0,2988,0.114472421387,0.0,2988
16,2.0,3165,1.0,3165,0.112865632873,0.0,3165
17,3.0,3370,1.0,3370,0.1114565218,0.0,3370
18,1.0,3502,1.0,3502,0.112393669107,0.0,3502
19,1.0,3632,1.0,3632,0.113268683106,0.0,3632
20,4.0,3858,1.0,3858,0.109614782167,0.0,3858
21,1.0,3997,1.0,3997,0.112040972324,0.0,3997
22,2.0,4184,1.0,4184,0.112266508374,0.0,4184
23,3.0,4412,1.0,4412,0.115421147363,0.0,4412
24,2.0,4569,1.0,4569,0.113052536158,0.0,4569
25,4.0,4849,1.0,4849,0.112193854845,0.0,4849
26,3.0,5090,0.9999190000000027,5090,0.101852320877,0.00311882708313,5090
27,0.0,5210,0.9998110000000062,5210,0.0514847119028,0.00579880914623,5210
28,5.0,5501,0.9995491000000148,5501,0.0495277207178,0.00545017840162,5501
29,2.0,5674,0.99939340000002,5674,0.0521312627748,0.00645181902369,5674
30,2.0,5843,0.999241300000025,5843,0.0525093219689,0.00534103119834,5843
31,3.0,6076,0.9990316000000319,6076,0.0500484983808,0.004876004794,6076
32,3.0,6304,0.9988264000000386,6304,0.0491552442443,0.00485234985417,6304
33,2.0,6482,0.9986662000000439,6482,0.0508663853777,0.00514783981486,6482
34,3.0,6700,0.9984700000000504,6700,0.0523027461706,0.00576544246817,6700
35,5.0,7007,0.9981937000000595,7007,0.0549971221397,0.006957999661,7007
36,2.0,7166,0.9980506000000642,7166,0.0529313449449,0.00585279022271,7166
37,2.0,7402,0.9978382000000712,7402,0.0526601632078,0.00629320631502,7402
38,2.0,7591,0.9976681000000768,7591,0.0540367727951,0.00630256351491,7591
39,1.0,7771,0.9975061000000821,7771,0.0482930389957,0.00449251680303,7771
40,1.0,7931,0.9973621000000868,7931,0.0473982987925,0.00522855657512,7931
