EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-03-30 09:51:37.676558
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,2.0,175,1.0,175,-0.0175241571452,0.0,175
1,0.0,291,1.0,291,-0.0228146686187,0.0,291
2,4.0,539,1.0,539,-0.0170469616179,0.0,539
3,1.0,664,1.0,664,-0.0213723736107,0.0,664
4,2.0,828,1.0,828,-0.010501892215,0.0,828
5,2.0,984,1.0,984,-0.0142791675022,0.0,984
6,3.0,1193,1.0,1193,-0.0167987862843,0.0,1193
7,3.0,1405,1.0,1405,-0.00917699091347,0.0,1405
8,3.0,1656,1.0,1656,-0.0222034846169,0.0,1656
9,1.0,1809,1.0,1809,-0.0187271814428,0.0,1809
10,3.0,2046,1.0,2046,-0.0218355835962,0.0,2046
11,0.0,2198,1.0,2198,-0.0237077607185,0.0,2198
12,1.0,2357,1.0,2357,-0.0188307080816,0.0,2357
13,1.0,2503,1.0,2503,-0.0208752928684,0.0,2503
14,3.0,2710,1.0,2710,-0.0119701988707,0.0,2710
15,3.0,2940,1.0,2940,-0.0244670037342,0.0,2940
16,2.0,3158,1.0,3158,-0.0247451382595,0.0,3158
17,4.0,3398,1.0,3398,-0.0140588932826,0.0,3398
18,2.0,3563,1.0,3563,-0.0168107103218,0.0,3563
19,1.0,3716,1.0,3716,-0.0187763781135,0.0,3716
20,3.0,3934,1.0,3934,-0.0096435101549,0.0,3934
21,3.0,4142,1.0,4142,-0.0072039186847,0.0,4142
22,2.0,4319,1.0,4319,-0.019504102631,0.0,4319
23,1.0,4469,1.0,4469,-0.0174291903526,0.0,4469
24,2.0,4644,1.0,4644,-0.0134796766085,0.0,4644
25,1.0,4778,1.0,4778,-0.0187307923421,0.0,4778
26,2.0,4968,1.0,4968,-0.0177803114841,0.0,4968
27,1.0,5114,0.9998974000000034,5114,-0.00237605775777,0.00504136648993,5114
28,6.0,5458,0.9995878000000136,5458,-0.0087809977054,0.00571948011475,5458
29,4.0,5732,0.9993412000000217,5732,-0.0277604727477,0.00626581257366,5732
30,2.0,5895,0.9991945000000265,5895,0.0158285421056,0.00895260038078,5895
31,4.0,6206,0.9989146000000357,6206,-0.0243202519417,0.00637659638397,6206
32,0.0,6321,0.9988111000000391,6321,-0.0153445336927,0.00662400004946,6321
33,3.0,6581,0.9985771000000468,6581,-0.0168702964707,0.0058767384629,6581
34,1.0,6723,0.998449300000051,6723,-0.0253967850856,0.00676725496467,6723
35,1.0,6860,0.9983260000000551,6860,-0.0202606227929,0.00635701379849,6860
36,2.0,7036,0.9981676000000603,7036,-0.0191478769279,0.0072607893248,7036
37,4.0,7333,0.9979003000000691,7333,-0.00799651640414,0.00650925509702,7333
38,3.0,7534,0.9977194000000751,7534,0.00575698980719,0.00672458486239,7534
39,2.0,7690,0.9975790000000797,7690,-0.0352597609879,0.00714276115949,7690
40,2.0,7869,0.997417900000085,7869,-0.0258569723261,0.00516093306798,7869
41,2.0,8073,0.9972343000000911,8073,-0.00930987521732,0.00657795334012,8073
42,7.0,8515,0.9968365000001042,8515,-0.0143890796941,0.00582192712408,8515
43,8.0,8955,0.9964405000001172,8955,-0.0197181515279,0.00654218321949,8955
44,2.0,9121,0.9962911000001221,9121,-0.066996807297,0.00616577095395,9121
45,2.0,9282,0.9961462000001269,9282,-0.0479859026953,0.00765309460953,9282
46,3.0,9498,0.9959518000001333,9498,-0.0117951032913,0.00533165596621,9498
47,2.0,9658,0.995807800000138,9658,0.0139804028906,0.00751650243402,9658
48,2.0,9820,0.9956620000001428,9820,-0.0400923720653,0.00652940351031,9820
49,2.0,10028,0.995474800000149,10028,-0.0245134970487,0.00603203127212,10028
50,4.0,10291,0.9952381000001568,10291,0.0292294054423,0.0054473782837,10291
51,3.0,10502,0.995048200000163,10502,0.0314560257146,0.00656490848964,10502
52,3.0,10716,0.9948556000001694,10716,0.0328397521375,0.00654051212504,10716
53,1.0,10865,0.9947215000001738,10865,0.0326605090971,0.00526285659585,10865
54,0.0,10984,0.9946144000001773,10984,0.0332795283405,0.00517609615873,10984
55,2.0,11180,0.9944380000001831,11180,0.0316180820596,0.00564206280111,11180
56,2.0,11351,0.9942841000001882,11351,0.0306477547672,0.00637412469943,11351
57,6.0,11701,0.9939691000001986,11701,0.0347459808418,0.00609851632192,11701
58,2.0,11863,0.9938233000002034,11863,0.0315196131885,0.00604754244602,11863
59,2.0,12069,0.9936379000002095,12069,0.0288351314635,0.00581570086949,12069
60,2.0,12254,0.9934714000002149,12254,0.0321058282679,0.00547463507409,12254
61,1.0,12411,0.9933301000002196,12411,0.0284146816962,0.00498000912245,12411
62,1.0,12548,0.9932068000002237,12548,0.0314760353539,0.00638050645988,12548
63,5.0,12879,0.9929089000002335,12879,0.0342881394286,0.0058139064572,12879
64,2.0,13041,0.9927631000002383,13041,0.0301055567293,0.00613381535593,13041
65,4.0,13327,0.9925057000002467,13327,0.034000479766,0.00578370955781,13327
66,1.0,13454,0.9923914000002505,13454,0.0295280885743,0.00635677183679,13454
67,2.0,13613,0.9922483000002552,13613,0.0264734236418,0.0046512233331,13613
68,8.0,14074,0.9918334000002689,14074,0.0401345092254,0.00556281487746,14074
69,1.0,14239,0.9916849000002738,14239,0.0266263032501,0.00499732663073,14239
70,2.0,14421,0.9915211000002792,14421,0.0345513402986,0.00644152175009,14421
71,4.0,14681,0.9912871000002869,14681,0.0343941267401,0.00713205902413,14681
72,2.0,14848,0.9911368000002918,14848,0.026801922498,0.00591785649694,14848
73,3.0,15081,0.9909271000002987,15081,0.0299525131459,0.00595586210107,15081
74,0.0,15186,0.9908326000003018,15186,0.0366056513219,0.00698124009771,15186
75,2.0,15366,0.9906706000003072,15366,0.0300959349144,0.00598219468388,15366
76,2.0,15584,0.9904744000003136,15584,0.0250604489707,0.00602771274941,15584
77,3.0,15791,0.9902881000003197,15791,0.0312687475099,0.0052060327481,15791
78,3.0,16012,0.9900892000003263,16012,0.0273500073014,0.00548860887683,16012
79,2.0,16174,0.9899434000003311,16174,0.0295600014635,0.00516104477514,16174
80,2.0,16330,0.9898030000003357,16330,0.0316981616645,0.00644550154978,16330
81,4.0,16619,0.9895429000003443,16619,0.0299929360759,0.00624605754418,16619
82,1.0,16754,0.9894214000003483,16754,0.0266012201086,0.00617051653257,16754
83,2.0,16951,0.9892441000003541,16951,0.0256968009602,0.00539489280258,16951
84,2.0,17121,0.9890911000003592,17121,0.0302455851397,0.00610203527631,17121
85,4.0,17373,0.9888643000003666,17373,0.0296656186877,0.00536954912764,17373
86,2.0,17558,0.9886978000003721,17558,0.0264457721112,0.00605841075659,17558
87,2.0,17720,0.9885520000003769,17720,0.0231166795574,0.00478355457534,17720
88,1.0,17859,0.988426900000381,17859,0.0255242053908,0.00437023878007,17859
89,6.0,18186,0.9881326000003907,18186,0.0284852330759,0.00572365889312,18186
90,1.0,18341,0.9879931000003953,18341,0.0281158386399,0.00528661407809,18341
91,1.0,18499,0.9878509000004,18499,0.0358181315639,0.00616664989681,18499
92,5.0,18817,0.9875647000004094,18817,0.0385145835063,0.00554181800362,18817
93,2.0,19011,0.9873901000004152,19011,0.0345067590878,0.00573593287916,19011
94,2.0,19182,0.9872362000004202,19182,0.0299986108528,0.00588847624525,19182
95,2.0,19370,0.9870670000004258,19370,0.0282447026805,0.00591290438031,19370
96,4.0,19634,0.9868294000004336,19634,0.0347347431393,0.00565442060567,19634
97,3.0,19845,0.9866395000004399,19845,0.0291870283294,0.00542177113175,19845
98,2.0,20042,0.9864622000004457,20042,0.0298180491711,0.00579505176864,20042
99,4.0,20303,0.9862273000004534,20303,0.0477776879238,0.00696385113617,20303
100,3.0,20556,0.9859996000004609,20556,0.0504794715068,0.00545314566551,20556
101,3.0,20754,0.9858214000004668,20754,0.0472599055449,0.00520751497384,20754
102,2.0,20944,0.9856504000004724,20944,0.0477941415322,0.00548422071418,20944
103,2.0,21105,0.9855055000004772,21105,0.0465487983332,0.00676339433643,21105
104,1.0,21237,0.9853867000004811,21237,0.0445587819188,0.00526656648056,21237
105,0.0,21346,0.9852886000004843,21346,0.0514802449135,0.00523141686746,21346
106,2.0,21533,0.9851203000004899,21533,0.0510734212709,0.00661843716462,21533
107,3.0,21732,0.9849412000004958,21732,0.0429754013186,0.00618243580072,21732
108,8.0,22165,0.9845515000005086,22165,0.0538534688447,0.00630618015629,22165
109,2.0,22356,0.9843796000005143,22356,0.0453474216397,0.00587340600516,22356
110,5.0,22653,0.9841123000005231,22653,0.0544272997865,0.00551773516165,22653
111,2.0,22833,0.9839503000005284,22833,0.0503147972748,0.00704019379157,22833
112,0.0,22930,0.9838630000005313,22930,0.051504130408,0.00603241377874,22930
113,7.0,23346,0.9834886000005436,23346,0.0624732183687,0.006120766546,23346
114,2.0,23529,0.983323900000549,23529,0.0488331970133,0.00542797318157,23529
115,4.0,23794,0.9830854000005569,23794,0.0511358009897,0.00551098215452,23794
116,5.0,24075,0.9828325000005652,24075,0.0445264312323,0.00631462812289,24075
117,1.0,24233,0.9826903000005699,24233,0.0505982119166,0.0077158197152,24233
118,1.0,24380,0.9825580000005742,24380,0.0458105891107,0.00495883100508,24380
119,4.0,24640,0.982324000000582,24640,0.0493166223598,0.00614572329515,24640
120,4.0,24893,0.9820963000005895,24893,0.0456169712847,0.00561583567777,24893
121,1.0,25037,0.9819667000005937,25037,0.0526992252821,0.00589677512548,25037
122,2.0,25205,0.9818155000005987,25205,0.0424617318259,0.00490503643411,25205
123,0.0,25331,0.9817021000006024,25331,0.0482375203735,0.00568292448884,25331
124,1.0,25465,0.9815815000006064,25465,0.0442383894002,0.00439221857601,25465
125,1.0,25605,0.9814555000006105,25605,0.0473317104259,0.00642675887135,25605
126,4.0,25848,0.9812368000006177,25848,0.0437131673098,0.00524771353634,25848
127,2.0,26002,0.9810982000006223,26002,0.0474863325959,0.00652846977337,26002
128,5.0,26319,0.9808129000006317,26319,0.0457609008163,0.00567917363218,26319
129,1.0,26476,0.9806716000006364,26476,0.0456396549655,0.00573907508296,26476
130,1.0,26621,0.9805411000006407,26621,0.0392675137212,0.00576690087012,26621
131,2.0,26795,0.9803845000006458,26795,0.0439925684925,0.00484276538848,26795
132,6.0,27134,0.9800794000006559,27134,0.0429419312505,0.00561402800863,27134
133,1.0,27274,0.97995340000066,27274,0.0435256597187,0.00571224887505,27274
134,2.0,27437,0.9798067000006648,27437,0.0400920333341,0.00460360336837,27437
135,1.0,27564,0.9796924000006686,27564,0.0468639287452,0.00632970448886,27564
136,3.0,27792,0.9794872000006754,27792,0.0449898931966,0.00462134269045,27792
137,4.0,28027,0.9792757000006823,28027,0.0449969750928,0.00490335239921,28027
138,2.0,28195,0.9791245000006873,28195,0.0505297898226,0.00602349291307,28195
139,2.0,28388,0.978950800000693,28388,0.0435555405008,0.00582346236408,28388
140,4.0,28663,0.9787033000007012,28663,0.0524749204381,0.00641016593884,28663
141,2.0,28851,0.9785341000007067,28851,0.0440202911107,0.00629638096193,28851
142,2.0,29034,0.9783694000007122,29034,0.0424461904099,0.00558323579283,29034
143,4.0,29299,0.97813090000072,29299,0.0503858360198,0.00626438262558,29299
144,3.0,29509,0.9779419000007262,29509,0.0393333139253,0.00535935344352,29509
145,6.0,29887,0.9776017000007374,29887,0.0399719662373,0.00529368148371,29887
146,2.0,30064,0.9774424000007427,30064,0.0569391738055,0.00573064358278,30064
147,0.0,30169,0.9773479000007458,30169,0.0652303165978,0.00479118550614,30169
148,6.0,30504,0.9770464000007557,30504,0.0658131814603,0.00538357980633,30504
149,3.0,30710,0.9768610000007618,30710,0.0619125228773,0.00582467680693,30710
150,3.0,30914,0.9766774000007679,30914,0.05928166081,0.00535584455023,30914
151,1.0,31052,0.976553200000772,31052,0.0666172015548,0.00608509119817,31052
152,1.0,31197,0.9764227000007762,31197,0.0640432421503,0.00495134440171,31197
153,5.0,31503,0.9761473000007853,31503,0.0579239734588,0.00547595263483,31503
154,6.0,31820,0.9758620000007947,31820,0.0607366538856,0.00523612681435,31820
155,4.0,32085,0.9756235000008026,32085,0.0627841536167,0.00643190486528,32085
156,4.0,32316,0.9754156000008094,32316,0.0634907478168,0.0050196125339,32316
157,2.0,32483,0.9752653000008144,32483,0.0601470023059,0.00674903483212,32483
158,1.0,32620,0.9751420000008184,32620,0.0581970507293,0.00694096187527,32620
159,0.0,32740,0.975034000000822,32740,0.0673264010188,0.00601600975542,32740
160,0.0,32841,0.974943100000825,32841,0.0665547731563,0.00516808102669,32841
161,0.0,32971,0.9748261000008288,32971,0.0643778354503,0.00599697144223,32971
