EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,0.0005,0.01
Date/Time Start,2019-03-29 10:12:28.206524
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,1.0,139,1.0,139,0.0340243588945,0.0,139
1,1.0,293,1.0,293,0.0339332083724,0.0,293
2,3.0,480,1.0,480,0.0360526827906,0.0,480
3,3.0,688,1.0,688,0.033658894755,0.0,688
4,0.0,790,1.0,790,0.0335986395093,0.0,790
5,2.0,969,1.0,969,0.0339382002702,0.0,969
6,3.0,1186,1.0,1186,0.0346297473402,0.0,1186
7,5.0,1507,1.0,1507,0.0337772898063,0.0,1507
8,1.0,1639,1.0,1639,0.0330855692031,0.0,1639
9,1.0,1783,1.0,1783,0.0344096381838,0.0,1783
10,4.0,2035,1.0,2035,0.0335521945759,0.0,2035
11,1.0,2184,1.0,2184,0.0316672336135,0.0,2184
12,5.0,2492,1.0,2492,0.036852924383,0.0,2492
13,4.0,2749,1.0,2749,0.0344359845082,0.0,2749
14,3.0,2953,1.0,2953,0.0338010425661,0.0,2953
15,4.0,3184,1.0,3184,0.0337481656277,0.0,3184
16,3.0,3403,1.0,3403,0.0344449376696,0.0,3403
17,5.0,3716,1.0,3716,0.0325438567518,0.0,3716
18,2.0,3905,1.0,3905,0.034383767792,0.0,3905
19,3.0,4158,1.0,4158,0.0309091366813,0.0,4158
20,1.0,4287,1.0,4287,0.0330751881927,0.0,4287
21,2.0,4490,1.0,4490,0.0339407071912,0.0,4490
22,0.0,4606,1.0,4606,0.033352682929,0.0,4606
23,1.0,4739,1.0,4739,0.0342444888407,0.0,4739
24,1.0,4868,1.0,4868,0.0334320049155,0.0,4868
25,4.0,5157,0.9998587000000047,5157,0.0151440134473,0.00322552956276,5157
26,0.0,5264,0.9997624000000078,5264,0.00869689761796,0.00644079016764,5264
27,2.0,5430,0.9996130000000127,5430,0.0127321622546,0.00563022198803,5430
28,3.0,5668,0.9993988000000198,5668,0.0183715861711,0.00633237009189,5668
29,6.0,6027,0.9990757000000304,6027,0.00956213910782,0.00649038027431,6027
30,3.0,6270,0.9988570000000376,6270,0.0199057375394,0.00737448598274,6270
