EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,0.0005,0.01
Date/Time Start,2019-03-16 23:24:04.688298
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,1.0,149,1.0,149,0.0402526433685882,0.0,149
1,3.0,396,1.0,396,0.04115914916883596,0.0,396
2,2.0,605,1.0,605,0.04085315806728801,0.0,605
3,1.0,752,1.0,752,0.04128735177979177,0.0,752
4,3.0,942,1.0,942,0.040747044372715445,0.0,942
5,3.0,1170,0.999847000000005,1170,0.028428085712029746,0.0035341123681032435,1170
6,2.0,1354,0.9996814000000105,1354,0.026769906606363213,0.006692216666480184,1354
7,5.0,1659,0.9994069000000195,1659,0.02773787314224927,0.006388820215633147,1659
8,2.0,1841,0.9992431000000249,1841,0.04475579030074916,0.005445278816466101,1841
9,2.0,2026,0.9990766000000304,2026,0.028337373252253276,0.006816663057189372,2026
10,2.0,2226,0.9988966000000363,2226,0.024952430673874915,0.004966728806125502,2226
11,2.0,2401,0.9987391000000415,2401,0.02393548571105514,0.004650830177498782,2401
12,1.0,2563,0.9985933000000463,2563,0.042224638968890095,0.005927860354387559,2563
13,4.0,2825,0.9983575000000541,2825,0.0253214577945191,0.004836965568714912,2825
14,3.0,3060,0.998146000000061,3060,0.03121497578760411,0.006853586815169423,3060
15,2.0,3233,0.9979903000000662,3233,0.021882801445879344,0.005654791433362386,3233
16,3.0,3439,0.9978049000000723,3439,0.029655254735312993,0.004778901279881485,3439
17,3.0,3669,0.9975979000000791,3669,0.02395354379778323,0.0056821958564598945,3669
18,7.0,4096,0.9972136000000917,4096,0.027057616454516417,0.005749376146356598,4096
19,3.0,4309,0.997021900000098,4309,0.03013993925611738,0.0070198498536104895,4309
20,5.0,4633,0.9967303000001076,4633,0.02954762483038652,0.006094031605120288,4633
21,1.0,4781,0.996597100000112,4781,0.030044945284120134,0.005360775901248712,4781
22,1.0,4936,0.9964576000001166,4936,0.029590565326713746,0.0059073091561121175,4936
23,0.0,5052,0.9963532000001201,5052,0.036069104447960854,0.00479078396883465,5052
24,3.0,5267,0.9961597000001264,5267,0.020783134307279145,0.004784784725813742,5267
25,1.0,5412,0.9960292000001307,5412,0.038432646337254295,0.006485908100713177,5412
26,1.0,5550,0.9959050000001348,5550,0.02944285256545181,0.005181085552778867,5550
27,4.0,5802,0.9956782000001423,5802,0.029712311273056364,0.0065234804557067465,5802
28,2.0,5993,0.995506300000148,5993,0.034291076586040525,0.0060559340672625694,5993
29,2.0,6149,0.9953659000001526,6149,0.02274163196890209,0.006439796119162239,6149
30,5.0,6441,0.9951031000001612,6441,0.032450648458444906,0.006612457302303296,6441
31,7.0,6812,0.9947692000001722,6812,0.025655581136397276,0.005734675202290107,6812
32,3.0,7025,0.9945775000001785,7025,0.032539378300728936,0.006843869214908366,7025
33,5.0,7323,0.9943093000001874,7323,0.028096565723594202,0.00576027953298616,7323
34,2.0,7501,0.9941491000001926,7501,0.02554551094477431,0.005799977261651722,7501
35,5.0,7777,0.9939007000002008,7777,0.033518191359505276,0.006360445944731022,7777
36,2.0,7956,0.9937396000002061,7956,0.03270262084880521,0.0062542962354525606,7956
37,3.0,8177,0.9935407000002127,8177,0.031213947879445498,0.00695192330551345,8177
38,4.0,8447,0.9932977000002207,8447,0.02978371612175747,0.005585545244617539,8447
39,4.0,8723,0.9930493000002288,8723,0.03487097525267281,0.006585188046248758,8723
40,5.0,9055,0.9927505000002387,9055,0.035487277691353514,0.006158470915135738,9055
41,2.0,9223,0.9925993000002437,9223,0.03607513426825227,0.006906891771883411,9223
42,5.0,9526,0.9923266000002526,9526,0.02747491921110712,0.006290449839418978,9526
43,4.0,9782,0.9920962000002602,9782,0.03149407785531366,0.006185199803141472,9782
44,1.0,9914,0.9919774000002641,9914,0.04053257426924326,0.007179603971384164,9914
45,4.0,10170,0.9917470000002717,10170,0.03644460887880996,0.0062393223427221756,10170
46,3.0,10401,0.9915391000002786,10401,0.03996218115220338,0.006363709404357713,10401
47,0.0,10505,0.9914455000002816,10505,0.040150929564753406,0.005941911281227546,10505
48,3.0,10726,0.9912466000002882,10726,0.040894120029801695,0.005865028621455541,10726
49,2.0,10919,0.9910729000002939,10919,0.04774710850626076,0.0073075104486200245,10919
50,5.0,11264,0.9907624000003041,11264,0.04465399030326069,0.006136631216498284,11264
