EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-03-15 20:45:51.178169
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,3.0,237,1.0,237,0.04256944053409472,0.0,237
1,3.0,451,1.0,451,0.03589839939132472,0.0,451
2,2.0,629,1.0,629,0.03987916705481122,0.0,629
3,5.0,941,1.0,941,0.039608018168319874,0.0,941
4,2.0,1110,0.9999010000000033,1110,0.03415782191961474,0.004342191230943812,1110
5,3.0,1318,0.9997138000000094,1318,-0.01129922180315099,0.007001886234110526,1318
6,7.0,1685,0.9993835000000203,1685,0.05413420314953551,0.00886073046663969,1685
7,2.0,1861,0.9992251000000255,1861,0.015477917364478344,0.007700704832958846,1861
8,4.0,2104,0.9990064000000327,2104,0.03573096733539818,0.007197956863116212,2104
9,0.0,2203,0.9989173000000356,2203,0.021305953496432103,0.007953803304943252,2203
10,1.0,2350,0.99878500000004,2350,0.015155583620170403,0.00855581092784422,2350
11,4.0,2650,0.9985150000000489,2650,0.01552016470193242,0.007142687546365778,2650
12,2.0,2826,0.9983566000000541,2826,0.047014965527606284,0.0076091296940500215,2826
13,7.0,3252,0.9979732000000667,3252,0.04110588207447403,0.007983345217010157,3252
14,2.0,3460,0.9977860000000729,3460,0.031177470822932755,0.0071912954346351815,3460
15,2.0,3628,0.9976348000000779,3628,0.022620954488437355,0.007318121769761395,3628
16,3.0,3822,0.9974602000000836,3822,0.051146079704511106,0.008274034029670578,3822
17,1.0,3950,0.9973450000000874,3950,0.05860072426730767,0.008134756195516957,3950
18,3.0,4151,0.9971641000000934,4151,0.055885099347180396,0.006399561540373231,4151
19,0.0,4268,0.9970588000000968,4268,0.06311349513439032,0.008033387266379546,4268
20,2.0,4439,0.9969049000001019,4439,0.06564394299659812,0.006022711121419745,4439
21,3.0,4665,0.9967015000001086,4665,0.07397218808465827,0.008435462866383261,4665
22,3.0,4874,0.9965134000001148,4874,0.037901868496165926,0.008391490993857952,4874
23,4.0,5116,0.996295600000122,5116,0.027823765000159092,0.007639551894401449,5116
24,1.0,5241,0.9961831000001257,5241,0.06981039798259735,0.007987891764365486,5241
25,2.0,5417,0.9960247000001309,5417,0.0242831719012677,0.008253287311493874,5417
26,4.0,5726,0.99574660000014,5726,-0.008915522232241808,0.00724181184117738,5726
27,0.0,5843,0.9956413000001435,5843,-0.0052065548514867695,0.007823480109973155,5843
28,2.0,6043,0.9954613000001494,6043,0.011148352060117758,0.007051431748686809,6043
29,1.0,6203,0.9953173000001542,6203,-0.011735164190758951,0.008899523956097255,6203
30,2.0,6427,0.9951157000001608,6427,0.014401726102992793,0.005772806896857219,6427
31,2.0,6616,0.9949456000001664,6616,0.024368178227512294,0.006794138383787069,6616
32,0.0,6720,0.9948520000001695,6720,-0.0010962086867388838,0.005633317124997679,6720
33,2.0,6877,0.9947107000001741,6877,0.03698165737875518,0.006995019978331254,6877
34,2.0,7059,0.9945469000001795,7059,0.02384800783737184,0.006320750862809351,7059
35,2.0,7235,0.9943885000001847,7235,0.016858440528846007,0.00718293583291928,7235
36,4.0,7540,0.9941140000001938,7540,-0.0071765404931254315,0.006979484068476462,7540
37,2.0,7747,0.9939277000001999,7747,0.03363134647755555,0.007107250419607586,7747
38,2.0,7926,0.9937666000002052,7926,0.03421898949214949,0.00643232001055763,7926
39,2.0,8130,0.9935830000002113,8130,-0.00239191978870818,0.00724204285139493,8130
40,2.0,8352,0.9933832000002178,8352,0.01836266471041568,0.006120236288716279,8352
41,6.0,8741,0.9930331000002294,8741,0.010277049917978197,0.007556337328157443,8741
42,4.0,9001,0.9927991000002371,9001,0.00785572214696843,0.0071381341403489035,9001
43,1.0,9162,0.9926542000002418,9162,-0.0011722495273603069,0.0069532444595662235,9162
44,2.0,9323,0.9925093000002466,9323,-0.023099968360262627,0.005575573679176521,9323
45,3.0,9570,0.9922870000002539,9570,0.0019178123662044644,0.0051945640728811885,9570
46,3.0,9791,0.9920881000002605,9791,0.00817466801365867,0.00709906390015293,9791
47,1.0,9918,0.9919738000002642,9918,-0.0047632293192684414,0.00544614524231321,9918
48,5.0,10243,0.9916813000002739,10243,0.022056810386622182,0.006690605442794409,10243
49,1.0,10384,0.9915544000002781,10384,0.02788116398485417,0.005265010455641846,10384
50,2.0,10584,0.991374400000284,10584,0.030439857058227063,0.005857252933492418,10584
