Date/Time Start,2019-03-16 11:38:16.290721
EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,0.00035,0.01
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,2.0,180,1.0,180,0.0706510970989863,0.0,180
1,1.0,333,1.0,333,0.07122879041955361,0.0,333
2,3.0,530,1.0,530,0.07164023986776469,0.0,530
3,2.0,727,1.0,727,0.07172646596649576,0.0,727
4,4.0,975,1.0,975,0.07208493406013135,0.0,975
5,2.0,1153,0.9998623000000045,1153,0.03226083872337522,0.0047952742138835,1153
6,3.0,1394,0.9996454000000117,1394,0.00891612044002289,0.004742502377074332,1394
7,4.0,1676,0.99939160000002,1676,0.01288851700122105,0.00601410586896494,1676
8,1.0,1819,0.9992629000000243,1819,0.015740459923261216,0.005589720413421152,1819
9,4.0,2100,0.9990100000000326,2100,0.015255599508055377,0.006377103103963709,2100
10,3.0,2305,0.9988255000000387,2305,0.015485050360013436,0.006054199686225663,2305
11,2.0,2472,0.9986752000000436,2472,0.017508850432932377,0.006151856780273514,2472
12,1.0,2604,0.9985564000000475,2604,0.01780516765553109,0.005904585955745874,2604
13,3.0,2844,0.9983404000000546,2844,0.018272780000309772,0.005559118964993104,2844
14,2.0,3022,0.9981802000000599,3022,0.010518153333445237,0.005210669459189744,3022
15,3.0,3227,0.997995700000066,3227,0.012898850811236515,0.006588945587832203,3227
16,3.0,3459,0.9977869000000729,3459,0.015914187620088845,0.006427405229793482,3459
17,3.0,3682,0.9975862000000795,3682,0.017972067802426127,0.006068720656945401,3682
18,4.0,3939,0.9973549000000871,3939,0.015328791744441721,0.007012578742985174,3939
19,4.0,4190,0.9971290000000945,4190,0.010761064443870845,0.005345654994378861,4190
20,4.0,4459,0.9968869000001025,4459,0.02347916631256559,0.007398633530101506,4459
21,4.0,4703,0.9966673000001097,4703,0.01238279958297575,0.006735307578280492,4703
22,6.0,5043,0.9963613000001198,5043,0.01897373348748421,0.006454575551662642,5043
23,2.0,5203,0.9962173000001245,5203,0.02085298998572398,0.008582891720334374,5203
24,2.0,5367,0.9960697000001294,5367,0.013480658162379547,0.005797728358784963,5367
25,1.0,5515,0.9959365000001338,5515,0.01805156477210993,0.008373737140966507,5515
26,4.0,5769,0.9957079000001413,5769,0.014503886003329558,0.006280872316713748,5769
27,4.0,6040,0.9954640000001493,6040,0.01458645952484017,0.006276452810231513,6040
28,3.0,6299,0.995230900000157,6299,0.013637152293689808,0.006387801832255908,6299
29,6.0,6651,0.9949141000001674,6651,0.012964978446358476,0.006173453960762096,6651
30,3.0,6880,0.9947080000001742,6880,0.009365502222315063,0.005183865268966112,6880
31,0.0,6988,0.9946108000001774,6988,0.021107416729339294,0.0072538757296098525,6988
32,5.0,7314,0.9943174000001871,7314,0.013197040115697367,0.005940077666817417,7314
33,4.0,7570,0.9940870000001947,7570,0.015945609520713333,0.006975825238015432,7570
34,4.0,7834,0.9938494000002025,7834,0.014574019501169183,0.007026291579291645,7834
35,2.0,8011,0.9936901000002077,8011,0.015363769408441702,0.007159795509904523,8011
36,3.0,8206,0.9935146000002135,8206,0.01647964068210851,0.00637579555977703,8206
37,1.0,8371,0.9933661000002184,8371,0.012386992431217523,0.006406209993226433,8371
38,3.0,8613,0.9931483000002256,8613,0.015278291547948047,0.006459749163229938,8613
39,2.0,8774,0.9930034000002304,8774,0.011089570814546961,0.005725811532610356,8774
40,2.0,8961,0.9928351000002359,8961,0.014861635873741645,0.007045719281936508,8961
41,1.0,9102,0.9927082000002401,9102,0.011724923684506129,0.005888464185295723,9102
42,3.0,9317,0.9925147000002464,9317,0.015756819791398768,0.006619311413804859,9317
43,2.0,9495,0.9923545000002517,9495,0.018797009312181492,0.006971811234803538,9495
44,7.0,9870,0.9920170000002628,9870,0.013331759664540489,0.005714178226975492,9870
45,1.0,10006,0.9918946000002669,10006,0.011545827174011399,0.005628249727231057,10006
46,4.0,10296,0.9916336000002755,10296,0.04375664763281058,0.0069159953078583225,10296
47,4.0,10610,0.9913510000002848,10610,0.043246399273111184,0.006438740562956647,10610
48,5.0,10884,0.9911044000002929,10884,0.043863017193592375,0.0065341566011148065,10884
49,5.0,11194,0.9908254000003021,11194,0.048042344241853684,0.006607148063331777,11194
50,2.0,11405,0.9906355000003083,11405,0.04914157837629318,0.007372196779167887,11405
51,2.0,11575,0.9904825000003133,11575,0.03814455877770396,0.00562819867492876,11575
52,3.0,11821,0.9902611000003206,11821,0.0511886294688878,0.006643684888005989,11821
53,2.0,11997,0.9901027000003259,11997,0.04320416479921815,0.005934955806506795,11997
54,4.0,12274,0.9898534000003341,12274,0.041753707386365004,0.006836746936297403,12274
55,1.0,12404,0.9897364000003379,12404,0.044451784285215235,0.0053308337360739155,12404
56,1.0,12563,0.9895933000003426,12563,0.04660714286490806,0.005991446862392436,12563
57,2.0,12742,0.9894322000003479,12742,0.04734190622105279,0.006952711880213891,12742
58,4.0,12987,0.9892117000003552,12987,0.04019494501455706,0.00620793560458934,12987
59,5.0,13294,0.9889354000003643,13294,0.03853392733279191,0.006810824339991323,13294
60,2.0,13477,0.9887707000003697,13477,0.04604069571026036,0.006864824357245829,13477
61,2.0,13653,0.9886123000003749,13653,0.054130750306119975,0.006341312347413722,13653
62,1.0,13813,0.9884683000003797,13813,0.04706729168538004,0.007494292031447003,13813
63,2.0,13982,0.9883162000003847,13982,0.04729765080488645,0.007723553804164069,13982
64,5.0,14325,0.9880075000003948,14325,0.04399038866466405,0.0060891530949193215,14325
65,1.0,14466,0.987880600000399,14466,0.042592154485536805,0.004802200742639624,14466
66,2.0,14666,0.9877006000004049,14666,0.047715287338942286,0.005842920581853832,14666
67,0.0,14765,0.9876115000004079,14765,0.05094500228461593,0.007004597016636369,14765
68,4.0,15024,0.9873784000004155,15024,0.04172932804637664,0.006460573527972982,15024
69,4.0,15282,0.9871462000004232,15282,0.0405562207420436,0.0068187239836023684,15282
70,1.0,15422,0.9870202000004273,15422,0.04495770641203437,0.006152601894427789,15422
71,2.0,15592,0.9868672000004324,15592,0.04102160301716889,0.006861942247076727,15592
72,2.0,15751,0.9867241000004371,15751,0.043639883176429466,0.005890204455561547,15751
73,0.0,15853,0.9866323000004401,15853,0.04498983590918429,0.006615936694787724,15853
74,0.0,15974,0.9865234000004437,15974,0.056247360296239536,0.009697088421587466,15974
75,2.0,16136,0.9863776000004485,16136,0.04300947483904936,0.007195714043619874,16136
76,3.0,16379,0.9861589000004557,16379,0.048055934623926266,0.006192929403237911,16379
77,3.0,16581,0.9859771000004617,16581,0.040780379455352185,0.0066773693259093115,16581
78,3.0,16789,0.9857899000004678,16789,0.040122053353115916,0.005995622092261608,16789
79,2.0,16961,0.9856351000004729,16961,0.0403930755158843,0.006151234776870148,16961
80,2.0,17139,0.9854749000004782,17139,0.0442945711272821,0.006286141936235775,17139
81,2.0,17324,0.9853084000004837,17324,0.038614809583570504,0.005393762090357455,17324
82,1.0,17490,0.9851590000004886,17490,0.04942365663956447,0.007735424818199672,17490
83,8.0,17912,0.9847792000005011,17912,0.044291477407642166,0.0069107112028406106,17912
84,2.0,18072,0.9846352000005059,18072,0.04406586547847837,0.007740726424526656,18072
