Date/Time Start,2019-03-16 14:53:24.219533
EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,0.0005,0.01
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,2.0,187,1.0,187,0.048114764379626286,0.0,187
1,2.0,349,1.0,349,0.04800674066315463,0.0,349
2,2.0,514,1.0,514,0.047719280670086545,0.0,514
3,3.0,729,1.0,729,0.04879775537654411,0.0,729
4,5.0,1053,0.9999523000000016,1053,0.04518660436740812,0.0010024475703984434,1053
5,5.0,1379,0.9996589000000112,1379,0.042606658587929294,0.006513629549470999,1379
6,3.0,1607,0.999453700000018,1607,0.04498948686217007,0.00752967163353197,1607
7,1.0,1744,0.999330400000022,1744,0.045392921656696464,0.006794363800017758,1744
8,5.0,2062,0.9990442000000315,2062,0.04387442316016499,0.007205375559054078,2062
9,5.0,2377,0.9987607000000408,2377,0.04412392224111254,0.006923173890956807,2377
10,2.0,2559,0.9985969000000462,2559,0.04451866893118227,0.0075659287178875805,2559
11,6.0,2907,0.9982837000000565,2907,0.042215502997539164,0.006395976738235993,2907
12,4.0,3168,0.9980488000000642,3168,0.04864886976864146,0.007624787597500423,3168
13,2.0,3353,0.9978823000000697,3353,0.04402883934813577,0.0074287311007808325,3353
14,3.0,3572,0.9976852000000762,3572,0.04382553954340824,0.007662848493320996,3572
15,4.0,3859,0.9974269000000847,3859,0.037751831114292145,0.005829716242732651,3859
16,5.0,4153,0.9971623000000934,4153,0.041184241104186795,0.006973266201613751,4153
17,0.0,4277,0.9970507000000971,4277,0.04049948248411379,0.0059619501298877895,4277
18,2.0,4442,0.996902200000102,4442,0.044501060552217746,0.0068935526776344475,4442
19,6.0,4812,0.996569200000113,4812,0.0409304678440094,0.007232237373790594,4812
20,5.0,5128,0.9962848000001223,5128,0.04018993807744376,0.006680781045412879,5128
21,2.0,5320,0.996112000000128,5320,0.04621922738927727,0.006504032534242772,5320
22,3.0,5510,0.9959410000001336,5510,0.038999354800111366,0.006410762984638782,5510
23,0.0,5629,0.9958339000001372,5629,0.04104501805698671,0.005325779575073016,5629
24,3.0,5820,0.9956620000001428,5820,0.04328089481443947,0.006580517007052016,5820
25,3.0,6061,0.99544510000015,6061,0.04155991789092661,0.006829836352798832,6061
26,2.0,6243,0.9952813000001554,6243,0.03978853874358829,0.005855131376537739,6243
27,2.0,6400,0.99514000000016,6400,0.042753479437558514,0.008599452010330308,6400
28,3.0,6613,0.9949483000001663,6613,0.039500408941451376,0.006288131400318709,6613
29,1.0,6763,0.9948133000001708,6763,0.0498617409914732,0.007888666517998596,6763
30,3.0,6995,0.9946045000001776,6995,0.04298992840380504,0.006621164772053001,6995
31,1.0,7139,0.9944749000001819,7139,0.042984260078002184,0.00808521151587153,7139
32,3.0,7360,0.9942760000001885,7360,0.03925815450524852,0.006532738773855202,7360
33,6.0,7722,0.9939502000001992,7722,0.043109632184656944,0.006615113861135992,7722
34,4.0,7972,0.9937252000002066,7972,0.045355217091739175,0.0069913571665092605,7972
35,0.0,8081,0.9936271000002098,8081,0.0429653725287783,0.006904645433378141,8081
36,3.0,8296,0.9934336000002162,8296,0.041224262889388,0.006498372924346937,8296
37,2.0,8483,0.9932653000002217,8483,0.03872982596849057,0.005593512811962055,8483
38,2.0,8660,0.993106000000227,8660,0.04077973669279093,0.006932145363106876,8660
39,4.0,8912,0.9928792000002344,8912,0.04040935490694311,0.006276760973977371,8912
40,1.0,9074,0.9927334000002392,9074,0.04173198763143133,0.0060549968236528785,9074
41,1.0,9199,0.992620900000243,9199,0.039095150128006934,0.00481017939105368,9199
42,2.0,9391,0.9924481000002486,9391,0.03645951246532301,0.005539652913190214,9391
43,1.0,9533,0.9923203000002528,9533,0.038991714775247474,0.006083749810322459,9533
44,5.0,9811,0.9920701000002611,9811,0.04089169385809478,0.006462646075227593,9811
45,0.0,9909,0.991981900000264,9909,0.04126550088047373,0.006721976161631518,9909
46,1.0,10046,0.991858600000268,10046,0.04186343252115006,0.005738093371665476,10046
47,2.0,10232,0.9916912000002736,10232,0.05780293177613007,0.005984541528705841,10232
48,1.0,10377,0.9915607000002779,10377,0.05727088728855396,0.0060721306975241975,10377
49,4.0,10648,0.9913168000002859,10648,0.06018146245681932,0.006379658371424672,10648
50,1.0,10789,0.9911899000002901,10789,0.05850478462505002,0.006224222380380705,10789
51,3.0,11004,0.9909964000002964,11004,0.0589075562739095,0.007014864133241137,11004
52,1.0,11150,0.9908650000003008,11150,0.06036572247641544,0.0065429041453968885,11150
53,0.0,11257,0.9907687000003039,11257,0.05643008503122864,0.006365246765029118,11257
54,2.0,11417,0.9906247000003087,11417,0.0578146664891392,0.006430299536168605,11417
55,1.0,11573,0.9904843000003133,11573,0.05929701355023262,0.006908641265745712,11573
56,5.0,11858,0.9902278000003217,11858,0.05864851332285948,0.006167206418123035,11858
57,1.0,12015,0.9900865000003264,12015,0.06151611566733403,0.007153278432379938,12015
58,2.0,12176,0.9899416000003312,12176,0.06001203474791154,0.006870736499103321,12176
