EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-06,0.01
Date/Time Start,2019-03-17 17:55:28.435857
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,7.0,358,1.0,358,-0.005498088597757065,0.0,358
1,6.0,803,1.0,803,-0.004697193913789612,0.0,803
2,6.0,1260,0.9997660000000077,1260,-0.004777923922715006,0.0087335626686428,1260
3,6.0,1603,0.9994573000000179,1603,-0.003608268050127493,0.014279147795382507,1603
4,6.0,2067,0.9990397000000316,2067,-0.0012694022002663055,0.013925777456687025,2067
5,21.0,2709,0.9984619000000506,2709,0.0020573860559484855,0.01492145469062599,2709
6,6.0,3105,0.9981055000000624,3105,0.006698540856531408,0.0154874780094204,3105
7,6.0,3370,0.9978670000000702,3370,0.009878080014033981,0.01447985551126723,3370
8,6.0,3829,0.9974539000000838,3829,0.011824341006434983,0.015042951502502452,3829
9,6.0,4134,0.9971794000000929,4134,0.015380379125536954,0.013482156391331896,4134
10,6.0,4428,0.9969148000001016,4428,0.017230974301239665,0.013396733449962067,4428
11,24.0,4856,0.9965296000001143,4856,0.02213391151810152,0.014135144887574749,4856
12,7.0,5267,0.9961597000001264,5267,0.02162517482355926,0.016018066567158068,5267
13,6.0,5740,0.9957340000001405,5740,0.02329223450808835,0.014034439398351875,5740
14,7.0,5989,0.9955099000001478,5989,0.025427212003603518,0.013958288352454013,5989
15,21.0,6389,0.9951499000001597,6389,0.027630189741030334,0.013591207202698569,6389
16,6.0,6857,0.9947287000001735,6857,0.027891224142737113,0.014776442911123665,6857
17,7.0,7238,0.9943858000001848,7238,0.029796568686607003,0.013000201715921538,7238
18,6.0,7589,0.9940699000001952,7589,0.031185841453168807,0.013740015937217067,7589
19,6.0,7932,0.9937612000002054,7932,0.03288054203956711,0.014980231939187768,7932
20,6.0,8327,0.9934057000002171,8327,0.03359588338415834,0.013771367661914304,8327
21,24.0,8770,0.9930070000002302,8770,0.03803359153712038,0.014510720152025265,8770
22,6.0,9141,0.9926731000002412,9141,0.037012079534826256,0.01384304519670556,9141
23,6.0,9483,0.9923653000002514,9483,0.03799517561098811,0.014494483349116367,9483
24,24.0,9898,0.9919918000002637,9898,0.040597745403647426,0.013432025566068758,9898
25,6.0,10298,0.9916318000002755,10298,0.03988644908182323,0.013839888549337048,10298
26,6.0,10681,0.9912871000002869,10681,0.04073324165849244,0.012743451502047996,10681
27,6.0,11001,0.9909991000002963,11001,0.04098975671222434,0.013432788328782409,11001
28,6.0,11296,0.9907336000003051,11296,0.041744289130477584,0.012800739300378077,11296
29,6.0,11694,0.9903754000003169,11694,0.040991277242051295,0.012313574761308463,11694
30,6.0,11992,0.9901072000003257,11992,0.0421662589147587,0.012122951550046866,11992
31,6.0,12388,0.9897508000003374,12388,0.04243558538005208,0.012794855380181817,12388
32,7.0,12747,0.9894277000003481,12747,0.042143896906986875,0.011120352355241555,12747
33,6.0,13193,0.9890263000003613,13193,0.04358270700870608,0.011765448521925011,13193
34,6.0,13647,0.9886177000003747,13647,0.04388933553307067,0.011151372288466695,13647
35,6.0,14018,0.9882838000003857,14018,0.04484660104117946,0.010974291110121975,14018
36,6.0,14370,0.9879670000003962,14370,0.04514934873970395,0.011844781966270933,14370
37,6.0,14769,0.987607900000408,14769,0.045759726959959904,0.010426998470942644,14769
38,27.0,15119,0.9872929000004184,15119,0.0470789806331907,0.012191185983766836,15119
39,24.0,15535,0.9869185000004307,15535,0.047679546396606244,0.013658292167817238,15535
40,6.0,15932,0.9865612000004425,15932,0.04726457249570253,0.01151611335772673,15932
41,6.0,16419,0.9861229000004569,16419,0.0478081175755304,0.010575894401106638,16419
42,6.0,16809,0.9857719000004684,16809,0.04824551214010288,0.013469153135883972,16809
43,6.0,17211,0.9854101000004803,17211,0.04897234862234758,0.01208850959847041,17211
44,6.0,17595,0.9850645000004917,17595,0.04960327717708424,0.011222391072327772,17595
45,7.0,17901,0.9847891000005008,17901,0.048739035705140994,0.012191529379492007,17901
46,7.0,18259,0.9844669000005114,18259,0.048699963504875175,0.011838444763382455,18259
47,7.0,18649,0.984115900000523,18649,0.049715748419746374,0.009892197208048459,18649
48,7.0,18892,0.9838972000005302,18892,0.0506167704921691,0.011473681299650835,18892
49,7.0,19291,0.983538100000542,19291,0.05095532648545459,0.011512546691803783,19291
50,6.0,19690,0.9831790000005538,19690,0.0518794141915209,0.01009917256251675,19690
51,6.0,19994,0.9829054000005628,19994,0.052063764158734364,0.011040097057969578,19994
52,6.0,20290,0.9826390000005716,20290,0.052519316847964716,0.01153418952939368,20290
53,6.0,20657,0.9823087000005825,20657,0.053124054190410906,0.01060972935081176,20657
54,6.0,21039,0.9819649000005938,21039,0.05321348506313656,0.010193671433507107,21039
55,7.0,21415,0.9816265000006049,21415,0.05355517081718179,0.011031285167847911,21415
56,6.0,21803,0.9812773000006164,21803,0.05418711678921869,0.011297044738282623,21803
57,7.0,22065,0.9810415000006242,22065,0.054515322712996535,0.011664835525763697,22065
58,6.0,22508,0.9806428000006373,22508,0.05515246122705479,0.011398697707309788,22508
59,6.0,22906,0.9802846000006491,22906,0.055849378469900866,0.011624931998039528,22906
60,21.0,23332,0.9799012000006617,23332,0.05759029185722971,0.011191016695880416,23332
61,19.0,23684,0.9795844000006722,23684,0.056984897956929424,0.011786703178322776,23684
62,6.0,24162,0.9791542000006863,24162,0.05770604773015407,0.011393332606907485,24162
63,7.0,24560,0.9787960000006981,24560,0.057977590719284725,0.012390463952708809,24560
64,6.0,24959,0.9784369000007099,24959,0.058609773164479656,0.011336048709552387,24959
65,23.0,25472,0.9779752000007251,25472,0.05948383838199733,0.010747633006868325,25472
66,6.0,25877,0.9776107000007371,25877,0.060247326660671355,0.011958687798440584,25877
67,6.0,26235,0.9772885000007477,26235,0.06051081909106097,0.011673912858814778,26235
68,22.0,26716,0.976855600000762,26716,0.06256909205301388,0.010267363841459027,26716
69,7.0,26982,0.9766162000007699,26982,0.06128571034037977,0.011933893124963865,26982
70,7.0,27313,0.9763183000007797,27313,0.061331154840500335,0.012598745888219534,27313
71,6.0,27760,0.9759160000007929,27760,0.06222528503411835,0.010785834694294437,27760
72,7.0,28117,0.9755947000008035,28117,0.062183077961039473,0.009791616276210849,28117
73,22.0,28451,0.9752941000008134,28451,0.06290845340954329,0.012368602971096942,28451
74,6.0,28757,0.9750187000008225,28757,0.06366219694172245,0.013278850171410145,28757
75,6.0,29152,0.9746632000008342,29152,0.0644457948358753,0.011634376328597854,29152
76,6.0,29520,0.9743320000008451,29520,0.06446337424542593,0.012049292512212718,29520
77,10.0,29844,0.9740404000008547,29844,0.06504828526557964,0.011259114732301559,29844
78,6.0,30139,0.9737749000008634,30139,0.06568393740108458,0.011364237911488922,30139
79,7.0,30451,0.9734941000008727,30451,0.0657060361849383,0.011987337283792443,30451
80,21.0,30804,0.9731764000008831,30804,0.06634678234670723,0.011432293405836411,30804
81,6.0,31208,0.9728128000008951,31208,0.06719002499254328,0.012017539926118573,31208
82,6.0,31515,0.9725365000009042,31515,0.06797524488224657,0.013118276945338054,31515
83,6.0,31920,0.9721720000009162,31920,0.0684879943176552,0.011706003112982373,31920
84,6.0,32350,0.9717850000009289,32350,0.06949316893899163,0.011605844421615604,32350
85,6.0,32726,0.9714466000009401,32726,0.07009074965769306,0.012566612884343836,32726
86,6.0,33044,0.9711604000009495,33044,0.07054754901888236,0.010746100730279949,33044
87,6.0,33549,0.9707059000009645,33549,0.07158983405863885,0.011343160340773394,33549
