EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1.75e-08,0.01
Date/Time Start,2019-03-20 18:40:30.182461
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,386,1.0,386,0.04729630310725363,0.0,386
1,25.0,728,1.0,728,0.04608780841686224,0.0,728
2,6.0,1123,0.9998893000000036,1123,0.04665369317878651,0.005568676526051109,1123
3,21.0,1582,0.9994762000000172,1582,0.0490354401564676,0.019733517449935047,1582
4,6.0,1942,0.9991522000000279,1942,0.04810857370288835,0.02050919415891662,1942
5,6.0,2348,0.9987868000000399,2348,0.0479361737339661,0.016979083711174753,2348
6,39.0,3097,0.9981127000000621,3097,0.04699654216680412,0.018055169629890507,3097
7,6.0,3492,0.9977572000000738,3492,0.04825390598064736,0.019706555069910505,3492
8,7.0,3800,0.997480000000083,3800,0.046857412602123505,0.018248525575331,3800
9,7.0,4210,0.9971110000000951,4210,0.04693186920045352,0.01685671846796872,4210
10,6.0,4595,0.9967645000001065,4595,0.047395142729019187,0.015874797534258044,4595
11,23.0,4899,0.9964909000001155,4899,0.04567302180160033,0.017814546565970982,4899
12,24.0,5335,0.9960985000001285,5335,0.04775013801120563,0.017591146640762594,5335
13,21.0,5655,0.9958105000001379,5655,0.04634773443685845,0.019330355937199784,5655
14,6.0,6142,0.9953722000001524,6142,0.04953390953477158,0.01866619217757411,6142
15,7.0,6556,0.9949996000001646,6556,0.047540711346959724,0.017056779148184206,6556
16,6.0,6854,0.9947314000001735,6854,0.046632626112675504,0.018214434304629334,6854
17,6.0,7257,0.9943687000001854,7257,0.048127575867599054,0.018489080916849837,7257
18,22.0,7859,0.9938269000002032,7859,0.04979816097704279,0.01685763571661413,7859
19,20.0,8225,0.9934975000002141,8225,0.04541433212739197,0.017660817793313455,8225
20,6.0,8623,0.9931393000002259,8623,0.048152455451650235,0.017445024811875088,8623
21,6.0,8989,0.9928099000002367,8989,0.04788913245979554,0.016938299150110726,8989
22,6.0,9290,0.9925390000002456,9290,0.046785492487127996,0.016981407288157155,9290
23,6.0,9672,0.992195200000257,9672,0.04868789412159258,0.01801631306950247,9672
24,6.0,10062,0.9918442000002685,10062,0.048371848416252014,0.017801712941563425,10062
25,6.0,10379,0.9915589000002779,10379,0.04595161103628787,0.018312270100131537,10379
26,6.0,10756,0.9912196000002891,10756,0.04762955736220673,0.018859104221237117,10756
27,6.0,11143,0.9908713000003005,11143,0.04858873161735153,0.01785407863582607,11143
28,23.0,11524,0.9905284000003118,11524,0.045846872041466355,0.019146420252863856,11524
29,6.0,11829,0.9902539000003209,11829,0.04661896768652025,0.018499172866329183,11829
30,6.0,12288,0.9898408000003345,12288,0.049089764336160586,0.01911025391769857,12288
31,7.0,12845,0.989339500000351,12845,0.04960275658103679,0.017957568951778757,12845
32,21.0,13271,0.9889561000003636,13271,0.048400531772156835,0.01807167557994026,13271
33,22.0,13901,0.9883891000003823,13901,0.04911936570609373,0.018966912702354233,13901
34,7.0,14242,0.9880822000003924,14242,0.04738682742255174,0.016880107168558863,14242
35,7.0,14616,0.9877456000004035,14616,0.047323357338773055,0.019356075871641183,14616
36,6.0,14970,0.987427000000414,14970,0.04765321630037437,0.017066971611002683,14970
37,6.0,15416,0.9870256000004272,15416,0.04974199038817476,0.018447206631791464,15416
38,6.0,15880,0.9866080000004409,15880,0.04920398169357715,0.016962122487743255,15880
39,6.0,16261,0.9862651000004522,16261,0.049141554225461063,0.017137394709576145,16261
40,6.0,16578,0.9859798000004616,16578,0.0465694310419755,0.017390945277394203,16578
41,20.0,16887,0.9857017000004707,16887,0.04665197716561722,0.016600289352654108,16887
42,7.0,17224,0.9853984000004807,17224,0.04728847125252206,0.017281164537814035,17224
43,7.0,17587,0.9850717000004915,17587,0.04755439360936483,0.01676275569159209,17587
44,21.0,18103,0.9846073000005068,18103,0.048177039517855,0.018223349923221034,18103
45,6.0,18484,0.9842644000005181,18484,0.04825877098078177,0.016510138617219828,18484
46,9.0,18746,0.9840286000005258,18746,0.044757371839448695,0.016002596227562355,18746
47,6.0,19137,0.9836767000005374,19137,0.04898939971500041,0.017218639942236207,19137
48,6.0,19659,0.9832069000005529,19659,0.049537240895103675,0.01747676169065316,19659
49,6.0,20024,0.9828784000005637,20024,0.0485106828788372,0.01873743010442449,20024
50,6.0,20319,0.9826129000005724,20319,0.047889267766879774,0.017422604808678566,20319
51,6.0,20638,0.9823258000005819,20638,0.04695542349383749,0.015895287343154905,20638
52,21.0,21046,0.981958600000594,21046,0.04873401168551223,0.016934785130776137,21046
53,33.0,21506,0.9815446000006076,21506,0.04867164763905432,0.018940057806447957,21506
54,6.0,21884,0.9812044000006188,21884,0.04847178727427803,0.01767111569581425,21884
55,6.0,22263,0.98086330000063,22263,0.04943216889900079,0.018561004877574547,22263
56,7.0,22679,0.9804889000006424,22679,0.04923811881767156,0.01700553550947986,22679
57,6.0,23040,0.9801640000006531,23040,0.0489827690651212,0.01678889638897795,23040
58,6.0,23417,0.9798247000006642,23417,0.04845244850498928,0.01701787656756113,23417
59,7.0,23811,0.9794701000006759,23811,0.04916087685502725,0.017010900336152254,23811
60,22.0,24315,0.9790165000006908,24315,0.049653317284075515,0.01806430419396964,24315
61,7.0,24709,0.9786619000007025,24709,0.049137189729035205,0.018687524677958662,24709
62,6.0,25086,0.9783226000007137,25086,0.04847610901932501,0.01586939628694246,25086
63,6.0,25558,0.9778978000007277,25558,0.04967517157921852,0.018096912482563975,25558
64,21.0,25907,0.977583700000738,25907,0.047366740187379214,0.01648838775576677,25907
65,6.0,26366,0.9771706000007516,26366,0.050110779637734616,0.01785316623438937,26366
66,6.0,26769,0.9768079000007636,26769,0.04880642889081396,0.017330852521481754,26769
67,6.0,27081,0.9765271000007728,27081,0.04715601348867401,0.016811377680427633,27081
68,6.0,27485,0.9761635000007848,27485,0.04931385791168945,0.017043070880624716,27485
69,6.0,27846,0.9758386000007955,27846,0.04942410438220917,0.015919498482672628,27846
70,6.0,28162,0.9755542000008048,28162,0.047760008834302425,0.016601393191597744,28162
71,6.0,28610,0.9751510000008181,28610,0.0505007483713728,0.01647658625889952,28610
72,7.0,28936,0.9748576000008278,28936,0.04751144167881436,0.01694237716328867,28936
73,6.0,29258,0.9745678000008373,29258,0.047381366898091686,0.016915999999723937,29258
74,13.0,29548,0.9743068000008459,29548,0.04723262585185725,0.016586107105530542,29548
75,7.0,29832,0.9740512000008543,29832,0.047015143151749185,0.01674299363356779,29832
76,7.0,30106,0.9738046000008624,30106,0.04569918164697877,0.016095069637709045,30106
77,6.0,30491,0.9734581000008738,30491,0.048692014145773725,0.017124190056007113,30491
78,6.0,30977,0.9730207000008883,30977,0.0493797237367787,0.016461775650379512,30977
79,6.0,31334,0.9726994000008988,31334,0.04858223627470121,0.016103964347877548,31334
80,6.0,31689,0.9723799000009093,31689,0.04853301105994574,0.016976897868091687,31689
81,7.0,32063,0.9720433000009204,32063,0.048392338040757946,0.01544421221587787,32063
82,6.0,32439,0.9717049000009316,32439,0.049130384671561264,0.015983969200107744,32439
83,6.0,32735,0.9714385000009403,32735,0.04815318889764918,0.0161626016311316,32735
84,6.0,33030,0.9711730000009491,33030,0.04868086847966,0.015157933939658736,33030
85,22.0,33426,0.9708166000009608,33426,0.04964147242858554,0.01565050003306959,33426
86,6.0,33809,0.9704719000009722,33809,0.049341983499866245,0.01669837921425,33809
87,6.0,34107,0.970203700000981,34107,0.04830739713405203,0.015332910298657347,34107
88,6.0,34422,0.9699202000009903,34422,0.04793634875899269,0.01639077971460268,34422
89,7.0,34755,0.9696205000010002,34755,0.048959194304975306,0.016352665274300508,34755
90,7.0,35087,0.96932170000101,35087,0.048284455584025526,0.015273227317452273,35087
91,23.0,35475,0.9689725000010215,35475,0.048118958710548804,0.01734986852556851,35475
92,6.0,35923,0.9685693000010348,35923,0.05088036754334878,0.01554110127524057,35923
93,6.0,36220,0.9683020000010436,36220,0.04859728028728103,0.01654905044616385,36220
94,24.0,36657,0.9679087000010566,36657,0.049345112510144847,0.015756597841271463,36657
95,6.0,37102,0.9675082000010697,37102,0.05119689876276456,0.01609116472889868,37102
96,6.0,37408,0.9672328000010788,37408,0.04818403761030412,0.015256316085297346,37408
97,7.0,37770,0.9669070000010895,37770,0.048700613427639663,0.017172239648142202,37770
98,7.0,38180,0.9665380000011017,38180,0.04988893079685002,0.016732958407800008,38180
99,6.0,38560,0.9661960000011129,38560,0.04907337785943559,0.01478365707995468,38560
100,6.0,38941,0.9658531000011242,38941,0.05025671936786707,0.01592381266489615,38941
101,22.0,39541,0.965313100001142,39541,0.052766975574195386,0.01688423057203181,39541
102,6.0,39863,0.9650233000011516,39863,0.04771675986255178,0.016463819433868463,39863
103,6.0,40237,0.9646867000011626,40237,0.04985872209868967,0.015058066636475829,40237
