EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,2.5e-09,0.01
Date/Time Start,2019-03-28 10:01:29.896058
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,357,1.0,357,0.123655081421,0.0,357
1,6.0,749,1.0,749,0.12359674043,0.0,749
2,6.0,997,1.0,997,0.124587471146,0.0,997
3,19.0,1298,0.9997318000000088,1298,0.126110837606,0.0157576873914,1298
4,6.0,1746,0.9993286000000221,1746,0.124689153495,0.0169013906556,1746
5,7.0,2014,0.99908740000003,2014,0.123383481195,0.0154365492827,2014
6,6.0,2270,0.9988570000000376,2270,0.123961417237,0.0143985732329,2270
7,6.0,2657,0.9985087000000491,2657,0.124262298205,0.0157478615589,2657
8,6.0,2967,0.9982297000000583,2967,0.123302385355,0.0145449817173,2967
9,6.0,3423,0.9978193000000718,3423,0.124574102314,0.0144075009739,3423
10,6.0,3826,0.9974566000000837,3826,0.123940861828,0.0138538585705,3826
11,21.0,4306,0.997024600000098,4306,0.129307968651,0.0134051791955,4306
12,6.0,4627,0.9967357000001075,4627,0.123093977849,0.01455089631,4627
13,6.0,4975,0.9964225000001178,4975,0.123982681582,0.0153310951207,4975
14,6.0,5319,0.996112900000128,5319,0.123846170492,0.0137460815509,5319
15,6.0,5704,0.9957664000001394,5704,0.123676635035,0.0138130001137,5704
16,25.0,6057,0.9954487000001498,6057,0.125433229796,0.0131691429017,6057
17,7.0,6448,0.9950968000001614,6448,0.122757900725,0.0140805680089,6448
18,7.0,6777,0.9948007000001712,6777,0.122200450682,0.0153764085589,6777
19,7.0,7174,0.9944434000001829,7174,0.122797171907,0.0140770584502,7174
20,6.0,7498,0.9941518000001925,7498,0.122992636452,0.0142974895102,7498
21,6.0,7816,0.993865600000202,7816,0.123008307374,0.0146379796964,7816
22,6.0,8177,0.9935407000002127,8177,0.124713988701,0.014373866838,8177
23,21.0,8717,0.9930547000002287,8717,0.124081062236,0.0143409791536,8717
24,20.0,9130,0.9926830000002409,9130,0.125168111816,0.014705495397,9130
25,6.0,9538,0.992315800000253,9538,0.123396497859,0.014433433102,9538
26,21.0,9931,0.9919621000002646,9931,0.125942601616,0.0152876884007,9931
27,21.0,10418,0.9915238000002791,10418,0.124252201381,0.0197102542182,10418
28,20.0,10811,0.9911701000002907,10811,0.125325265807,0.0205961425899,10811
29,6.0,11119,0.9908929000002998,11119,0.12275804364,0.0210137684836,11119
30,23.0,11657,0.9904087000003158,11657,0.12705575402,0.0200482896515,11657
31,21.0,12141,0.9899731000003301,12141,0.127379747354,0.0223361997695,12141
32,6.0,12526,0.9896266000003415,12526,0.123830502238,0.0217982294419,12526
33,6.0,12836,0.9893476000003507,12836,0.123069988576,0.0190397298354,12836
34,6.0,13159,0.9890569000003603,13159,0.123062865676,0.0211571972268,13159
35,9.0,13435,0.9888085000003685,13435,0.122197603078,0.0204542826927,13435
36,7.0,13763,0.9885133000003782,13763,0.122486477786,0.0214157105195,13763
37,6.0,14026,0.988276600000386,14026,0.123620312958,0.0201021912632,14026
38,6.0,14334,0.9879994000003951,14334,0.123377961191,0.0209368302097,14334
39,18.0,14682,0.9876862000004054,14682,0.124221332221,0.0230248011695,14682
40,6.0,15129,0.9872839000004187,15129,0.124669871291,0.0218762962082,15129
41,23.0,15445,0.986999500000428,15445,0.126462647526,0.0219733456114,15445
42,6.0,15892,0.9865972000004413,15892,0.124627296057,0.0203128861351,15892
43,6.0,16358,0.9861778000004551,16358,0.125051387614,0.0226753755311,16358
44,7.0,16660,0.985906000000464,16660,0.123390502167,0.020215972255,16660
45,6.0,16958,0.9856378000004729,16958,0.123618600553,0.0183704852387,16958
46,7.0,17281,0.9853471000004824,17281,0.122801377124,0.0207747739492,17281
47,22.0,17666,0.9850006000004938,17666,0.125024637019,0.0209825122009,17666
48,6.0,18137,0.9845767000005078,18137,0.124575170678,0.0208588327516,18137
49,7.0,18451,0.9842941000005171,18451,0.124352131134,0.0191916479228,18451
50,7.0,18730,0.9840430000005254,18730,0.123156076504,0.0205881224944,18730
51,31.0,19322,0.9835102000005429,19322,0.129177634415,0.0221627811521,19322
52,6.0,19626,0.9832366000005519,19626,0.123699366924,0.0208062821031,19626
53,6.0,20017,0.9828847000005635,20017,0.124434123449,0.0201123580271,20017
54,8.0,20326,0.9826066000005726,20326,0.12642233433,0.0203964619597,20326
55,6.0,20725,0.9822475000005845,20725,0.12418081912,0.0205563478654,20725
56,7.0,21080,0.981928000000595,21080,0.122433919995,0.0188954681794,21080
57,29.0,21450,0.981595000000606,21450,0.125263989113,0.0222800489477,21450
58,6.0,21930,0.9811630000006202,21930,0.125390697612,0.0198115101972,21930
59,7.0,22256,0.9808696000006298,22256,0.124510341307,0.0212447126596,22256
60,6.0,22562,0.9805942000006389,22562,0.123875365586,0.0205823477644,22562
61,7.0,22887,0.9803017000006485,22887,0.123266595671,0.0204128841669,22887
62,24.0,23301,0.9799291000006608,23301,0.129477973613,0.0204952696725,23301
63,6.0,23617,0.9796447000006702,23617,0.124144369383,0.0207570740736,23617
64,6.0,23914,0.979377400000679,23914,0.12436770703,0.0198737829641,23914
65,6.0,24375,0.9789625000006926,24375,0.12501745566,0.0208314428972,24375
66,15.0,24725,0.978647500000703,24725,0.121831383109,0.0205069735041,24725
67,6.0,25332,0.978101200000721,25332,0.125791867198,0.0200793976248,25332
68,6.0,25687,0.9777817000007315,25687,0.124684479371,0.0188869192908,25687
69,6.0,26045,0.9774595000007421,26045,0.125292051667,0.0217147660299,26045
70,10.0,26288,0.9772408000007493,26288,0.123483771803,0.020401603754,26288
71,6.0,26660,0.9769060000007603,26660,0.124900788069,0.0203057081358,26660
72,6.0,27022,0.9765802000007711,27022,0.125024106415,0.0207096725755,27022
73,22.0,27363,0.9762733000007812,27363,0.125259854489,0.0199847035697,27363
74,22.0,27789,0.9758899000007938,27789,0.129357694915,0.0212195455534,27789
75,6.0,28112,0.9755992000008034,28112,0.124088821489,0.0211846110629,28112
76,6.0,28408,0.9753328000008121,28408,0.124642376486,0.0203351958693,28408
77,6.0,28775,0.975002500000823,28775,0.125162082224,0.0199466078778,28775
78,6.0,29150,0.9746650000008341,29150,0.125381457011,0.0195185005963,29150
79,6.0,29597,0.9742627000008474,29597,0.125575124717,0.0195162801845,29597
80,6.0,29990,0.973909000000859,29990,0.125043418249,0.0194068918906,29990
81,7.0,30320,0.9736120000008688,30320,0.123261934022,0.0208804083706,30320
82,6.0,30766,0.973210600000882,30766,0.125659182918,0.0207065821468,30766
83,6.0,31154,0.9728614000008935,31154,0.124897645326,0.020287152504,31154
84,33.0,31565,0.9724915000009057,31565,0.126567172598,0.0198842765817,31565
85,24.0,32099,0.9720109000009215,32099,0.130479689799,0.0196635149531,32099
86,6.0,32572,0.9715852000009355,32572,0.125381851596,0.0200267672666,32572
87,24.0,32987,0.9712117000009478,32987,0.130954335055,0.0202104761776,32987
88,20.0,33363,0.970873300000959,33363,0.133678381767,0.0215308662594,33363
89,21.0,33914,0.9703774000009753,33914,0.126766668812,0.0208426363857,33914
90,6.0,34267,0.9700597000009857,34267,0.125347442397,0.020703845976,34267
91,6.0,34643,0.9697213000009969,34643,0.125110428008,0.0197532453384,34643
92,23.0,35031,0.9693721000010084,35031,0.12761394716,0.0198687376633,35031
93,6.0,35327,0.9691057000010171,35327,0.124596962051,0.0212938617569,35327
94,33.0,35805,0.9686755000010313,35805,0.126900276785,0.0211958180909,35805
95,6.0,36188,0.9683308000010427,36188,0.125370592151,0.0209339850281,36188
96,6.0,36661,0.9679051000010567,36661,0.126113801249,0.021830812295,36661
97,23.0,37141,0.9674731000010709,37141,0.126308041594,0.0202531624251,37141
98,6.0,37443,0.9672013000010798,37443,0.12470843263,0.019961548236,37443
99,7.0,37751,0.966924100001089,37751,0.125604892367,0.0212920783783,37751
100,6.0,38223,0.966499300001103,38223,0.125718278574,0.0214820688001,38223
101,7.0,38661,0.9661051000011159,38661,0.124317859644,0.0205056827636,38661
102,6.0,39111,0.9657001000011293,39111,0.126050273826,0.0203469980141,39111
103,15.0,39406,0.965434600001138,39406,0.122316955485,0.0206973913106,39406
104,24.0,39836,0.9650476000011508,39836,0.128566550446,0.0209723673988,39836
105,6.0,40244,0.9646804000011628,40244,0.12547966847,0.0211815365679,40244
106,7.0,40571,0.9643861000011725,40571,0.125751472372,0.020807696809,40571
107,6.0,40941,0.9640531000011835,40941,0.125860393712,0.0204998822392,40941
108,6.0,41400,0.9636400000011971,41400,0.126122887455,0.0207854355878,41400
109,7.0,41708,0.9633628000012062,41708,0.124410573103,0.0215361998379,41708
110,6.0,42092,0.9630172000012176,42092,0.126050165234,0.0201941996978,42092
111,6.0,42471,0.9626761000012288,42471,0.125823295565,0.021722300418,42471
112,6.0,42939,0.9622549000012427,42939,0.126573250732,0.0211513134443,42939
113,6.0,43247,0.9619777000012518,43247,0.125335382152,0.0211607380763,43247
114,6.0,43597,0.9616627000012622,43597,0.126139270152,0.0200214103223,43597
115,6.0,43976,0.9613216000012734,43976,0.125238772904,0.022049014765,43976
116,6.0,44447,0.9608977000012874,44447,0.126207993542,0.0214974205331,44447
117,6.0,44834,0.9605494000012988,44834,0.125825582953,0.021026009707,44834
118,7.0,45209,0.96021190000131,45209,0.124798316558,0.0194324825685,45209
119,31.0,45665,0.9598015000013235,45665,0.127686363253,0.0211411616356,45665
120,10.0,45921,0.9595711000013311,45921,0.128249005211,0.0208353405005,45921
121,6.0,46311,0.9592201000013426,46311,0.12598980797,0.0187367233937,46311
122,6.0,46677,0.9588907000013535,46677,0.126123680626,0.0194638807981,46677
123,6.0,47070,0.9585370000013651,47070,0.125364402304,0.0198042162098,47070
124,29.0,47512,0.9581392000013782,47512,0.128484913009,0.0204660971207,47512
125,6.0,47894,0.9577954000013895,47894,0.126369573039,0.0203171227888,47894
126,6.0,48271,0.9574561000014007,48271,0.126146506192,0.0210965182855,48271
127,6.0,48568,0.9571888000014095,48568,0.125940249825,0.0210686974535,48568
128,20.0,48930,0.9568630000014202,48930,0.1255087694,0.02052310969,48930
129,8.0,49329,0.956503900001432,49329,0.126776707277,0.0207624962334,49329
130,6.0,49706,0.9561646000014432,49706,0.126367010018,0.0185900389986,49706
131,6.0,50065,0.9558415000014538,50065,0.126610212277,0.0220226255131,50065
132,40.0,50668,0.9552988000014717,50668,0.129014412995,0.019942045735,50668
133,6.0,51074,0.9549334000014837,51074,0.12605085145,0.0209248134117,51074
134,18.0,51379,0.9546589000014928,51379,0.125675850618,0.0210920902389,51379
135,6.0,51738,0.9543358000015034,51738,0.126769978065,0.022170128175,51738
136,6.0,52112,0.9539992000015145,52112,0.126396610058,0.020564709655,52112
137,6.0,52498,0.9536518000015259,52498,0.125684470344,0.0194775548244,52498
138,6.0,52961,0.9532351000015397,52961,0.126861735197,0.020213064538,52961
139,6.0,53274,0.9529534000015489,53274,0.125662713219,0.0197082221934,53274
140,8.0,53580,0.952678000001558,53580,0.1255894446,0.0195818060242,53580
141,7.0,53894,0.9523954000015673,53894,0.125548383423,0.0219135436854,53894
142,6.0,54267,0.9520597000015784,54267,0.126944678758,0.0209006117738,54267
143,6.0,54626,0.951736600001589,54626,0.12690819885,0.0206345373448,54626
144,7.0,54989,0.9514099000015998,54989,0.12609601029,0.0213217952785,54989
145,6.0,55291,0.9511381000016087,55291,0.126141044256,0.0193238962412,55291
146,18.0,55842,0.950642200001625,55842,0.131877324123,0.0195104878949,55842
147,6.0,56224,0.9502984000016363,56224,0.126824538901,0.0198815211401,56224
148,6.0,56626,0.9499366000016483,56626,0.126582515088,0.0204010690963,56626
149,20.0,56977,0.9496207000016587,56977,0.126674459892,0.0197038373819,56977
