EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,5e-07,0.01
Date/Time Start,2019-03-19 12:06:29.096639
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,21.0,527,1.0,527,0.04277025444867828,0.0,527
1,6.0,908,1.0,908,0.04106943676947296,0.0,908
2,21.0,1305,0.999725500000009,1305,0.04150046921928673,0.014887063116273873,1305
3,6.0,1692,0.9993772000000205,1692,0.04145821125682164,0.019495577917816913,1692
4,6.0,2091,0.9990181000000323,2091,0.04187578833510254,0.01881576802571045,2091
5,29.0,2665,0.9985015000000493,2665,0.04291718373990225,0.021168903989404218,2665
6,6.0,3133,0.9980803000000632,3133,0.043075901165636435,0.02055088884016085,3133
7,6.0,3438,0.9978058000000722,3438,0.04329670269469746,0.017715536447654126,3438
8,6.0,3898,0.9973918000000859,3898,0.04383881992619971,0.017266771849244834,3898
9,36.0,4361,0.9969751000000996,4361,0.044709765716389495,0.015844508167255678,4361
10,6.0,4701,0.9966691000001097,4701,0.044473730608382646,0.019017454472315662,4701
11,7.0,5001,0.9963991000001186,5001,0.04563884450743596,0.019507043115639437,5001
12,21.0,5552,0.9959032000001349,5552,0.04837919750036215,0.017037423028075687,5552
13,6.0,5999,0.9955009000001481,5999,0.046177285596294956,0.019136358082963267,5999
14,16.0,6335,0.9951985000001581,6335,0.046557075022498055,0.017610024349518687,6335
15,6.0,6786,0.9947926000001714,6786,0.04705057301436718,0.01847207782071955,6786
16,6.0,7156,0.9944596000001824,7156,0.04748058772167644,0.017331132714045107,7156
17,21.0,7486,0.9941626000001922,7486,0.04870051063145652,0.01718792503392747,7486
18,6.0,7937,0.9937567000002056,7937,0.04806974454227414,0.01739891475410368,7937
19,22.0,8505,0.9932455000002224,8505,0.05111774523467035,0.016205816767850732,8505
20,6.0,8887,0.9929017000002337,8887,0.048735482579204424,0.016422045632132638,8887
21,6.0,9274,0.9925534000002452,9274,0.04870487590746362,0.015178430431254102,9274
22,6.0,9747,0.9921277000002592,9747,0.04868986778922111,0.015278817850251704,9747
23,29.0,10217,0.9917047000002731,10217,0.049540070801022205,0.01555941799900772,10217
24,6.0,10588,0.9913708000002841,10588,0.049453944941816944,0.015703123407545084,10588
25,13.0,10939,0.9910549000002945,10939,0.05016320870600195,0.01660600163130769,10939
26,21.0,11282,0.9907462000003047,11282,0.05086931388597099,0.01994514614822202,11282
27,6.0,11652,0.9904132000003156,11652,0.05044965566815557,0.016194587768955358,11652
28,6.0,12109,0.9900019000003292,12109,0.051038089577165685,0.018124050611178687,12109
29,6.0,12579,0.9895789000003431,12579,0.0518534604460001,0.015314590752786125,12579
30,30.0,12965,0.9892315000003545,12965,0.05222590432690524,0.015143895562399791,12965
31,6.0,13326,0.9889066000003652,13326,0.0520989557733331,0.01621104497833363,13326
32,6.0,13662,0.9886042000003752,13662,0.05244985467843002,0.016416705563339445,13662
33,6.0,14015,0.9882865000003856,14015,0.05287266691497635,0.015598420653523213,14015
34,6.0,14348,0.9879868000003955,14348,0.05321899573276709,0.015559240892741343,14348
35,6.0,14729,0.9876439000004068,14729,0.05345082185243371,0.01621193859612831,14729
36,20.0,15162,0.9872542000004196,15162,0.05572979325131786,0.015478085488963907,15162
37,6.0,15461,0.9869851000004285,15461,0.05441570466378062,0.016324316431382005,15461
38,39.0,16189,0.9863299000004501,16189,0.05500521523632355,0.016827028668138573,16189
39,6.0,16512,0.9860392000004596,16512,0.05534163435730772,0.01724361526250375,16512
40,6.0,17115,0.9854965000004775,17115,0.05640867461834974,0.015304535290692195,17115
41,7.0,17486,0.9851626000004885,17486,0.05723880308697808,0.016055640271652082,17486
42,23.0,18023,0.9846793000005044,18023,0.05821656355949976,0.015185721993522876,18023
43,21.0,18457,0.9842887000005173,18457,0.05801366664434908,0.015763855455840255,18457
44,6.0,18802,0.9839782000005275,18802,0.057792190689107646,0.015946749343614404,18802
45,6.0,19186,0.9836326000005389,19186,0.05836207199414881,0.015994573286737552,19186
46,19.0,19499,0.9833509000005481,19499,0.0589007169317704,0.014412989281685116,19499
47,6.0,19897,0.9829927000005599,19897,0.05854429753881004,0.014530571560887561,19897
48,21.0,20395,0.9825445000005747,20395,0.061081865540589676,0.01644584439048753,20395
49,6.0,20786,0.9821926000005863,20786,0.05953543712301632,0.016367667512444166,20786
50,7.0,21183,0.981835300000598,21183,0.060465691634629774,0.013896859272955553,21183
51,6.0,21585,0.98147350000061,21585,0.06064638542706397,0.015528521504039142,21585
52,18.0,21999,0.9811009000006222,21999,0.06154011649749993,0.015230608752049655,21999
53,7.0,22346,0.9807886000006325,22346,0.06177684319036495,0.01537905716525474,22346
54,6.0,22802,0.980378200000646,22802,0.06205579793701569,0.01600716572028703,22802
55,7.0,23139,0.980074900000656,23139,0.06267066753140543,0.01607315055408497,23139
56,7.0,23466,0.9797806000006657,23466,0.06325470616283402,0.015720373535434793,23466
57,17.0,23755,0.9795205000006743,23755,0.06400038269719038,0.016021843081544425,23755
58,23.0,24177,0.9791407000006868,24177,0.06399761826258983,0.014120030124974934,24177
59,6.0,24558,0.978797800000698,24558,0.06420070808038623,0.015374906677769539,24558
60,6.0,25005,0.9783955000007113,25005,0.06468393841979221,0.01574811185821469,25005
61,7.0,25383,0.9780553000007225,25383,0.06598614630284448,0.016306009588848737,25383
62,18.0,25735,0.9777385000007329,25735,0.06586933430199596,0.01482105510120329,25735
63,6.0,26122,0.9773902000007444,26122,0.06584567200267345,0.015709926713387678,26122
64,6.0,26521,0.9770311000007562,26521,0.06621051700155538,0.016730312516037224,26521
65,6.0,26820,0.9767620000007651,26820,0.0664714180232091,0.014285224487653266,26820
66,11.0,27195,0.9764245000007762,27195,0.06890903001030287,0.013169113609726385,27195
67,6.0,27577,0.9760807000007875,27577,0.06721406089658824,0.014447346291271208,27577
68,6.0,28043,0.9756613000008013,28043,0.06759505095400012,0.014649961072596314,28043
69,6.0,28428,0.9753148000008127,28428,0.06824890634456238,0.014703782602982874,28428
70,6.0,28824,0.9749584000008245,28824,0.06836334598071948,0.014143533145335199,28824
71,7.0,29177,0.9746407000008349,29177,0.06852467329618614,0.014083689200916464,29177
72,21.0,29732,0.9741412000008514,29732,0.07142122485884675,0.015486350944326028,29732
73,7.0,30037,0.9738667000008604,30037,0.06850603825000466,0.013089161875970723,30037
74,6.0,30420,0.9735220000008717,30420,0.06954678456364662,0.013806384687440217,30420
75,8.0,30891,0.9730981000008857,30891,0.06915643429205676,0.015339342904951415,30891
76,36.0,31318,0.9727138000008984,31318,0.07118248445716899,0.013817010394116784,31318
77,6.0,31765,0.9723115000009116,31765,0.07195444025049273,0.014570656852766463,31765
78,13.0,32050,0.97205500000092,32050,0.0742826280363819,0.01556237498099156,32050
79,6.0,32414,0.9717274000009308,32414,0.07297589892910404,0.016837450891366495,32414
80,7.0,32785,0.9713935000009418,32785,0.07389810679334836,0.01452395874727486,32785
81,6.0,33052,0.9711532000009497,33052,0.07362959475329753,0.014841742894467496,33052
82,6.0,33503,0.9707473000009631,33503,0.0743939714328677,0.014878056436584035,33503
83,7.0,33903,0.970387300000975,33903,0.07510213639587164,0.01396581415199762,33903
84,21.0,34483,0.9698653000009921,34483,0.07721184442012474,0.014630257535539166,34483
85,6.0,34789,0.9695899000010012,34789,0.07600963220389839,0.01587875295554351,34789
86,6.0,35173,0.9692443000010126,35173,0.07655249087838456,0.014758704412789333,35173
87,6.0,35620,0.9688420000010258,35620,0.07751833582484483,0.014001850148427098,35620
88,6.0,36003,0.9684973000010372,36003,0.07762491703033447,0.013401332269519216,36003
89,7.0,36385,0.9681535000010485,36385,0.07873135266815805,0.013462730217629804,36385
90,24.0,36789,0.9677899000010605,36789,0.07893156730523794,0.016186605086389107,36789
91,6.0,37109,0.96750190000107,37109,0.07857549339532852,0.013494572362833423,37109
92,6.0,37424,0.9672184000010793,37424,0.0793178831774091,0.01453274170917067,37424
93,6.0,37748,0.9669268000010889,37748,0.07955052052842981,0.015040883353737437,37748
94,6.0,38113,0.9665983000010997,38113,0.08004727837157576,0.013426878136779622,38113
95,7.0,38450,0.9662950000011097,38450,0.08043155147077775,0.013662671972626132,38450
96,6.0,38809,0.9659719000011203,38809,0.08076425318017312,0.01453331061840754,38809
97,7.0,39146,0.9656686000011303,39146,0.08112743671552364,0.013357415883468953,39146
98,20.0,39498,0.9653518000011407,39498,0.08185829658230598,0.014296398398404232,39498
99,6.0,39970,0.9649270000011547,39970,0.08161766153081494,0.013916982651700613,39970
100,25.0,40363,0.9645733000011664,40363,0.0831188409951807,0.0143194276430597,40363
