EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,5e-08,0.01
Date/Time Start,2019-03-25 18:00:34.969451
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,370,1.0,370,0.068182354068,0.0,370
1,6.0,758,1.0,758,0.0686170003886,0.0,758
2,7.0,1098,0.9999118000000029,1098,0.0675651977277,0.00354636189483,1098
3,21.0,1608,0.999452800000018,1608,0.0673379463381,0.0153581615518,1608
4,6.0,2059,0.9990469000000314,2059,0.0690197616469,0.013394604212,2059
5,6.0,2428,0.9987148000000423,2428,0.0697349255708,0.013731437186,2428
6,7.0,2810,0.9983710000000536,2810,0.0694260510631,0.0128638008544,2810
7,25.0,3252,0.9979732000000667,3252,0.0713647932944,0.0130795337936,3252
8,7.0,3564,0.997692400000076,3564,0.0708330391596,0.0151244908532,3564
9,23.0,4104,0.997206400000092,4104,0.0718303282366,0.0156825865387,4104
10,6.0,4475,0.996872500000103,4475,0.0724049921968,0.0153404417613,4475
11,6.0,4826,0.9965566000001134,4826,0.0734450343646,0.0150232792539,4826
12,7.0,5183,0.996235300000124,5183,0.0732829284226,0.0151581483672,5183
13,6.0,5639,0.9958249000001375,5639,0.0738646896768,0.0137882019198,5639
14,40.0,6277,0.9952507000001564,6277,0.0781815829147,0.0139604614067,6277
15,7.0,6549,0.9950059000001644,6549,0.075582355028,0.0138670002108,6549
16,6.0,6949,0.9946459000001763,6949,0.0752901576925,0.0148064442544,6949
17,24.0,7386,0.9942526000001892,7386,0.0763935344528,0.0165746012493,7386
18,21.0,7693,0.9939763000001983,7693,0.0777338740662,0.0169147269503,7693
19,6.0,8032,0.9936712000002084,8032,0.0770707031311,0.0171445082103,8032
20,6.0,8436,0.9933076000002203,8436,0.0771904550308,0.017064754577,8436
21,22.0,8924,0.9928684000002348,8924,0.0790217129788,0.0170312974815,8924
22,6.0,9274,0.9925534000002452,9274,0.0779924831539,0.0181567922175,9274
23,34.0,9775,0.99210250000026,9775,0.0777112699882,0.0166462362532,9775
24,8.0,10235,0.9916885000002736,10235,0.0786113224924,0.0181518213321,10235
25,6.0,10567,0.9913897000002835,10567,0.0822530575994,0.0211422850563,10567
26,6.0,10929,0.9910639000002942,10929,0.0823440390809,0.0216696936797,10929
27,18.0,11309,0.9907219000003055,11309,0.0841723714416,0.0213072499027,11309
28,11.0,11651,0.9904141000003156,11651,0.0848113487948,0.0204153381729,11651
29,6.0,11986,0.9901126000003255,11986,0.0859886320669,0.0191212282176,11986
30,6.0,12438,0.9897058000003389,12438,0.087117768379,0.0191853995867,12438
31,22.0,12745,0.989429500000348,12745,0.0890493755523,0.018361187725,12745
32,6.0,13181,0.9890371000003609,13181,0.0883614406536,0.0198575673559,13181
33,23.0,13509,0.9887419000003707,13509,0.0914675987939,0.0195301655494,13509
34,6.0,13953,0.9883423000003838,13953,0.0911717841251,0.0196567644144,13953
35,6.0,14325,0.9880075000003948,14325,0.0922985593037,0.0196562738888,14325
36,39.0,14908,0.9874828000004121,14908,0.0969625636168,0.0196299364584,14908
37,6.0,15359,0.9870769000004255,15359,0.0951153120716,0.0203220161412,15359
38,6.0,15705,0.9867655000004357,15705,0.096982360726,0.0184332794325,15705
39,22.0,16197,0.9863227000004503,16197,0.0950568302618,0.0195459705154,16197
40,6.0,16579,0.9859789000004616,16579,0.0982725633338,0.0204104180914,16579
41,21.0,17184,0.9854344000004795,17184,0.0988106892621,0.0207056630539,17184
42,6.0,17611,0.9850501000004922,17611,0.10143897651,0.0186228630099,17611
43,6.0,17979,0.9847189000005031,17979,0.102325243126,0.0175600923264,17979
44,10.0,18243,0.9844813000005109,18243,0.103806986643,0.0177813711833,18243
45,6.0,18544,0.9842104000005198,18544,0.103679295963,0.0175753236177,18544
46,6.0,18867,0.9839197000005294,18867,0.104820471845,0.0181028222796,18867
47,23.0,19395,0.9834445000005451,19395,0.103106321471,0.0175949670663,19395
48,6.0,19776,0.9831016000005564,19776,0.10649375991,0.0171864750292,19776
49,21.0,20221,0.9827011000005695,20221,0.10708440631,0.0209198380601,20221
50,6.0,20668,0.9822988000005828,20668,0.108642704285,0.019318033365,20668
51,6.0,20991,0.9820081000005924,20991,0.110667069676,0.0195781326429,20991
52,7.0,21331,0.9817021000006024,21331,0.11098580161,0.0191631014664,21331
53,7.0,21623,0.9814393000006111,21623,0.11158639879,0.0204911929051,21623
54,26.0,22168,0.9809488000006272,22168,0.114306554745,0.020631223343,22168
55,6.0,22566,0.980590600000639,22566,0.114994296701,0.0187618428328,22566
56,6.0,23018,0.9801838000006524,23018,0.116010922378,0.019859128082,23018
57,18.0,23284,0.9799444000006603,23284,0.119116070883,0.018951808727,23284
58,23.0,23780,0.979498000000675,23780,0.118193650678,0.0198093352855,23780
59,33.0,24192,0.9791272000006872,24192,0.11969291719,0.0190177176335,24192
60,6.0,24566,0.9787906000006983,24566,0.120672263165,0.0211017982864,24566
61,6.0,24873,0.9785143000007074,24873,0.12172168088,0.0187045803388,24873
62,6.0,25260,0.9781660000007188,25260,0.122780046394,0.0193632387072,25260
63,6.0,25740,0.9777340000007331,25740,0.123718579533,0.0195800845077,25740
64,6.0,26112,0.9773992000007441,26112,0.125715234888,0.0189523397527,26112
65,7.0,26536,0.9770176000007567,26536,0.124432031786,0.0201666499178,26536
66,6.0,26936,0.9766576000007685,26936,0.127176944688,0.0176254127224,26936
67,21.0,27382,0.9762562000007817,27382,0.130056548229,0.0173126968026,27382
68,23.0,27742,0.9759322000007924,27742,0.129898298822,0.0172099139493,27742
69,6.0,28087,0.9756217000008026,28087,0.131040412252,0.0179798199377,28087
70,7.0,28441,0.9753031000008131,28441,0.130894883499,0.019074536395,28441
71,6.0,28840,0.9749440000008249,28840,0.132151990513,0.0189980201728,28840
72,7.0,29219,0.9746029000008362,29219,0.13217293878,0.0168359167057,29219
73,6.0,29621,0.9742411000008481,29621,0.133866224846,0.0182207087866,29621
74,6.0,29934,0.9739594000008573,29934,0.134656592347,0.0175384764992,29934
75,6.0,30305,0.9736255000008683,30305,0.135368728453,0.0185612431577,30305
76,6.0,30771,0.9732061000008821,30771,0.136443737974,0.0202147418078,30771
77,30.0,31220,0.9728020000008955,31220,0.138677679981,0.0185134686835,31220
78,6.0,31533,0.9725203000009047,31533,0.139613449169,0.0181279175278,31533
79,6.0,31902,0.9721882000009157,31902,0.14015630877,0.0188160143448,31902
80,6.0,32349,0.9717859000009289,32349,0.141751773772,0.0189365506497,32349
81,7.0,32629,0.9715339000009372,32629,0.143360879325,0.0177356397367,32629
82,6.0,33034,0.9711694000009492,33034,0.144006996537,0.018471408283,33034
83,22.0,33523,0.9707293000009637,33523,0.146268062827,0.01862180026,33523
84,12.0,33881,0.9704071000009743,33881,0.14571894185,0.0179040870768,33881
85,6.0,34341,0.9699931000009879,34341,0.148252043225,0.0185631326291,34341
86,33.0,34898,0.9694918000010044,34898,0.148538918052,0.0181202474171,34898
