EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
2001,32,0.99,30,5e-09,0.01
Date/Time Start,2019-03-23 13:41:38.006402
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,617,1.0,617,0.03801727591073397,0.0,617
1,10.0,1400,1.0,1400,0.03972549952737901,0.0,1400
2,9.0,2188,0.9998308000000056,2188,0.03775446024264781,0.0013403457962922033,2188
3,6.0,2829,0.9992539000000246,2829,0.037474761573182254,0.006181333539725969,2829
4,10.0,3613,0.9985483000000478,3613,0.03978760572321409,0.0060854998584025976,3613
5,11.0,4400,0.9978400000000711,4400,0.03877696808157761,0.006397844455142037,4400
6,10.0,5185,0.9971335000000944,5185,0.0375416633833176,0.005859593570934591,5185
7,9.0,5972,0.9964252000001177,5972,0.03787324178769825,0.006323995787352726,5972
8,3.0,6347,0.9960877000001288,6347,0.03785232650736968,0.0058877887084381655,6347
9,6.0,6977,0.9955207000001475,6977,0.03815318253482618,0.006015645683417836,6977
10,10.0,7736,0.99483760000017,7736,0.03859734530799945,0.005975237891572032,7736
11,10.0,8516,0.9941356000001931,8516,0.038226660159535894,0.0062334793070756575,8516
12,9.0,9289,0.993439900000216,9289,0.037679557306607665,0.006325538537004495,9289
13,4.0,9691,0.9930781000002279,9691,0.03499701886498068,0.005706790332588025,9691
14,11.0,10479,0.9923689000002512,10479,0.03985096302195476,0.006958523431140161,10479
15,6.0,11106,0.9918046000002698,11106,0.037669155464479416,0.006523535928944797,11106
16,10.0,11879,0.9911089000002927,11879,0.03795100080107193,0.007179994508270162,11879
17,11.0,12663,0.990403300000316,12663,0.03851378242228636,0.006206908278560446,12663
18,6.0,13292,0.9898372000003346,13292,0.03815397873094427,0.007343454758919086,13292
19,8.0,14078,0.9891298000003579,14078,0.03787588667475237,0.007119274068170265,14078
20,5.0,14468,0.9887788000003694,14468,0.03475641737668178,0.0063989970455459585,14468
21,12.0,15341,0.9879931000003953,15341,0.038725851052456704,0.006671794787204514,15341
22,9.0,16112,0.9872992000004182,16112,0.03885455519424802,0.0071036357251941145,16112
23,9.0,16920,0.9865720000004421,16920,0.038958827621478696,0.006697502844953404,16920
24,4.0,17302,0.9862282000004534,17302,0.03643718936739011,0.006096711554073884,17302
25,4.0,17696,0.9858736000004651,17696,0.03587006720794639,0.006331363180164734,17696
26,10.0,18496,0.9851536000004888,18496,0.03923237923765555,0.007003924953314708,18496
27,6.0,19147,0.9845677000005081,19147,0.037839102070956004,0.006846584376811798,19147
28,3.0,19530,0.9842230000005194,19530,0.03668599824272777,0.006364099792321516,19530
29,7.0,20171,0.9836461000005384,20171,0.03740528848620826,0.007091152757017941,20171
30,4.0,20519,0.9833329000005487,20519,0.03842489033316573,0.0077229172514715425,20519
31,12.0,21349,0.9825859000005733,21349,0.03857719811375242,0.0068252660692122435,21349
32,10.0,22138,0.9818758000005967,22138,0.037558360034729746,0.006921710822797948,22138
33,7.0,22897,0.9811927000006192,22897,0.038187486108524994,0.007158459480893302,22897
34,4.0,23284,0.9808444000006307,23284,0.03529213619170571,0.006901511039662485,23284
35,7.0,23923,0.9802693000006496,23923,0.038324959934667245,0.006408676193554846,23923
36,6.0,24568,0.9796888000006687,24568,0.03815246811786363,0.00589676448577192,24568
37,6.0,25203,0.9791173000006875,25203,0.03712903124199608,0.005768248943316816,25203
38,5.0,25616,0.9787456000006998,25616,0.033866408436624536,0.006519940439763887,25616
39,5.0,26011,0.9783901000007115,26011,0.035190754581855825,0.005945665998416776,26011
40,6.0,26619,0.9778429000007295,26619,0.038020368840079755,0.0076521823898235055,26619
41,4.0,26998,0.9775018000007407,26998,0.03523260821885672,0.006246888694690669,26998
42,3.0,27369,0.9771679000007517,27369,0.03519047918224913,0.006817544098332213,27369
43,5.0,27771,0.9768061000007636,27771,0.03504724667143466,0.0070162775514494465,27771
44,7.0,28544,0.9761104000007865,28544,0.03759295113365447,0.006570433669735317,28544
45,11.0,29309,0.9754219000008092,29309,0.038177733081910345,0.006546786934475177,29309
46,6.0,29945,0.974849500000828,29945,0.03790802337557265,0.006847826513676295,29945
47,8.0,30713,0.9741583000008508,30713,0.03780720298285208,0.006417120434813721,30713
48,9.0,31510,0.9734410000008744,31510,0.038012740282877024,0.006568836958461337,31510
49,8.0,32291,0.9727381000008976,32291,0.038573555576778405,0.0067279386113438915,32291
50,4.0,32672,0.9723952000009088,32672,0.035197227303515585,0.006591911752020153,32672
51,12.0,33495,0.9716545000009332,33495,0.037902111764703025,0.006507981110976405,33495
52,10.0,34287,0.9709417000009567,34287,0.03914949793904794,0.006924405193105963,34287
53,4.0,34671,0.9705961000009681,34671,0.03523292814497836,0.006961819709431438,34671
54,4.0,35069,0.9702379000009799,35069,0.035352922704576246,0.00708055192980232,35069
55,6.0,35733,0.9696403000009995,35733,0.03717326487033033,0.007194257843191034,35733
56,10.0,36497,0.9689527000010222,36497,0.03937307214705732,0.006435048336809847,36497
57,6.0,37152,0.9683632000010416,37152,0.03815875904250691,0.006341478126150208,37152
58,6.0,37783,0.9677953000010603,37783,0.03729151811586507,0.006479285390167194,37783
59,10.0,38555,0.9671005000010832,38555,0.04002976239962899,0.007327247850095957,38555
60,10.0,39415,0.9663265000011086,39415,0.03768544288157204,0.006664364261188555,39415
61,6.0,40057,0.9657487000011277,40057,0.03780154022750825,0.00655331662463458,40057
62,7.0,40704,0.9651664000011468,40704,0.03835620229899699,0.006567047395514197,40704
63,10.0,41511,0.9644401000011708,41511,0.036810366392985,0.006674710577323541,41511
64,5.0,41903,0.9640873000011824,41903,0.03533834765893312,0.006980629368701223,41903
65,6.0,42523,0.9635293000012007,42523,0.03778246456997529,0.007004608474099152,42523
66,6.0,43161,0.9629551000012196,43161,0.038142021704570254,0.007082162636130038,43161
67,9.0,43936,0.9622576000012426,43936,0.03932306671575193,0.006560948334987306,43936
68,6.0,44588,0.9616708000012619,44588,0.03746960359551241,0.006528640090085443,44588
69,10.0,45418,0.9609238000012865,45418,0.03897857045283518,0.0063863417067767,45418
70,5.0,46041,0.960363100001305,46041,0.038611845590210074,0.0065451340790876125,46041
71,8.0,46821,0.9596611000013281,46821,0.038113059036624736,0.006282603354506696,46821
72,9.0,47605,0.9589555000013513,47605,0.03762751118260987,0.0061169281016191235,47605
73,11.0,48483,0.9581653000013773,48483,0.03670915697991916,0.006636729856936053,48483
74,8.0,49261,0.9574651000014004,49261,0.037443768953698615,0.006445124747426426,49261
75,15.0,50271,0.9565561000014303,50271,0.03696150698025923,0.006174620719295742,50271
76,12.0,51062,0.9558442000014538,51062,0.0374814737776551,0.0063446391276443,51062
77,10.0,51834,0.9551494000014766,51834,0.0413254558089445,0.006742036917323483,51834
78,6.0,52476,0.9545716000014957,52476,0.038951276346019865,0.00698929470926603,52476
79,6.0,53125,0.9539875000015149,53125,0.03719550989660074,0.007589715920501347,53125
80,12.0,53934,0.9532594000015389,53934,0.03970323671092946,0.006490521071716448,53934
81,12.0,54735,0.9525385000015626,54735,0.03755664141771945,0.007105001505012607,54735
82,11.0,55511,0.9518401000015856,55511,0.0376675863697472,0.006936379129273491,55511
83,9.0,56290,0.9511390000016087,56290,0.039074848225490885,0.006788738721131917,56290
84,7.0,56933,0.9505603000016277,56933,0.035479094259568356,0.006304787502804782,56933
85,10.0,57705,0.9498655000016506,57705,0.03901183356198004,0.006886547666706248,57705
86,9.0,58489,0.9491599000016738,58489,0.037159638683672766,0.006707300448768513,58489
87,9.0,59281,0.9484471000016973,59281,0.037384038280714495,0.006544420482657527,59281
88,8.0,60052,0.9477532000017201,60052,0.03878693989491339,0.006512154536786816,60052
89,6.0,60816,0.9470656000017428,60816,0.03717702024747954,0.006913648462095188,60816
90,10.0,61604,0.9463564000017661,61604,0.03784533189656922,0.006329550075311944,61604
91,10.0,62414,0.9456274000017901,62414,0.039921617622912665,0.005920245905477197,62414
92,8.0,63191,0.9449281000018132,63191,0.03774577378028071,0.006832119711360713,63191
93,10.0,63977,0.9442207000018364,63977,0.039183626167059095,0.006737370987497709,63977
94,6.0,64624,0.9436384000018556,64624,0.03743897283729022,0.006784759881523678,64624
95,5.0,65027,0.9432757000018676,65027,0.033864618064119265,0.007063886736260806,65027
96,9.0,65801,0.9425791000018905,65801,0.03787153914031748,0.006946235645743802,65801
97,10.0,66584,0.9418744000019137,66584,0.038218196286400004,0.006782750696099053,66584
98,4.0,66966,0.941530600001925,66966,0.03522706111766281,0.007663012377238779,66966
99,8.0,67729,0.9408439000019476,67729,0.0394875863628025,0.007009597762358445,67729
100,10.0,68508,0.9401428000019707,68508,0.039207691900594706,0.006000192941022099,68508
101,6.0,69167,0.9395497000019902,69167,0.03720339997325302,0.007503818838849341,69167
102,3.0,69551,0.9392041000020016,69551,0.03684571507619694,0.007321776673810139,69551
103,6.0,70186,0.9386326000020204,70186,0.03823447785978242,0.0061683492463698066,70186
104,10.0,70971,0.9379261000020437,70971,0.03778353260391078,0.006525944579195433,70971
105,11.0,71805,0.9371755000020684,71805,0.037119347144284554,0.0064967518391917355,71805
106,9.0,72602,0.936458200002092,72602,0.03767390361282428,0.006472685440962578,72602
107,10.0,73401,0.9357391000021157,73401,0.03972612847300137,0.007632855247295006,73401
108,6.0,74016,0.9351856000021339,74016,0.03717256339827204,0.006519242652551824,74016
109,6.0,74645,0.9346195000021525,74645,0.03756030306326661,0.006742624420578634,74645
110,10.0,75422,0.9339202000021756,75422,0.03833274420067917,0.00719377712448945,75422
111,5.0,75818,0.9335638000021873,75818,0.0350428207664553,0.007741532445402529,75818
112,6.0,76442,0.9330022000022058,76442,0.037640069268094614,0.006175128853824273,76442
113,10.0,77237,0.9322867000022294,77237,0.03795642939238054,0.006791289893137115,77237
114,6.0,77866,0.931720600002248,77866,0.038052638246424624,0.00643099590803575,77866
115,8.0,78621,0.9310411000022704,78621,0.03733881357933907,0.0062951577777607326,78621
116,6.0,79243,0.9304813000022888,79243,0.03734460541337633,0.0062365302673508816,79243
117,6.0,79879,0.9299089000023076,79879,0.03879692370903754,0.006767558427730725,79879
118,12.0,80737,0.9291367000023331,80737,0.03750246492516258,0.006331418592269513,80737
119,6.0,81392,0.9285472000023525,81392,0.03684811413231242,0.006461850550018592,81392
120,16.0,83269,0.9268579000024081,83269,0.035239462361640765,0.006871799128171633,83269
121,4.0,83651,0.9265141000024194,83651,0.03532831986673683,0.007150100337777833,83651
122,4.0,84037,0.9261667000024308,84037,0.035418945089600244,0.006246856846041384,84037
123,4.0,84430,0.9258130000024425,84430,0.0353045597975794,0.005309285210257719,84430
124,7.0,85054,0.925251400002461,85054,0.03869933077098372,0.006253700449563509,85054
125,9.0,85832,0.924551200002484,85832,0.040445363139470315,0.006386864000078767,85832
126,4.0,86235,0.924188500002496,86235,0.03422804691230245,0.0060555194472060965,86235
127,8.0,87001,0.9234991000025187,87001,0.03897518511890743,0.007124063086072251,87001
128,9.0,87796,0.9227836000025422,87796,0.037515530172946315,0.006946801649495877,87796
129,12.0,88643,0.9220213000025673,88643,0.037311777690207805,0.007177528418104935,88643
130,10.0,89416,0.9213256000025902,89416,0.03894726138557145,0.006290926591837767,89416
131,4.0,89799,0.9209809000026016,89799,0.03361426184911952,0.0077797042314746165,89799
132,6.0,90420,0.92042200000262,90420,0.03734486299040525,0.006118384544961095,90420
133,5.0,90827,0.920055700002632,90827,0.035244556670180116,0.006041227125877935,90827
134,9.0,91611,0.9193501000026553,91611,0.03754792535649042,0.00607867438145836,91611
135,4.0,91986,0.9190126000026664,91986,0.0346919688085715,0.006667261139101659,91986
136,12.0,92811,0.9182701000026908,92811,0.03760326624142401,0.007200234574089391,92811
137,11.0,93609,0.9175519000027145,93609,0.0391994524084237,0.006909444838815385,93609
138,6.0,94265,0.9169615000027339,94265,0.03851336526127941,0.0059101631231897045,94265
139,6.0,94896,0.9163936000027526,94896,0.038101865926229064,0.005888774784587371,94896
140,9.0,95704,0.9156664000027765,95704,0.0384282121310324,0.006530168104237049,95704
141,8.0,96476,0.9149716000027994,96476,0.03794517885854979,0.006302760091332485,96476
142,6.0,97130,0.9143830000028188,97130,0.03898769598283352,0.006236436859989718,97130
143,5.0,97532,0.9140212000028307,97532,0.035555269383820726,0.006731272914588211,97532
144,11.0,98346,0.9132886000028548,98346,0.0393836201266992,0.0059913817227644165,98346
145,6.0,98974,0.9127234000028734,98974,0.03717156391958617,0.0063366127154266365,98974
146,6.0,99622,0.9121402000028926,99622,0.03744852364373704,0.006987521261090692,99622
147,8.0,100395,0.9114445000029155,100395,0.03755453897623242,0.006896950403529003,100395
148,8.0,101178,0.9107398000029387,101178,0.0381662728429069,0.006853434097900211,101178
149,6.0,101804,0.9101764000029573,101804,0.037619593401496024,0.006793274710294434,101804
150,6.0,102420,0.9096220000029756,102420,0.03772489775830953,0.007326078836374475,102420
151,3.0,102810,0.9092710000029871,102810,0.03526781913466179,0.006596330394565414,102810
152,6.0,103439,0.9087049000030057,103439,0.03780396040736302,0.006582593477670909,103439
153,9.0,104238,0.9079858000030294,104238,0.038254167199209425,0.006649980432587327,104238
154,6.0,104894,0.9073954000030489,104894,0.03655860822920392,0.007168142073723863,104894
155,6.0,105527,0.9068257000030676,105527,0.03751433983527559,0.0071751731588567,105527
156,18.0,106622,0.9058402000031001,106622,0.03728854524133276,0.006499762084844339,106622
157,6.0,107040,0.9054640000031124,107040,0.033541953507543465,0.006514487295195964,107040
158,9.0,107817,0.9047647000031355,107817,0.038370467094342525,0.006262869291781224,107817
159,9.0,108611,0.904050100003159,108611,0.03997981394887421,0.006739982792281285,108611
160,6.0,109013,0.9036883000031709,109013,0.03537088469022987,0.006997311419595394,109013
161,9.0,109790,0.9029890000031939,109790,0.03852662770137517,0.006131601527973319,109790
162,8.0,110531,0.9023221000032159,110531,0.037932061822770737,0.006356371532914803,110531
163,8.0,111309,0.9016219000032389,111309,0.038058845936811525,0.006626466026143314,111309
164,11.0,112176,0.9008416000032646,112176,0.036550542484698204,0.006472345429092362,112176
165,5.0,112552,0.9005032000032758,112552,0.03751974543457494,0.006957343481267441,112552
166,8.0,113310,0.8998210000032982,113310,0.03839194553223559,0.00637403753230417,113310
167,6.0,113960,0.8992360000033175,113960,0.03791814824996086,0.006596742968943615,113960
168,10.0,114738,0.8985358000033405,114738,0.03815329266630669,0.006619616351061941,114738
169,6.0,115374,0.8979634000033594,115374,0.037955044759964605,0.006474140631463291,115374
170,6.0,116027,0.8973757000033787,116027,0.03746256431932654,0.006339554136524842,116027
171,10.0,116837,0.8966467000034027,116837,0.037706116018931805,0.006860259615235537,116837
172,6.0,117472,0.8960752000034216,117472,0.03849569805787774,0.006278006444679661,117472
173,12.0,118282,0.8953462000034456,118282,0.037204278106398786,0.007274865457374189,118282
174,7.0,118917,0.8947747000034644,118917,0.039072195813059804,0.006691462907291157,118917
175,12.0,119706,0.8940646000034878,119706,0.040069306233876556,0.006432662363182128,119706
176,6.0,120346,0.8934886000035067,120346,0.03953217751404736,0.007299046897514927,120346
177,11.0,121116,0.8927956000035295,121116,0.038637301395949605,0.006313477753806714,121116
178,10.0,121880,0.8921080000035522,121880,0.038617080392033175,0.006519011592709445,121880
179,6.0,122514,0.891537400003571,122514,0.03925119045745781,0.006677601346479838,122514
180,11.0,123330,0.8908030000035951,123330,0.03769443030743038,0.007186611630138085,123330
181,4.0,123706,0.8904646000036063,123706,0.03599862953489448,0.0055867060330823965,123706
182,6.0,124383,0.8898553000036263,124383,0.03728601124352243,0.006552600500284263,124383
183,10.0,125193,0.8891263000036503,125193,0.03764009818572689,0.005961074378775479,125193
