EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-05,0.01
Date/Time Start,2019-03-21 18:53:53.688058
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,8.0,791,1.0,791,0.02903692634934006,0.0,791
1,6.0,1433,0.9996103000000128,1433,0.029841774739499127,0.0036881033848768763,1433
2,5.0,1832,0.9992512000000247,1832,0.02721713899511069,0.004932627022496301,1832
3,6.0,2484,0.998664400000044,2484,0.030080181587933123,0.005385442001733856,2484
4,6.0,3103,0.9981073000000623,3103,0.0340442983854881,0.005753586107515354,3103
5,11.0,3923,0.9973693000000866,3923,0.03651808157290627,0.0054060605098173965,3923
6,8.0,4694,0.9966754000001095,4694,0.041098207938358014,0.005313562613495338,4694
7,6.0,5328,0.9961048000001282,5328,0.043566985446548426,0.0054233872077892546,5328
8,6.0,5951,0.9955441000001467,5951,0.04618685935021499,0.004697665929237274,5951
9,10.0,6727,0.9948457000001697,6727,0.04574697787547004,0.005519439593715959,6727
10,11.0,7540,0.9941140000001938,7540,0.048490361918822424,0.0057891668191694485,7540
11,4.0,7943,0.9937513000002057,7943,0.04792418084095784,0.005303438036884852,7943
12,5.0,8335,0.9933985000002173,8335,0.05078086010845644,0.006135269468581917,8335
13,10.0,9117,0.9926947000002405,9117,0.05049690992459464,0.0054969820494568085,9117
14,9.0,9927,0.9919657000002645,9927,0.04989246230710436,0.006241385267199848,9927
15,7.0,10712,0.9912592000002878,10712,0.05419800991465332,0.00579204650426259,10712
16,4.0,11110,0.9909010000002996,11110,0.06055785168018473,0.0056972798797481905,11110
17,10.0,11912,0.9901792000003233,11912,0.06290960161856136,0.005052452404185745,11912
18,11.0,12700,0.9894700000003467,12700,0.06585765879620151,0.005321356595845943,12700
19,11.0,13543,0.9887113000003717,13543,0.06835779940990083,0.005551866434725396,13543
20,13.0,14404,0.9879364000003972,14404,0.06962730748953166,0.005495014167713745,14404
21,11.0,15185,0.9872335000004203,15185,0.06996475702459315,0.0059509084590636694,15185
22,9.0,15957,0.9865387000004432,15957,0.0717148337986108,0.005894087982422471,15957
23,5.0,16360,0.9861760000004551,16360,0.07406294322745971,0.0065342244579956205,16360
24,5.0,16748,0.9858268000004666,16748,0.07458482747033392,0.005567343961600498,16748
25,20.0,18163,0.9845533000005086,18163,0.06970091689865075,0.005814437845854196,18163
26,5.0,18569,0.9841879000005206,18569,0.07509703029479299,0.0059950403020445665,18569
27,6.0,19217,0.9836047000005398,19217,0.07445056642762121,0.005686381938939581,19217
28,11.0,20026,0.9828766000005638,20026,0.07408835588320077,0.006044838439850327,20026
29,5.0,20417,0.9825247000005753,20417,0.07750600532573812,0.006390613804459605,20417
30,6.0,21056,0.9819496000005943,21056,0.0806143124746698,0.005781774595369582,21056
31,11.0,21835,0.9812485000006174,21835,0.08639246562976433,0.006274547568200047,21835
32,10.0,22634,0.980529400000641,22634,0.08963498457315121,0.005902652768643119,22634
33,5.0,23041,0.9801631000006531,23041,0.09384936032043335,0.006698234446886432,23041
34,14.0,24141,0.9791731000006857,24141,0.09288925433700734,0.006028602962254478,24141
35,12.0,24992,0.9784072000007109,24992,0.09441200213027477,0.006557636861030876,24992
36,9.0,25764,0.9777124000007338,25764,0.09652614679399858,0.006178891682030209,25764
37,6.0,26400,0.9771400000007526,26400,0.09547695181326671,0.006112769019814521,26400
38,4.0,26808,0.9767728000007647,26808,0.09923251895416602,0.005489932550089553,26808
39,10.0,27587,0.9760717000007878,27587,0.09613854994708063,0.006052771122647262,27587
40,4.0,27984,0.9757144000007996,27984,0.09623946266375501,0.005598957160684167,27984
41,5.0,28390,0.9753490000008116,28390,0.09510387192145357,0.00564561099666122,28390
42,10.0,29208,0.9746128000008358,29208,0.09535263272908615,0.006269370044054948,29208
43,10.0,30005,0.9738955000008594,30005,0.09635497007981747,0.006006286695163984,30005
44,7.0,30778,0.9731998000008824,30778,0.09903827134187286,0.00668078035210962,30778
45,6.0,31397,0.9726427000009007,31397,0.107396346674886,0.00585491481246376,31397
46,10.0,32265,0.9718615000009264,32265,0.11040608029520732,0.005896468887136331,32265
47,9.0,33061,0.97114510000095,33061,0.11339005079101677,0.006211601698535802,33061
48,5.0,33452,0.9707932000009616,33452,0.11877465775936766,0.005776427505199414,33452
49,2.0,33828,0.9704548000009727,33828,0.1202783028773488,0.007116312985419156,33828
50,6.0,34467,0.9698797000009917,34467,0.11634136070621219,0.005463504287309178,34467
51,9.0,35256,0.969169600001015,35256,0.11755704525645695,0.005911003276977968,35256
52,11.0,36089,0.9684199000010397,36089,0.11443815868692238,0.005227820527180142,36089
53,11.0,36954,0.9676414000010654,36954,0.11509019624807931,0.006260193269213627,36954
54,12.0,37786,0.96689260000109,37786,0.11537422240675929,0.005630996076171449,37786
55,6.0,38412,0.9663292000011086,38412,0.1170640936174903,0.005506602708530304,38412
56,7.0,39056,0.9657496000011276,39056,0.11660545848032332,0.005934476911658427,39056
57,6.0,39688,0.9651808000011464,39688,0.11607148185891064,0.005012289885633413,39688
58,10.0,40500,0.9644500000011704,40500,0.11574178830413102,0.006251113147609341,40500
59,4.0,40885,0.9641035000011818,40885,0.12964119313212183,0.005679650578928307,40885
60,10.0,41675,0.9633925000012052,41675,0.1306767646836329,0.005715956754265559,41675
61,12.0,42506,0.9626446000012299,42506,0.13329574278366407,0.005567857062476802,42506
62,6.0,43159,0.9620569000012492,43159,0.13653576326132916,0.006144869608624434,43159
63,10.0,43933,0.9613603000012722,43933,0.1344624027725338,0.005977007158905322,43933
