EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-08,0.01
Date/Time Start,2019-03-23 23:22:15.912637
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,10.0,783,1.0,783,0.029254243768618404,0.0,783
1,4.0,1173,0.9998443000000051,1173,0.027898822323634075,0.0030766337780126682,1173
2,10.0,1940,0.9991540000000279,1940,0.030777070509825956,0.0067733336236106894,1940
3,10.0,2743,0.9984313000000516,2743,0.03080148482405271,0.0066566869089087636,2743
4,9.0,3516,0.9977356000000746,3516,0.030345187045363913,0.006995733523513052,3516
5,10.0,4318,0.9970138000000983,4318,0.030559429103401755,0.006841784380718908,4318
6,10.0,5125,0.9962875000001222,5125,0.03135320871071302,0.007048500020820371,5125
7,6.0,5748,0.9957268000001407,5748,0.030310783517303284,0.0063609333114099074,5748
8,10.0,6515,0.9950365000001634,6515,0.03219079852317893,0.007154338765841444,6515
9,11.0,7381,0.9942571000001891,7381,0.030654803498091035,0.006566390830377659,7381
10,6.0,8012,0.9936892000002078,8012,0.029835714797729923,0.006805135988410438,8012
11,6.0,8644,0.9931204000002265,8644,0.030096678584931962,0.007101348749655918,8644
12,9.0,9476,0.9923716000002512,9476,0.031280125414083995,0.0066238994599748715,9476
13,5.0,10093,0.9918163000002694,10093,0.03061797730835997,0.006183283565119905,10093
14,6.0,10728,0.9912448000002883,10728,0.030592754998017016,0.00587827159750906,10728
15,10.0,11516,0.9905356000003116,11516,0.030525312621883936,0.006190814367599778,11516
16,9.0,12315,0.9898165000003353,12315,0.03016408326544884,0.006308837173571746,12315
17,6.0,12962,0.9892342000003544,12962,0.030563000791131806,0.00672832334365903,12962
18,10.0,13752,0.9885232000003779,13752,0.029705093429671436,0.006633307313534749,13752
19,4.0,14133,0.9881803000003891,14133,0.030800581093281116,0.006858960766769368,14133
20,4.0,14517,0.9878347000004005,14517,0.030969375366112217,0.006661083935644759,14517
21,18.0,16393,0.9861463000004561,16393,0.026640357097674375,0.0063663239464138216,16393
22,4.0,16780,0.9857980000004676,16780,0.028650785955174486,0.0072523459801312,16780
23,6.0,17408,0.9852328000004862,17408,0.03069579096920314,0.006697266862099652,17408
24,5.0,17809,0.9848719000004981,17809,0.0282976596042551,0.0061451360318250025,17809
25,9.0,18605,0.9841555000005217,18605,0.02975910184928333,0.006835330901146824,18605
26,13.0,19428,0.983414800000546,19428,0.030174039120934134,0.007121655250748706,19428
27,6.0,20068,0.982838800000565,20068,0.029905131946725304,0.006748314476590167,20068
28,9.0,20854,0.9821314000005883,20854,0.029891004605792255,0.006147164639905918,20854
29,1.0,21232,0.9817912000005995,21232,0.030606315806310957,0.006459511916440168,21232
30,12.0,22038,0.9810658000006234,22038,0.031149687994243787,0.006069164696798334,22038
31,4.0,22439,0.9807049000006353,22439,0.027621038511228234,0.005924571288747834,22439
