EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-03-25 16:10:48.421576
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,1.0,127,1.0,127,0.039914152255,0.0,127
1,6.0,512,1.0,512,0.0367737984067,0.0,512
2,2.0,698,1.0,698,0.0398416474902,0.0,698
3,4.0,978,1.0,978,0.0378930841373,0.0,978
4,2.0,1174,0.9998434000000052,1174,-0.0215894836928,0.00729440110675,1174
5,1.0,1307,0.9997237000000091,1307,-0.0359117981481,0.0050003868949,1307
6,2.0,1468,0.9995788000000139,1468,-0.0340077911695,0.0075138593502,1468
7,2.0,1637,0.9994267000000189,1637,-0.0475040118723,0.00622924417354,1637
8,1.0,1768,0.9993088000000228,1768,-0.0466841160967,0.00603463600022,1768
9,2.0,1969,0.9991279000000287,1969,-0.0489497731407,0.00512248811263,1969
10,6.0,2326,0.9988066000000393,2326,-0.0464582045508,0.00640034370651,2326
11,5.0,2642,0.9985222000000487,2642,-0.0498969693008,0.00590659721718,2642
12,1.0,2795,0.9983845000000532,2795,-0.016247664767,0.00613701236834,2795
13,4.0,3048,0.9981568000000607,3048,-0.0349615981076,0.00604133833692,3048
14,3.0,3269,0.9979579000000672,3269,-0.0338563572582,0.00676237022272,3269
15,5.0,3546,0.9977086000000754,3546,-0.0166879594074,0.00761753189069,3546
16,2.0,3724,0.9975484000000807,3724,-0.0185915547295,0.0065514492,3724
17,2.0,3917,0.9973747000000864,3917,-0.022327501515,0.00683059855261,3917
18,1.0,4083,0.9972253000000914,4083,-0.0425557553746,0.00802584029785,4083
19,2.0,4260,0.9970660000000966,4260,-0.0359557477934,0.00660403104297,4260
20,2.0,4432,0.9969112000001017,4432,-0.0361107001623,0.00681203054934,4432
21,5.0,4709,0.9966619000001099,4709,-0.0309456826426,0.00601126625111,4709
22,3.0,4926,0.9964666000001163,4926,-0.0272570627887,0.00689614508866,4926
23,1.0,5070,0.9963370000001206,5070,-0.0278926856263,0.00696713771329,5070
24,3.0,5264,0.9961624000001263,5264,-0.0397206778859,0.0063434378739,5264
25,3.0,5471,0.9959761000001325,5471,-0.0183840924649,0.00594726087014,5471
26,3.0,5690,0.995779000000139,5690,-0.031085758352,0.0060716358496,5690
27,0.0,5787,0.9956917000001418,5787,-0.028904712711,0.00784316039677,5787
28,0.0,5910,0.9955810000001455,5910,-0.0205635938271,0.00595096594291,5910
29,1.0,6089,0.9954199000001508,6089,-0.0143276489191,0.00589512761453,6089
30,2.0,6268,0.9952588000001561,6268,-0.0258250037474,0.00635458195397,6268
31,3.0,6505,0.9950455000001631,6505,-0.0272915004812,0.00630499612793,6505
32,1.0,6671,0.994896100000168,6671,-0.030756421376,0.00512329846952,6671
33,2.0,6876,0.9947116000001741,6876,-0.0126252068434,0.00562776717098,6876
34,2.0,7049,0.9945559000001792,7049,-0.00913475638234,0.0050377821261,7049
35,1.0,7190,0.9944290000001834,7190,-0.0215722366355,0.0060234249674,7190
36,2.0,7350,0.9942850000001882,7350,-0.0166181618406,0.00682196670828,7350
37,3.0,7557,0.9940987000001943,7557,-0.00915519101095,0.00558293867674,7557
38,0.0,7672,0.9939952000001977,7672,-0.00936504409082,0.00666097109016,7672
39,1.0,7827,0.9938557000002023,7827,-0.0139040538485,0.00530770845935,7827
40,1.0,7978,0.9937198000002068,7978,-0.0230780887288,0.00524195750416,7978
41,3.0,8201,0.9935191000002134,8201,-0.00598416862082,0.00627178899474,8201
42,0.0,8308,0.9934228000002165,8308,-0.0186653616185,0.0068925277547,8308
43,4.0,8568,0.9931888000002242,8568,-0.0178498715986,0.00548484931712,8568
44,2.0,8767,0.9930097000002301,8767,-0.0198498994168,0.00583417401571,8767
