EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-07,0.01
Date/Time Start,2019-03-18 18:52:00.963951
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,419,1.0,419,0.041750018709385876,0.0,419
1,6.0,794,1.0,794,0.04180584673086802,0.0,794
2,20.0,1171,0.9998461000000051,1171,0.042546430419863696,0.008658090092189886,1171
3,6.0,1644,0.9994204000000191,1644,0.041143718382331836,0.017505886803536694,1644
4,24.0,2104,0.9990064000000327,2104,0.04205989390611649,0.020041913741126495,2104
5,6.0,2440,0.9987040000000427,2440,0.0418117709313741,0.01852435494705181,2440
6,23.0,2799,0.9983809000000533,2799,0.042656619584286445,0.01914537182171157,2799
7,7.0,3132,0.9980812000000632,3132,0.040919909276090585,0.019438799036465382,3132
8,7.0,3494,0.9977554000000739,3494,0.040286410301512116,0.019103150732123205,3494
9,6.0,3897,0.9973927000000858,3897,0.041785845412842686,0.0172379098612487,3897
10,21.0,4224,0.9970984000000955,4224,0.041621999906244996,0.01847157754582162,4224
11,15.0,4552,0.9968032000001052,4552,0.04167582869257142,0.01774739225433356,4552
12,6.0,4934,0.9964594000001166,4934,0.041233789482938994,0.019831297792682025,4934
13,6.0,5339,0.9960949000001286,5339,0.04163674767830489,0.019577816745875703,5339
14,6.0,5722,0.9957502000001399,5722,0.042093460737452806,0.017524231326773606,5722
15,6.0,6083,0.9954253000001506,6083,0.04186917339397434,0.017934233128219595,6083
16,7.0,6496,0.9950536000001629,6496,0.04215437981590953,0.016870055914254403,6496
17,6.0,6891,0.9946981000001746,6891,0.04131320835197274,0.017776736261653183,6891
18,21.0,7312,0.994319200000187,7312,0.041379337639253666,0.01730213284734725,7312
19,6.0,7757,0.9939187000002002,7757,0.04111142098233941,0.016682960369802092,7757
20,6.0,8153,0.993562300000212,8153,0.04153536705093251,0.018758095435461856,8153
21,6.0,8620,0.9931420000002258,8620,0.04130506016138534,0.017351848255529823,8620
22,6.0,9021,0.9927811000002377,9021,0.041538094381739075,0.016134255884175754,9021
23,7.0,9501,0.9923491000002519,9501,0.04316369527562832,0.015110811316602243,9501
24,7.0,9756,0.9921196000002594,9756,0.04115162363239363,0.01616211034375809,9756
25,6.0,10209,0.9917119000002729,10209,0.041073821365800386,0.016528493409439772,10209
26,7.0,10549,0.991405900000283,10549,0.041963611773270015,0.01609795733135851,10549
27,6.0,10852,0.9911332000002919,10852,0.04282170107508256,0.015583550871392902,10852
28,6.0,11196,0.9908236000003021,11196,0.04213147031056673,0.014527124108077936,11196
29,7.0,11574,0.9904834000003133,11574,0.040746304369162,0.01521262670275829,11574
30,31.0,11973,0.9901243000003251,11973,0.04257759462603202,0.014994931643312904,11973
31,6.0,12432,0.9897112000003387,12432,0.040985074182383896,0.016831734730285836,12432
32,6.0,12827,0.9893557000003504,12827,0.041626200513749184,0.015346133864567249,12827
33,6.0,13149,0.98906590000036,13149,0.04289306478100534,0.01576360330594449,13149
34,22.0,13677,0.9885907000003756,13677,0.042316864262278556,0.014719923993018738,13677
35,6.0,14039,0.9882649000003864,14039,0.04195779324277659,0.016697417520171867,14039
36,22.0,14584,0.9877744000004025,14584,0.04203420133082145,0.015291568358351878,14584
