EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-08,0.01
Date/Time Start,2019-03-26 17:17:45.576920
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,384,1.0,384,0.0220549395017,0.0,384
1,6.0,704,1.0,704,0.0209382503526,0.0,704
2,31.0,1057,0.9999487000000017,1057,0.0193927611406,0.0033569159349,1057
3,6.0,1530,0.9995230000000157,1530,0.0217979901823,0.0220795282198,1530
4,6.0,1901,0.9991891000000267,1901,0.0214624136104,0.0189916106466,1901
5,23.0,2373,0.9987643000000407,2373,0.02101033868,0.0191788348942,2373
6,6.0,2682,0.9984862000000498,2682,0.0209025016121,0.019364674559,2682
7,6.0,3076,0.9981316000000615,3076,0.0214690428681,0.0181410623972,3076
8,6.0,3461,0.9977851000000729,3461,0.0215584065475,0.0172114307926,3461
9,6.0,3844,0.9974404000000843,3844,0.0218558212932,0.0175699514262,3844
10,6.0,4254,0.9970714000000964,4254,0.0212988483379,0.0162753761803,4254
11,8.0,4577,0.996780700000106,4577,0.0216385241679,0.0162877332147,4577
12,6.0,4989,0.9964099000001182,4989,0.0217299685334,0.0163766783091,4989
13,6.0,5360,0.9960760000001292,5360,0.0210827196675,0.0158222438184,5360
14,7.0,5782,0.9956962000001417,5782,0.0211406182895,0.0163195654562,5782
15,6.0,6231,0.995292100000155,6231,0.0222539160907,0.0151091193649,6231
16,6.0,6615,0.9949465000001664,6615,0.021385659226,0.0153798243015,6615
17,6.0,6989,0.9946099000001775,6989,0.021126449636,0.0155798970967,6989
18,21.0,7504,0.9941464000001927,7504,0.0194268694744,0.0152648693475,7504
19,7.0,7728,0.9939448000001994,7728,0.0202415630005,0.0161400667047,7728
20,7.0,8112,0.9935992000002107,8112,0.0210461385335,0.0151489977743,8112
21,6.0,8424,0.99331840000022,8424,0.020740354362,0.0151022486336,8424
22,6.0,8880,0.9929080000002335,8880,0.0219935147835,0.014264722199,8880
23,6.0,9281,0.9925471000002454,9281,0.0213506431818,0.0135156905616,9281
24,6.0,9625,0.9922375000002556,9625,0.0213840998991,0.0134187147325,9625
25,6.0,9990,0.9919090000002664,9990,0.0209619632322,0.0143893400418,9990
26,20.0,10433,0.9915103000002795,10433,0.0229457897296,0.0150589377159,10433
27,6.0,10825,0.9911575000002911,10825,0.0215449764355,0.0153457084994,10825
28,6.0,11209,0.9908119000003025,11209,0.0215332794517,0.0133757506498,11209
29,8.0,11510,0.9905410000003114,11510,0.0211060271967,0.0138880759752,11510
30,22.0,11830,0.9902530000003209,11830,0.0211327931087,0.0153795087033,11830
31,22.0,12291,0.9898381000003346,12291,0.0203964693185,0.01543077391,12291
32,18.0,12657,0.9895087000003454,12657,0.0204081170037,0.0149739906488,12657
33,22.0,13351,0.988884100000366,13351,0.0217867665884,0.0143093225433,13351
34,8.0,13905,0.9883855000003824,13905,0.0240338640624,0.0156489468222,13905
35,6.0,14279,0.9880489000003935,14279,0.0227614485205,0.015812281254,14279
36,6.0,14722,0.9876502000004066,14722,0.02383017939,0.0156587310536,14722
37,23.0,15053,0.9873523000004164,15053,0.0209188897309,0.015532300657,15053
38,7.0,15361,0.9870751000004255,15361,0.0219889124734,0.0155557346753,15361
39,6.0,15769,0.9867079000004376,15769,0.0233580038938,0.014799287961,15769
40,25.0,16134,0.9863794000004484,16134,0.0223491663037,0.0157112668272,16134
41,7.0,16481,0.9860671000004587,16481,0.0230865505248,0.0179830719251,16481
42,18.0,16765,0.9858115000004671,16765,0.0220283064467,0.0154603660237,16765
43,6.0,17078,0.9855298000004764,17078,0.0229047549347,0.0153368486567,17078
44,6.0,17546,0.9851086000004903,17546,0.0248524703276,0.0169779268647,17546
45,6.0,17846,0.9848386000004992,17846,0.0231558672773,0.0176799912677,17846
46,6.0,18314,0.984417400000513,18314,0.024270914495,0.0161757731806,18314
47,23.0,18728,0.9840448000005253,18728,0.0267629464278,0.0168062952777,18728
48,18.0,19152,0.9836632000005379,19152,0.0241423599062,0.0161538562855,19152
49,6.0,19488,0.9833608000005478,19488,0.0243932977762,0.0155743367484,19488
50,24.0,19992,0.9829072000005628,19992,0.0256029496132,0.0161603381375,19992
51,6.0,20376,0.9825616000005741,20376,0.0247709369238,0.0154156721913,20376
52,6.0,20750,0.9822250000005852,20750,0.0247498129988,0.015586169605,20750
53,6.0,21142,0.9818722000005968,21142,0.0253505898944,0.0158055271606,21142
54,6.0,21454,0.9815914000006061,21454,0.0243117456647,0.0161458215208,21454
55,6.0,21841,0.9812431000006175,21841,0.0262412436846,0.0158155432226,21841
56,7.0,22159,0.980956900000627,22159,0.024346081212,0.016918221594,22159
57,6.0,22518,0.9806338000006376,22518,0.0254284035892,0.0160252903823,22518
58,7.0,22821,0.9803611000006466,22821,0.0246699505329,0.0170367655752,22821
59,6.0,23126,0.9800866000006556,23126,0.0249714925336,0.0154017433219,23126
60,7.0,23483,0.9797653000006662,23483,0.0262085993041,0.0172370763751,23483
61,6.0,23727,0.9795457000006734,23727,0.024779361917,0.0173380987957,23727
62,7.0,24057,0.9792487000006832,24057,0.0260699425401,0.0161193140072,24057
63,6.0,24376,0.9789616000006927,24376,0.0251000077875,0.0155866704367,24376
64,6.0,24863,0.9785233000007071,24863,0.0271708976126,0.0156260170616,24863
65,6.0,25169,0.9782479000007162,25169,0.0262060115004,0.0170816697159,25169
66,22.0,25684,0.9777844000007314,25684,0.0248953374085,0.0153697556523,25684
67,20.0,26084,0.9774244000007433,26084,0.0265343337506,0.0150824638848,26084
68,6.0,26475,0.9770725000007549,26475,0.0276521414166,0.0161544334397,26475
69,6.0,26872,0.9767152000007666,26872,0.0273651696357,0.0164383776047,26872
70,6.0,27253,0.9763723000007779,27253,0.0273253366723,0.015290936141,27253
71,6.0,27700,0.9759700000007911,27700,0.027908981859,0.0144608312672,27700
72,18.0,28134,0.975579400000804,28134,0.026838959993,0.0149177203978,28134
73,16.0,28554,0.9752014000008165,28554,0.0257796449942,0.01559430227,28554
74,6.0,28919,0.9748729000008273,28919,0.0277834558579,0.0160218129078,28919
75,21.0,29484,0.974364400000844,29484,0.0271165233666,0.0162460409396,29484
76,6.0,29877,0.9740107000008557,29877,0.0284678496837,0.0153035388598,29877
77,6.0,30346,0.9735886000008696,30346,0.029144008773,0.0150793716825,30346
78,23.0,30713,0.9732583000008804,30713,0.0295517377413,0.0165392946133,30713
79,6.0,31086,0.9729226000008915,31086,0.028505324808,0.0158896879078,31086
80,6.0,31534,0.9725194000009048,31534,0.0298707127222,0.0151390505749,31534
