EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,2.5e-08,0.01
Date/Time Start,2019-03-27 21:59:10.704322
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,21.0,345,1.0,345,0.147103739778,0.0,345
1,6.0,689,1.0,689,0.147834957036,0.0,689
2,7.0,1053,0.9999523000000016,1053,0.147410366848,0.00323502432586,1053
3,21.0,1439,0.999604900000013,1439,0.145368008184,0.023965216845,1439
4,7.0,1767,0.9993097000000227,1767,0.145431993915,0.0245627652252,1767
5,6.0,2087,0.9990217000000322,2087,0.14650829928,0.0237603528178,2087
6,19.0,2462,0.9986842000000433,2462,0.141777895451,0.0239329622785,2462
7,6.0,2822,0.998360200000054,2822,0.143401985533,0.0238501825189,2822
8,6.0,3197,0.9980227000000651,3197,0.143200270236,0.0231116963439,3197
9,6.0,3585,0.9976735000000766,3585,0.140415567194,0.0225617316703,3585
10,6.0,3992,0.9973072000000887,3992,0.139854579834,0.0212252436364,3992
11,6.0,4353,0.9969823000000994,4353,0.139570988384,0.0208682057943,4353
12,23.0,4747,0.996627700000111,4747,0.138527275342,0.0210165867043,4747
13,23.0,5310,0.9961210000001277,5310,0.135095286301,0.0200480126443,5310
14,6.0,5789,0.9956899000001419,5789,0.134623969071,0.0209240189827,5789
15,6.0,6246,0.9952786000001554,6246,0.134234584738,0.020713738445,6246
16,7.0,6504,0.9950464000001631,6504,0.138712974857,0.020005756426,6504
17,27.0,6942,0.9946522000001761,6942,0.132408444638,0.0190679442678,6942
18,6.0,7390,0.9942490000001893,7390,0.131136093122,0.0217161709432,7390
19,7.0,7733,0.9939403000001995,7733,0.131823869123,0.0194216143522,7733
20,21.0,8249,0.9934759000002148,8249,0.130055357623,0.0197474721254,8249
21,18.0,8653,0.9931123000002268,8653,0.131159380539,0.0203244883871,8653
22,6.0,9108,0.9927028000002402,9108,0.126857040151,0.0193380912449,9108
23,22.0,9613,0.9922483000002552,9613,0.12665030434,0.019507001475,9613
24,6.0,9936,0.9919576000002648,9936,0.128667196415,0.0206644730311,9936
25,6.0,10243,0.9916813000002739,10243,0.127702381231,0.019465445644,10243
