EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,5e-08,0.01
Date/Time Start,2019-03-18 12:04:02.777776
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,307,1.0,307,0.08806957488922032,0.0,307
1,19.0,662,1.0,662,0.08800363026454415,0.0,662
2,7.0,927,1.0,927,0.08932325837184799,0.0,927
3,32.0,1286,0.9997426000000085,1286,0.08793173315299255,0.027295885660781585,1286
4,6.0,1696,0.9993736000000206,1696,0.08800868315667641,0.04055410409346223,1696
5,22.0,2038,0.9990658000000308,2038,0.08907511270447084,0.03655404315128574,2038
6,21.0,2449,0.9986959000000429,2449,0.08933090527344795,0.036354562113573664,2449
7,6.0,2822,0.998360200000054,2822,0.0879794361204628,0.03904896404159732,2822
8,6.0,3211,0.9980101000000655,3211,0.08835155348315031,0.035901517777255997,3211
9,23.0,3575,0.9976825000000763,3575,0.08981791855050968,0.03503911317182848,3575
10,7.0,3866,0.9974206000000849,3866,0.09066637700161163,0.03255364796165953,3866
11,6.0,4317,0.9970147000000983,4317,0.08889293789599265,0.03512145294405173,4317
12,6.0,4685,0.9966835000001092,4685,0.08957636896925776,0.03273011283043003,4685
13,6.0,5091,0.9963181000001212,5091,0.0898031682106368,0.033487061264562266,5091
14,6.0,5326,0.9961066000001282,5326,0.09122235965221487,0.031162899540380595,5326
15,6.0,5815,0.9956665000001427,5815,0.08921625894820032,0.029815314539492984,5815
16,7.0,6167,0.9953497000001531,6167,0.09108855185860937,0.029469752455373633,6167
17,40.0,6786,0.9947926000001714,6786,0.0898832677591213,0.0291757097539999,6786
18,6.0,7169,0.9944479000001828,7169,0.09125809163322025,0.029986203892530955,7169
19,29.0,7580,0.994078000000195,7580,0.08991618245985096,0.02890118230088929,7580
20,6.0,7952,0.993743200000206,7952,0.09135236444893063,0.03110781522412654,7952
21,6.0,8349,0.9933859000002178,8349,0.09119899024816244,0.030101343492041306,8349
22,6.0,8815,0.9929665000002316,8815,0.09220814770447339,0.02924679577462535,8815
23,23.0,9192,0.9926272000002427,9192,0.0935048043372144,0.028555472696382818,9192
24,7.0,9459,0.9923869000002506,9459,0.0946524077921771,0.028253284896887866,9459
25,6.0,9808,0.992072800000261,9808,0.09212222413552183,0.030244285451584526,9808
26,19.0,10162,0.9917542000002715,10162,0.09315514042552582,0.02731149360316537,10162
27,6.0,10568,0.9913888000002835,10568,0.09281247667050714,0.021826179578253457,10568
28,7.0,10875,0.9911125000002926,10875,0.09360249932697619,0.021174163127572847,10875
29,6.0,11331,0.9907021000003061,11331,0.09251011461999856,0.019737770924653057,11331
30,6.0,11714,0.9903574000003175,11714,0.09279586956410744,0.02077049722101092,11714
31,32.0,12100,0.9900100000003289,12100,0.0940246776981675,0.022968266210868626,12100
32,24.0,12484,0.9896644000003403,12484,0.09306679937678079,0.023000293580480502,12484
33,6.0,12932,0.9892612000003536,12932,0.0919314638511943,0.023105428349871154,12932
34,6.0,13318,0.988913800000365,13318,0.09342715601615338,0.020211833181134738,13318
35,6.0,13762,0.9885142000003782,13762,0.09304154949548009,0.019204255960659368,13762
36,20.0,14178,0.9881398000003905,14178,0.09301590081304312,0.0200643387299631,14178
37,6.0,14713,0.9876583000004063,14713,0.09347438390288397,0.020298123313331647,14713
38,24.0,15168,0.9872488000004198,15168,0.09447863416357355,0.02131852042799877,15168
39,6.0,15516,0.9869356000004301,15516,0.09368676473868304,0.022305785046405985,15516
40,6.0,15864,0.9866224000004404,15864,0.09392141514382828,0.02057957441556728,15864
41,6.0,16228,0.9862948000004512,16228,0.09348458141743482,0.019570165723152868,16228
42,6.0,16708,0.9858628000004654,16708,0.09401698634028435,0.019473999171411075,16708
43,7.0,17062,0.9855442000004759,17062,0.09572208921114604,0.019931691557650406,17062
44,6.0,17442,0.9852022000004872,17442,0.09374631198221131,0.01891172952202492,17442
45,6.0,17910,0.9847810000005011,17910,0.09406871824628776,0.018702622478913404,17910
46,6.0,18295,0.9844345000005125,18295,0.09423463572929432,0.019182658827766874,18295
47,6.0,18680,0.9840880000005239,18680,0.09405183975959754,0.01945177985071023,18680
48,6.0,19130,0.9836830000005372,19130,0.09366280160016484,0.020026844942994,19130
49,6.0,19530,0.9833230000005491,19530,0.09460037283599376,0.019078606731200126,19530
50,6.0,19980,0.9829180000005624,19980,0.093989853296015,0.017966577238661963,19980
51,6.0,20282,0.9826462000005713,20282,0.09513382988655014,0.017071444183489343,20282
52,7.0,20625,0.9823375000005815,20625,0.09486889176657179,0.017711060100951866,20625
53,6.0,20986,0.9820126000005922,20986,0.09458417899473222,0.01874445139790351,20986
54,6.0,21353,0.9816823000006031,21353,0.09480869676664025,0.017584225267542358,21353
55,6.0,21658,0.9814078000006121,21658,0.0950507716077273,0.01817428096174644,21658
56,23.0,22010,0.9810910000006225,22010,0.09710368668575856,0.01876074124712349,22010
57,6.0,22385,0.9807535000006337,22385,0.09524462991952896,0.018712905270668368,22385
58,6.0,22749,0.9804259000006444,22749,0.09480468345458036,0.017781342294995908,22749
59,26.0,23204,0.9800164000006579,23204,0.09578911840588182,0.018469282459457417,23204
60,6.0,23499,0.9797509000006667,23499,0.09544843945462825,0.01906204703974269,23499
61,6.0,23869,0.9794179000006776,23869,0.09536833900052148,0.017187431950210216,23869
62,21.0,24415,0.9789265000006938,24415,0.0963480171266493,0.01675109187078802,24415
63,7.0,24749,0.9786259000007037,24749,0.09544748277542833,0.017609586568011117,24749
64,24.0,25238,0.9781858000007182,25238,0.09519185287333218,0.01901099112923762,25238
65,6.0,25556,0.9778996000007276,25556,0.09606105527319249,0.01986723574963486,25556
66,39.0,26182,0.9773362000007462,26182,0.09492526179590165,0.017554784943825733,26182
67,6.0,26520,0.9770320000007562,26520,0.09491066630246371,0.019276704848261782,26520
68,6.0,26879,0.9767089000007668,26879,0.09594063703645239,0.0182001530212249,26879
69,17.0,27289,0.976339900000779,27289,0.09577218121508273,0.016752866021550555,27289
70,6.0,27639,0.9760249000007893,27639,0.09558984352009638,0.01859508646751887,27639
71,6.0,27932,0.975761200000798,27932,0.09625488031439407,0.017209710284301523,27932
72,32.0,28368,0.9753688000008109,28368,0.0957883313776703,0.018719785872402542,28368
73,7.0,28723,0.9750493000008215,28723,0.09805078932517011,0.01809837327004266,28723
74,6.0,29083,0.9747253000008321,29083,0.09631003296623628,0.020134456866394937,29083
75,6.0,29458,0.9743878000008432,29458,0.0961284362077713,0.01843504891730845,29458
76,23.0,29885,0.9740035000008559,29885,0.09676774680195703,0.018738678523745014,29885
77,6.0,30281,0.9736471000008676,30281,0.09638482260734144,0.018807015038974997,30281
78,6.0,30600,0.9733600000008771,30600,0.09716090847238852,0.01849129144759224,30600
79,6.0,30998,0.9730018000008889,30998,0.09701152132758543,0.01851966679821624,30998
80,6.0,31386,0.9726526000009004,31386,0.09644287455942213,0.018011583559894358,31386
81,7.0,31684,0.9723844000009092,31684,0.09764503647617045,0.01855229894472786,31684
82,7.0,31980,0.972118000000918,31980,0.09705851018126752,0.01723014496540575,31980
83,7.0,32278,0.9718498000009268,32278,0.09710104645998686,0.018428406077312092,32278
84,20.0,32767,0.9714097000009413,32767,0.09791978290171223,0.017648358056312218,32767
