EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-03-17 08:34:47.288667
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,21.0,488,1.0,488,0.0388778107866767,0.0,488
1,25.0,836,1.0,836,0.039486766423516236,0.0,836
2,6.0,1300,0.9997300000000089,1300,0.10462414477309533,0.01648024282734821,1300
3,6.0,1678,0.9993898000000201,1678,0.1921113054588358,0.018443431333816124,1678
4,6.0,1977,0.999120700000029,1977,0.19293268717650985,0.018370943393341787,1977
5,6.0,2376,0.9987616000000408,2376,0.18340782608304704,0.015818763348248548,2376
6,7.0,2682,0.9984862000000498,2682,0.18018042106254428,0.014231258251908192,2682
7,16.0,3078,0.9981298000000616,3078,0.1835300429827637,0.01425305675836327,3078
8,21.0,3476,0.9977716000000734,3476,0.18241298101355682,0.014659981823378024,3476
9,6.0,3836,0.997447600000084,3836,0.18525476621256934,0.015676995745889145,3836
10,6.0,4287,0.9970417000000974,4287,0.18448750720980955,0.015204683630016091,4287
11,7.0,4724,0.9966484000001103,4724,0.1809208424126802,0.013198056255913583,4724
12,7.0,5156,0.9962596000001231,5156,0.17923101637926367,0.013458131880354442,5156
13,6.0,5555,0.995900500000135,5555,0.1721010121860002,0.012962178150842545,5555
14,7.0,5875,0.9956125000001445,5875,0.17881601611152292,0.01329080709238042,5875
15,21.0,6427,0.9951157000001608,6427,0.18573623452929483,0.013178821578918176,6427
16,6.0,6815,0.9947665000001723,6815,0.17087107578042857,0.012880761847217278,6815
17,20.0,7249,0.9943759000001852,7249,0.18208512708476063,0.013403364526026631,7249
18,6.0,7717,0.993954700000199,7717,0.17547415365648067,0.013723599312478242,7717
19,7.0,8046,0.9936586000002088,8046,0.17141321016118882,0.011891882485086607,8046
20,6.0,8443,0.9933013000002205,8443,0.17694621673909483,0.012071467635653718,8443
21,23.0,8973,0.9928243000002362,8973,0.18628010949436224,0.012641503136684098,8973
22,6.0,9445,0.9923995000002502,9445,0.17094204988393744,0.01281818204009496,9445
23,22.0,9953,0.9919423000002653,9953,0.18925223740067068,0.013551964124947224,9953
24,6.0,10357,0.9915787000002773,10357,0.23048576491303963,0.013279802657628955,10357
25,10.0,10680,0.9912880000002868,10680,0.25244453913840714,0.013815492998802135,10680
26,6.0,11070,0.9909370000002984,11070,0.23505102934745642,0.012325244380003706,11070
27,8.0,11336,0.9906976000003063,11336,0.24879483116748638,0.012996434988976978,11336
28,6.0,11744,0.9903304000003184,11744,0.23892950014594724,0.012833174406777663,11744
29,6.0,12131,0.9899821000003298,12131,0.23781612384534928,0.013131992419565263,12131
30,7.0,12521,0.9896311000003414,12521,0.25091969126310104,0.012561023694657846,12521
31,6.0,12966,0.9892306000003546,12966,0.2393828646855408,0.012233907955121824,12966
32,6.0,13284,0.988944400000364,13284,0.2389259656551499,0.011670871068635274,13284
33,22.0,13798,0.9884818000003792,13798,0.26301914604257515,0.012668938467850735,13798
34,34.0,14198,0.9881218000003911,14198,0.26326103031635284,0.01275432253132749,14198
35,6.0,14567,0.987789700000402,14567,0.2363512761951462,0.012869107432505382,14567
36,6.0,15028,0.9873748000004157,15028,0.2279402942047202,0.012313862946179924,15028
37,6.0,15330,0.9871030000004246,15330,0.2284089947575765,0.0116160150711033,15330
38,21.0,15673,0.9867943000004348,15673,0.2583255554948534,0.012727082894762718,15673
39,6.0,16055,0.9864505000004461,16055,0.22925401299567746,0.01104175806669817,16055
40,6.0,16428,0.9861148000004571,16428,0.24014747973741218,0.013406217649024124,16428
41,15.0,16816,0.9857656000004686,16816,0.24528447239054846,0.011432258953288145,16816
42,7.0,17158,0.9854578000004788,17158,0.24116066342208817,0.01300736231156162,17158
43,6.0,17636,0.9850276000004929,17636,0.23620650197172763,0.01139964239116418,17636
44,6.0,18022,0.9846802000005044,18022,0.2310399286101519,0.012117280514272645,18022
45,21.0,18366,0.9843706000005146,18366,0.260820365315953,0.012360609021544766,18366
46,6.0,18731,0.9840421000005254,18731,0.2399623550372581,0.012170218660301619,18731
47,7.0,19079,0.9837289000005357,19079,0.24362172473264837,0.012631370046797567,19079
48,21.0,19633,0.9832303000005521,19633,0.2692203801999454,0.011540024725817789,19633
49,9.0,19934,0.982959400000561,19934,0.2397690359441149,0.011865871645640923,19934
50,6.0,20397,0.9825427000005748,20397,0.2609277235637731,0.013270513967210608,20397
51,23.0,20784,0.9821944000005862,20784,0.3210435522388118,0.013202512812907796,20784
52,6.0,21082,0.981926200000595,21082,0.3019695469497034,0.012781290360101368,21082
53,31.0,21480,0.9815680000006068,21480,0.3325162730249927,0.012202878958246104,21480
54,6.0,21872,0.9812152000006185,21872,0.26976836780656355,0.012800985695414093,21872
55,7.0,22227,0.980895700000629,22227,0.2836987274213576,0.011839853758221938,22227
56,21.0,22651,0.9805141000006415,22651,0.30955728484352807,0.012330059499017464,22651
57,6.0,23030,0.9801730000006528,23030,0.2718935089092456,0.012581896792948591,23030
58,6.0,23411,0.9798301000006641,23411,0.2658929527196984,0.013339942952757335,23411
59,6.0,23888,0.9794008000006782,23888,0.25100577224350573,0.012385320498884326,23888
60,6.0,24208,0.9791128000006877,24208,0.28689257805235685,0.012731435891146248,24208
61,6.0,24602,0.9787582000006994,24602,0.2765327409136719,0.012051427497695139,24602
62,7.0,24998,0.9784018000007111,24998,0.2820265113253786,0.01242555976013954,24998
63,33.0,25389,0.9780499000007227,25389,0.33094503572377404,0.011449334696736162,25389
64,7.0,25719,0.9777529000007325,25719,0.2817477404619708,0.011838280304095172,25719
65,6.0,26107,0.977403700000744,26107,0.2639070680537789,0.012268534270877297,26107
66,7.0,26445,0.977099500000754,26445,0.3228902689803987,0.011909323456881777,26445
67,21.0,26859,0.9767269000007662,26859,0.35105895880915694,0.01164407399412726,26859
68,21.0,27176,0.9764416000007756,27176,0.3371802537881238,0.01137562518271365,27176
69,21.0,27839,0.9758449000007953,27839,0.3524775219853647,0.011630770590558065,27839
70,6.0,28312,0.9754192000008093,28312,0.25031505162821766,0.011967391287797204,28312
71,22.0,28845,0.9749395000008251,28845,0.3110903709232248,0.01171943168171138,28845
72,7.0,29242,0.9745822000008368,29242,0.2671027545364438,0.011745106934916382,29242
73,6.0,29585,0.974273500000847,29585,0.2871158774670637,0.012285292991158707,29585
74,33.0,29995,0.9739045000008592,29995,0.33683952859989025,0.012113450297861495,29995
75,6.0,30315,0.9736165000008686,30315,0.3299879178404808,0.013118885673429758,30315
76,7.0,30659,0.9733069000008788,30659,0.3576747619568609,0.01315497594589752,30659
77,8.0,31111,0.9729001000008922,31111,0.3490001864533509,0.011854307733623485,31111
78,6.0,31435,0.9726085000009018,31435,0.337998230378201,0.01282025337611601,31435
79,6.0,31799,0.9722809000009126,31799,0.3320137807628611,0.012679908933772981,31799
80,7.0,32175,0.9719425000009237,32175,0.3784787827270462,0.011786375725545866,32175
81,22.0,32731,0.9714421000009402,32731,0.3961215748739757,0.011981348261712856,32731
82,6.0,33195,0.971024500000954,33195,0.32826260907639715,0.01200063651783145,33195
83,6.0,33580,0.9706780000009654,33580,0.30042980441025324,0.011633438298587578,33580
84,6.0,33955,0.9703405000009765,33955,0.32713286340236664,0.01181803624285385,33955
85,6.0,34409,0.9699319000009899,34409,0.34412017376018517,0.011892895508631407,34409
86,18.0,34795,0.9695845000010014,34795,0.37709071456305104,0.011779591458646937,34795
87,6.0,35118,0.969293800001011,35118,0.3251903333438808,0.010835238981807473,35118
88,6.0,35418,0.9690238000010198,35418,0.34377314016222954,0.011195675188985964,35418
