EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-06,0.01
Date/Time Start,2019-03-21 23:59:24.099630
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,10.0,797,1.0,797,0.02785656246598553,0.0,797
1,5.0,1200,0.9998200000000059,1200,0.028280647649492136,0.0036520865590140574,1200
2,9.0,1996,0.9991036000000295,1996,0.029208991948009737,0.007722659601811519,1996
3,15.0,3072,0.9981352000000614,3072,0.030345203644045558,0.006657577383487319,3072
4,8.0,3851,0.9974341000000845,3851,0.030429290802443977,0.0071199191028828495,3851
5,6.0,4478,0.9968698000001031,4478,0.03056325779134553,0.007698919797181397,4478
6,11.0,5326,0.9961066000001282,5326,0.03151981884235833,0.006954715492954491,5326
7,6.0,5967,0.9955297000001472,5967,0.03211008256530845,0.006261300958804539,5967
8,9.0,6737,0.99483670000017,6737,0.032367404661588856,0.006691966684347672,6737
9,5.0,7153,0.9944623000001823,7153,0.03202880301754563,0.006061868071530905,7153
10,11.0,7993,0.9937063000002072,7993,0.03612648752584521,0.006722000133474164,7993
11,6.0,8642,0.9931222000002264,8642,0.035629999598571445,0.00713012705548797,8642
12,6.0,9274,0.9925534000002452,9274,0.034979264151682204,0.006578487805510824,9274
13,8.0,10053,0.9918523000002682,10053,0.03592381514584949,0.006308573513726354,10053
14,7.0,10702,0.9912682000002875,10702,0.036893378442385806,0.006132239262836746,10702
15,16.0,11680,0.9903880000003165,11680,0.03856652256021379,0.005841931850989973,11680
16,8.0,12460,0.9896860000003396,12460,0.03733393795883808,0.0066905749603532825,12460
17,6.0,13076,0.9891316000003578,13076,0.03644167210350369,0.006306873499143675,13076
18,12.0,13907,0.9883837000003824,13907,0.03996952046179599,0.005993870640763756,13907
19,4.0,14308,0.9880228000003943,14308,0.03810762444004751,0.0063759271576425795,14308
20,6.0,14955,0.9874405000004135,14955,0.03925166727321502,0.006374473546957219,14955
21,5.0,15345,0.9870895000004251,15345,0.039798468212859754,0.0061558238716082625,15345
22,6.0,15990,0.9865090000004442,15990,0.040135586631390475,0.00601512703168307,15990
23,11.0,16792,0.9857872000004679,16792,0.04043261182873029,0.006452925380025343,16792
24,11.0,17595,0.9850645000004917,17595,0.04151182131352341,0.006031850254535588,17595
25,3.0,17970,0.9847270000005028,17970,0.0402394234140714,0.006238894676382188,17970
26,11.0,18802,0.9839782000005275,18802,0.04244837675539132,0.006761831717828779,18802
27,3.0,19184,0.9836344000005388,19184,0.04086063065961081,0.006009947647026244,19184
28,4.0,19586,0.9832726000005507,19586,0.04220861421240058,0.007053797298604918,19586
29,5.0,19945,0.9829495000005614,19945,0.03975115507882618,0.005737471623159913,19945
30,5.0,20335,0.9825985000005729,20335,0.041911130837905104,0.006181614708699411,20335
31,11.0,21161,0.9818551000005974,21161,0.04425758310789851,0.005881939365250311,21161
