EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-09,0.01
Date/Time Start,2019-03-24 11:26:22.199698
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,10.0,815,1.0,815,0.02775308048478299,0.0,815
1,6.0,1464,0.9995824000000137,1464,0.026982452763454023,0.004765150583870616,1464
2,3.0,1856,0.9992296000000254,1856,0.02657427765162928,0.005138221589954717,1856
3,3.0,2240,0.9988840000000367,2240,0.026391262479592115,0.005560437392963043,2240
4,3.0,2625,0.9985375000000482,2625,0.026759070861939484,0.004738689685019652,2625
5,9.0,3407,0.9978337000000713,3407,0.028453707977262377,0.005549011972856105,3407
6,4.0,3790,0.9974890000000827,3790,0.026287235657613987,0.0048526635667213115,3790
7,8.0,4568,0.9967888000001057,4568,0.02750230677770618,0.005616152638539996,4568
8,4.0,4961,0.9964351000001174,4961,0.026196114593315823,0.004773953840047365,4961
9,9.0,5758,0.995717800000141,5758,0.028935271194917494,0.005272281246231398,5758
10,9.0,6529,0.9950239000001638,6529,0.027757020626125322,0.005560119563729373,6529
11,7.0,7155,0.9944605000001824,7155,0.02863615681491673,0.005707731831915708,7155
12,3.0,7529,0.9941239000001935,7529,0.027566265142995885,0.0056468406480872126,7529
13,5.0,8164,0.9935524000002123,8164,0.026749087485858775,0.005382518162474212,8164
14,6.0,8788,0.9929908000002308,8788,0.02670628527770392,0.005078894545663505,8788
15,6.0,9428,0.9924148000002497,9428,0.027107212638657074,0.0046487490513754896,9428
16,11.0,10243,0.9916813000002739,10243,0.025490709477635615,0.005874537577298384,10243
17,6.0,10927,0.9910657000002941,10927,0.02736899324104582,0.005827673353807598,10927
18,11.0,11730,0.9903430000003179,11730,0.027769633634932164,0.006466413683011249,11730
19,9.0,12499,0.9896509000003407,12499,0.02712080782819515,0.0063897839857729195,12499
20,6.0,13146,0.9890686000003599,13146,0.027451945026872974,0.006357832124481593,13146
21,10.0,13923,0.9883693000003829,13923,0.027754496147753036,0.0061314960121296395,13923
22,10.0,14713,0.9876583000004063,14713,0.02795561863392403,0.006521773858797512,14713
23,6.0,15356,0.9870796000004254,15356,0.02743827751917333,0.0066275812052628445,15356
24,6.0,16005,0.9864955000004446,16005,0.027077535065450634,0.0056011570853974745,16005
25,3.0,16395,0.9861445000004562,16395,0.02678014572041157,0.005404718930815132,16395
26,9.0,17163,0.9854533000004789,17163,0.02841936733360247,0.005898128294802518,17163
27,11.0,17960,0.9847360000005025,17960,0.027329311283115984,0.006201658286536966,17960
28,11.0,18808,0.9839728000005277,18808,0.02748988564060298,0.006087851470339338,18808
29,10.0,19597,0.983262700000551,19597,0.026903612550976008,0.006585789710125108,19597
30,6.0,20207,0.9827137000005691,20207,0.02708794344369261,0.005389926010469876,20207
31,6.0,20849,0.9821359000005881,20849,0.02792312801638589,0.005756194958098108,20849
32,6.0,21482,0.9815662000006069,21482,0.027239805628879565,0.005605259192285406,21482
33,5.0,21870,0.9812170000006184,21870,0.024031502149096624,0.00624608791708711,21870
34,8.0,22662,0.9805042000006419,22662,0.027157227573398914,0.005764560475029731,22662
35,9.0,23484,0.9797644000006662,23484,0.02736935466799858,0.0055625171286882175,23484
36,9.0,24257,0.9790687000006891,24257,0.026526184092344474,0.0056836395969094506,24257
37,10.0,25046,0.9783586000007125,25046,0.027689303808546943,0.005711619568015898,25046
38,8.0,25840,0.977644000000736,25840,0.028099711013193095,0.005749945298448804,25840
39,6.0,26500,0.9770500000007556,26500,0.02800439908451429,0.0061468638801174666,26500
40,10.0,27288,0.9763408000007789,27288,0.02658766560696141,0.006664131384010209,27288
41,9.0,28062,0.9756442000008019,28062,0.026604149869621493,0.006216000630195404,28062
42,9.0,28860,0.9749260000008255,28860,0.026801104234872305,0.005879450679720522,28860
43,7.0,29633,0.9742303000008484,29633,0.026954534321416163,0.0056891557243595415,29633
44,9.0,30430,0.973513000000872,30430,0.027258755780588204,0.006350242945793876,30430
45,9.0,31226,0.9727966000008956,31226,0.027477369093846286,0.006433948430128281,31226
46,10.0,32019,0.9720829000009191,32019,0.027758120326618906,0.006428493600047145,32019
47,11.0,32864,0.9713224000009442,32864,0.026268427676835356,0.006155964361466522,32864
48,4.0,33249,0.9709759000009556,33249,0.026678349488934914,0.005863359957621977,33249
49,2.0,33608,0.9706528000009662,33608,0.027591849934091806,0.006036213801575119,33608
50,6.0,34241,0.970083100000985,34241,0.02709873016970747,0.006399652507186663,34241
51,13.0,35083,0.9693253000010099,35083,0.025756288214748162,0.0060969453541154925,35083
52,12.0,35923,0.9685693000010348,35923,0.0255605971895247,0.0061377161950942885,35923
53,3.0,36288,0.9682408000010456,36288,0.027358088790349764,0.006121943354979795,36288
54,5.0,36677,0.9678907000010571,36677,0.02616762996419,0.006346719459683519,36677
55,11.0,37450,0.96719500000108,37450,0.026368946534609194,0.006304115056803325,37450
56,6.0,38060,0.9666460000010981,38060,0.028031999935380747,0.0061550284466767285,38060
57,10.0,38898,0.965891800001123,38898,0.02732118056766991,0.006107413191342063,38898
58,8.0,39656,0.9652096000011454,39656,0.028077748067195388,0.006297118937621866,39656
59,2.0,40028,0.9648748000011564,40028,0.026894799050604625,0.005969800150396818,40028
60,11.0,40823,0.96415930000118,40823,0.026511498615614273,0.007321948939407209,40823
61,9.0,41609,0.9634519000012033,41609,0.0276707932744033,0.00600330649197348,41609
62,6.0,42236,0.9628876000012219,42236,0.027505579367398836,0.006476988498148608,42236
63,9.0,43004,0.9621964000012446,43004,0.02872614713002501,0.006451188695071626,43004
64,9.0,43797,0.9614827000012681,43797,0.028290815665509932,0.006248766776624407,43797
65,4.0,44182,0.9611362000012795,44182,0.024927452421904386,0.0060330684378428695,44182
66,15.0,45314,0.9601174000013131,45314,0.025967858663049292,0.0066922912481092835,45314
67,9.0,46094,0.9594154000013362,46094,0.02771582800345734,0.006216084036397007,46094
68,10.0,46893,0.9586963000013599,46893,0.025710599434017687,0.006694737052551071,46893
69,4.0,47277,0.9583507000013712,47277,0.02623986226535635,0.006110596444993159,47277
70,5.0,47676,0.9579916000013831,47676,0.02568885112615456,0.006092613314282508,47676
71,4.0,48053,0.9576523000013942,48053,0.026825980547647576,0.006316008621012169,48053
72,10.0,48834,0.9569494000014174,48834,0.026831290985143978,0.0062149025794361904,48834
73,8.0,49469,0.9563779000014362,49469,0.027818466942962698,0.0057920255299059925,49469
74,6.0,50121,0.9557911000014555,50121,0.02806158381674233,0.006773811326582882,50121
75,10.0,50957,0.9550387000014803,50957,0.026170084200594485,0.005865968328001897,50957
76,8.0,51725,0.954347500001503,51725,0.027337240523290045,0.006301334113951877,51725
77,10.0,52497,0.9536527000015259,52497,0.02742643418741157,0.006241924994285254,52497
78,19.0,53788,0.9524908000015642,53788,0.026883123485814408,0.006876412236963498,53788
79,11.0,54572,0.9517852000015874,54572,0.027864145332405686,0.006236692437373769,54572
80,3.0,54977,0.9514207000015994,54977,0.025931366367472543,0.006023266736596225,54977
81,11.0,55782,0.9506962000016232,55782,0.027057990313779492,0.0063979546281347135,55782
82,9.0,56578,0.9499798000016468,56578,0.027285369612679036,0.00659408226334133,56578
83,9.0,57363,0.9492733000016701,57363,0.027110355789921464,0.006008854458645389,57363
84,17.0,58405,0.948335500001701,58405,0.026235353954193574,0.006230688822951084,58405
85,4.0,58792,0.9479872000017124,58792,0.026228887601743526,0.006087232673798209,58792
86,6.0,59417,0.947424700001731,59417,0.02860548827946186,0.00641608555871062,59417
87,5.0,59819,0.9470629000017429,59819,0.025982955968776596,0.005873364295688254,59819
88,12.0,60642,0.9463222000017673,60642,0.027394323143542246,0.0068094972659690015,60642
89,6.0,61283,0.9457453000017862,61283,0.027312867295479347,0.0065781742940688075,61283
90,9.0,62050,0.945055000001809,62050,0.027807487609566736,0.006726225848196468,62050
91,4.0,62437,0.9447067000018204,62437,0.027855113370088953,0.006203438678996406,62437
92,3.0,62835,0.9443485000018322,62835,0.026534977813611676,0.006849232527114985,62835
93,7.0,63501,0.943749100001852,63501,0.027805459615704534,0.0061185927139983205,63501
94,6.0,64136,0.9431776000018708,64136,0.027708841798695052,0.005846967893436287,64136
95,6.0,64780,0.9425980000018899,64780,0.027166091701050537,0.006438399340938603,64780
96,6.0,65404,0.9420364000019084,65404,0.027538304581330754,0.006310108111835852,65404
97,9.0,66170,0.9413470000019311,66170,0.02971769416432429,0.00594304232798014,66170
98,6.0,66831,0.9407521000019506,66831,0.028822338741143063,0.0062168947053451865,66831
99,4.0,67227,0.9403957000019624,67227,0.026042626780279056,0.006068455057487367,67227
100,9.0,67995,0.9397045000019851,67995,0.027507771107290562,0.006052411057642833,67995
101,12.0,68864,0.9389224000020109,68864,0.02695265319734229,0.006162507889380516,68864
102,7.0,69611,0.938250100002033,69611,0.028071258699588746,0.006665400330653948,69611
103,6.0,70216,0.9377056000020509,70216,0.028156532023933308,0.0063601786200022555,70216
104,6.0,70833,0.9371503000020692,70833,0.027859643925844755,0.006101405308942267,70833
105,3.0,71220,0.9368020000020807,71220,0.02683541004230733,0.005787435291245945,71220
106,10.0,72036,0.9360676000021049,72036,0.028022874072513672,0.006183954980074572,72036
107,6.0,72675,0.9354925000021238,72675,0.02719362113035994,0.0055728669300458954,72675
108,6.0,73318,0.9349138000021429,73318,0.02698684321980037,0.007071703174430298,73318
109,10.0,74088,0.9342208000021657,74088,0.029532680360527783,0.006234648232136599,74088
110,9.0,74877,0.933510700002189,74877,0.026757359084483186,0.005724798141264844,74877
111,11.0,75679,0.9327889000022128,75679,0.02726504547832687,0.006614193738415109,75679
112,10.0,76483,0.9320653000022366,76483,0.02698495163378394,0.006315336492974242,76483
113,5.0,77182,0.9314362000022574,77182,0.025817280379423768,0.006624705030849984,77182
114,9.0,77976,0.9307216000022809,77976,0.02739903540057259,0.005571453940496171,77976
115,3.0,78582,0.9301762000022988,78582,0.027254351974148366,0.00630482318911013,78582
116,9.0,79356,0.9294796000023218,79356,0.028996394528437032,0.006525368148834596,79356
117,9.0,80141,0.928773100002345,80141,0.027722794090391724,0.005892772851107719,80141
118,8.0,80916,0.928075600002368,80916,0.027996043864517442,0.007181432659666414,80916
119,11.0,81714,0.9273574000023916,81714,0.027423895047020568,0.006001483218895095,81714
120,11.0,82516,0.9266356000024154,82516,0.025425903091527653,0.006446049563273755,82516
121,4.0,82912,0.9262792000024271,82912,0.026088435421556685,0.006373207699689742,82912
122,4.0,83301,0.9259291000024387,83301,0.026723602875243575,0.006330907570840408,83301
123,9.0,84097,0.9252127000024623,84097,0.027848345082459137,0.007038972875837239,84097
124,10.0,84895,0.9244945000024859,84895,0.02833362232034741,0.006813257509782119,84895
125,10.0,85703,0.9237673000025098,85703,0.026600928306302958,0.005918956125962794,85703
126,4.0,86096,0.9234136000025215,86096,0.0271491423490962,0.005707822661875314,86096
127,15.0,87195,0.922424500002554,87195,0.025227950715135318,0.006148675076360115,87195
128,10.0,88041,0.9216631000025791,88041,0.027132518815171706,0.006031352022116322,88041
129,6.0,88663,0.9211033000025975,88663,0.02791139010603501,0.006153366185756179,88663
130,10.0,89446,0.9203986000026207,89446,0.02715975579616553,0.006605202674099731,89446
131,11.0,90299,0.919630900002646,90299,0.026597094429484356,0.006808466504773961,90299
132,6.0,90933,0.9190603000026648,90933,0.027375881145899228,0.00639318694225226,90933
133,4.0,91340,0.9186940000026769,91340,0.0265396206962352,0.006976932001397979,91340
134,7.0,92115,0.9179965000026998,92115,0.028923171755046613,0.00658407500486881,92115
135,4.0,92521,0.9176311000027119,92521,0.02590505007122244,0.005949464321378481,92521
136,6.0,92928,0.9172648000027239,92928,0.02716338059679589,0.0066980482763422,92928
137,4.0,93304,0.9169264000027351,93304,0.02742314546497816,0.005575197855270086,93304
138,7.0,94106,0.9162046000027588,94106,0.026989115678479992,0.0066612877959151525,94106
139,6.0,94742,0.9156322000027777,94742,0.027666074518149474,0.006199078420495597,94742
140,12.0,95553,0.9149023000028017,95553,0.027953906772536504,0.006313750081709684,95553
141,8.0,96323,0.9142093000028245,96323,0.028062549708773952,0.005633249990007078,96323
142,10.0,97087,0.9135217000028472,97087,0.02778298051964433,0.0065221065336199,97087
143,5.0,97472,0.9131752000028586,97472,0.026484633418549966,0.005887081835671425,97472
144,9.0,98240,0.9124840000028813,98240,0.02856866021708508,0.006576694381730401,98240
145,4.0,98628,0.9121348000028928,98628,0.025332957474975704,0.005864186750766318,98628
146,6.0,99031,0.9117721000029048,99031,0.024440964526744102,0.006541966052830483,99031
147,12.0,99881,0.91100710000293,99881,0.02603575744720943,0.006421223568579401,99881
148,9.0,100655,0.9103105000029529,100655,0.026990317853855916,0.006433505566244119,100655
149,7.0,101322,0.9097102000029726,101322,0.027907704892589234,0.005914818873992706,101322
150,6.0,101964,0.9091324000029917,101964,0.02633520060964509,0.006750398043037546,101964
151,16.0,103314,0.9079174000030317,103314,0.026103979898271738,0.006239752820477372,103314
152,10.0,104104,0.9072064000030551,104104,0.025475796723526112,0.0067869104617024785,104104
153,6.0,104745,0.9066295000030741,104745,0.027746081844774218,0.0062383811205045095,104745
154,6.0,105384,0.906054400003093,105384,0.028028037947061848,0.006255701358986841,105384
155,10.0,106172,0.9053452000031164,106172,0.02816041697733823,0.0062504816995144746,106172
156,10.0,106965,0.9046315000031399,106965,0.026801100202740968,0.006476277540321021,106965
157,3.0,107317,0.9043147000031503,107317,0.02771480350003747,0.006319826323884958,107317
158,7.0,107930,0.9037630000031684,107930,0.028568688690431453,0.0061561972788116495,107930
159,5.0,108345,0.9033895000031807,108345,0.025559653175703013,0.007113690468965166,108345
160,6.0,109000,0.9028000000032002,109000,0.02856989031984606,0.006270179483339276,109000
161,9.0,109769,0.9021079000032229,109769,0.028338120282616744,0.0065407601072890766,109769
162,12.0,110630,0.9013330000032485,110630,0.02671707425327078,0.006262801982967819,110630
163,6.0,111252,0.9007732000032669,111252,0.028010008420938943,0.006329160575727614,111252
164,4.0,111636,0.9004276000032783,111636,0.02669182127768484,0.006244818339079454,111636
