Date/Time Start,2019-03-31 10:19:10.274302
EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,0.0006,0.01
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,2.0,185,1.0,185,0.0370205059748,0.0,185
1,2.0,349,1.0,349,0.0378708811931,0.0,349
2,5.0,674,1.0,674,0.0381173098317,0.0,674
3,3.0,899,1.0,899,0.0369243557586,0.0,899
4,2.0,1092,1.0,1092,0.0390456969333,0.0,1092
5,3.0,1299,1.0,1299,0.0352799359367,0.0,1299
6,3.0,1513,1.0,1513,0.0350159314922,0.0,1513
7,3.0,1718,1.0,1718,0.0378650503824,0.0,1718
8,2.0,1922,1.0,1922,0.0377720660694,0.0,1922
9,2.0,2083,1.0,2083,0.0370574382059,0.0,2083
10,0.0,2216,1.0,2216,0.0396087559822,0.0,2216
11,2.0,2405,1.0,2405,0.0378275527446,0.0,2405
12,2.0,2593,1.0,2593,0.0386206169633,0.0,2593
13,3.0,2807,1.0,2807,0.0362703244541,0.0,2807
14,2.0,2982,1.0,2982,0.0370517479628,0.0,2982
15,2.0,3167,1.0,3167,0.0374655725384,0.0,3167
16,6.0,3559,1.0,3559,0.0397020503118,0.0,3559
17,2.0,3732,1.0,3732,0.0372917451438,0.0,3732
18,0.0,3835,1.0,3835,0.038621481074,0.0,3835
19,4.0,4102,1.0,4102,0.0358550519114,0.0,4102
20,3.0,4318,1.0,4318,0.0358885556494,0.0,4318
21,5.0,4608,1.0,4608,0.0355437737151,0.0,4608
22,1.0,4769,1.0,4769,0.0384689482473,0.0,4769
23,3.0,4980,1.0,4980,0.0377447580415,0.0,4980
24,1.0,5105,0.9999055000000031,5105,0.108845966369,0.00438376370669,5105
25,0.0,5238,0.999785800000007,5238,0.134821284926,0.00709642768375,5238
26,3.0,5482,0.9995662000000143,5482,0.132627763709,0.00644574383251,5482
27,3.0,5713,0.9993583000000211,5713,0.12872869444,0.00625411149491,5713
28,2.0,5886,0.9992026000000263,5886,0.133997717215,0.00734059138423,5886
29,5.0,6205,0.9989155000000357,6205,0.131125391627,0.00604909104506,6205
30,0.0,6327,0.9988057000000393,6327,0.125277423162,0.00530047694393,6327
31,3.0,6562,0.9985942000000463,6562,0.13550048851,0.00741917051007,6562
32,3.0,6796,0.9983836000000532,6796,0.13062506497,0.00698974627914,6796
33,3.0,7020,0.9981820000000599,7020,0.128346066257,0.00632449652192,7020
34,0.0,7117,0.9980947000000627,7117,0.127906959773,0.00594600184513,7117
35,2.0,7316,0.9979156000000686,7316,0.12539557551,0.00525620713006,7316
36,0.0,7438,0.9978058000000722,7438,0.126847953704,0.00613753851989,7438
37,2.0,7606,0.9976546000000772,7606,0.126917185794,0.00553065289649,7606
