EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,2.5e-09,0.01
Date/Time Start,2019-04-01 21:32:01.839954
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,21.0,573,1.0,573,0.0496028175912,0.0,573
1,6.0,966,1.0,966,0.0505603882401,0.0,966
2,6.0,1438,1.0,1438,0.0500964023039,0.0,1438
3,9.0,1783,1.0,1783,0.0505458398304,0.0,1783
4,6.0,2155,1.0,2155,0.0504475076913,0.0,2155
5,7.0,2550,1.0,2550,0.0526989109956,0.0,2550
6,6.0,2861,1.0,2861,0.0523455866711,0.0,2861
7,6.0,3160,1.0,3160,0.0518190000568,0.0,3160
8,6.0,3529,1.0,3529,0.0508499852202,0.0,3529
9,10.0,3816,1.0,3816,0.0525845496003,0.0,3816
10,6.0,4149,1.0,4149,0.0502206985713,0.0,4149
11,22.0,4589,1.0,4589,0.0504914329303,0.0,4589
12,7.0,4865,1.0,4865,0.0541617663955,0.0,4865
13,6.0,5334,0.9996994000000099,5334,0.0503879087503,0.0120707174281,5334
14,7.0,5695,0.9993745000000206,5695,0.0521897097632,0.0163036352565,5695
15,6.0,6016,0.9990856000000301,6016,0.0519587259241,0.0162871933565,6016
16,6.0,6319,0.9988129000000391,6319,0.0516943907236,0.0161007851079,6319
17,8.0,6761,0.9984151000000522,6761,0.0525949888176,0.0142629552244,6761
18,6.0,7163,0.9980533000000641,7163,0.0519680475807,0.0155295724911,7163
19,6.0,7462,0.997784200000073,7462,0.0514015350055,0.0148619403751,7462
20,6.0,7935,0.997358500000087,7935,0.0497826406807,0.0146428334466,7935
21,19.0,8304,0.9970264000000979,8304,0.0524541636258,0.0146255504787,8304
22,7.0,8614,0.9967474000001071,8614,0.050451754322,0.0164279848382,8614
23,6.0,8994,0.9964054000001183,8994,0.0504779619655,0.0158689913349,8994
24,39.0,9514,0.9959374000001338,9514,0.0512005509665,0.016001382705,9514
25,7.0,9936,0.9955576000001463,9936,0.0501444298968,0.0170154302823,9936
26,6.0,10408,0.9951328000001602,10408,0.0501476569788,0.0158188673779,10408
27,24.0,10770,0.994807000000171,10770,0.053583709626,0.016249191234,10770
28,33.0,11181,0.9944371000001831,11181,0.0514704226595,0.0158991826395,11181
29,26.0,11638,0.9940258000001967,11638,0.0505028993331,0.0168325015478,11638
30,8.0,11936,0.9937576000002055,11936,0.0495853271435,0.0176837141739,11936
31,6.0,12326,0.9934066000002171,12326,0.0510185219634,0.0177087556974,12326
32,6.0,12693,0.993076300000228,12693,0.0510414315068,0.0190720565063,12693
33,7.0,12976,0.9928216000002363,12976,0.0552628773261,0.0175811891426,12976
34,6.0,13422,0.9924202000002496,13422,0.0499903313782,0.0173746770743,13422
35,7.0,13756,0.9921196000002594,13756,0.0507616723001,0.0173778019167,13756
36,22.0,14312,0.9916192000002759,14312,0.0519853316871,0.018270656696,14312
37,6.0,14701,0.9912691000002875,14701,0.0508802309153,0.0166305018045,14701
38,7.0,14956,0.991039600000295,14956,0.0549265238146,0.0181131055793,14956
39,6.0,15342,0.9906922000003064,15342,0.0507390369019,0.0173566324451,15342
40,21.0,15673,0.9903943000003163,15673,0.0512558912965,0.0180061399143,15673
41,7.0,16074,0.9900334000003281,16074,0.0515717972265,0.018671501216,16074
42,6.0,16461,0.9896851000003396,16461,0.0510284704775,0.0175096729694,16461
43,6.0,16850,0.9893350000003511,16850,0.0514199622215,0.0172172011598,16850
