EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,5e-08,0.01
Date/Time Start,2019-03-30 23:08:34.399720
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,18.0,349,1.0,349,0.0288809493803,0.0,349
1,36.0,747,1.0,747,0.0264365074281,0.0,747
2,6.0,1040,1.0,1040,0.0281826579505,0.0,1040
3,6.0,1439,1.0,1439,0.0281092502074,0.0,1439
4,6.0,1746,1.0,1746,0.0289390423496,0.0,1746
5,6.0,2131,1.0,2131,0.0279729432584,0.0,2131
6,6.0,2438,1.0,2438,0.0280808795559,0.0,2438
7,20.0,2855,1.0,2855,0.0268906981146,0.0,2855
8,6.0,3238,1.0,3238,0.0278292699005,0.0,3238
9,6.0,3625,1.0,3625,0.0278993321183,0.0,3625
10,30.0,4176,1.0,4176,0.027412274849,0.0,4176
11,6.0,4564,1.0,4564,0.0276218390803,0.0,4564
12,7.0,4978,1.0,4978,0.0274518637059,0.0,4978
13,7.0,5279,0.9997489000000083,5279,0.027857089013,0.0244790255603,5279
14,6.0,5731,0.9993421000000217,5731,0.0278406945383,0.0249782072605,5731
15,6.0,6200,0.9989200000000356,6200,0.0282164563054,0.0268450937202,6200
16,6.0,6517,0.998634700000045,6517,0.0284683874541,0.0239496989475,6517
17,6.0,6838,0.9983458000000545,6838,0.0284971113511,0.0246872084529,6838
18,23.0,7491,0.9977581000000738,7491,0.0270113135655,0.0243986715872,7491
19,6.0,7888,0.9974008000000856,7888,0.0284621692415,0.023818656082,7888
20,23.0,8327,0.9970057000000986,8327,0.027940536898,0.0240873527906,8327
21,6.0,8844,0.9965404000001139,8844,0.0288009414993,0.023224386972,8844
22,6.0,9224,0.9961984000001252,9224,0.0288592268027,0.0239538898606,9224
23,6.0,9583,0.9958753000001358,9583,0.029328288692,0.0219416484149,9583
24,6.0,9965,0.9955315000001471,9965,0.0290811009052,0.0227353676522,9965
25,6.0,10330,0.9952030000001579,10330,0.0291387878562,0.0158605538545,10330
26,6.0,10698,0.9948718000001688,10698,0.0290593953003,0.0141028862005,10698
27,7.0,11056,0.9945496000001794,11056,0.0293953250469,0.0143888765314,11056
28,22.0,11580,0.994078000000195,11580,0.0279831445797,0.0140861015077,11580
29,6.0,11954,0.993741400000206,11954,0.0294830491069,0.0148607626134,11954
30,6.0,12342,0.9933922000002176,12342,0.0290943768269,0.0157603674767,12342
31,6.0,12656,0.9931096000002269,12656,0.0295030316457,0.0148586851734,12656
32,23.0,13088,0.9927208000002397,13088,0.0285027779302,0.0149915903639,13088
33,6.0,13474,0.9923734000002511,13474,0.0295463677669,0.0143725819289,13474
34,6.0,13876,0.992011600000263,13876,0.0295118627171,0.0136442338741,13876
35,6.0,14190,0.9917290000002723,14190,0.0294021892474,0.0132579895671,14190
36,6.0,14509,0.9914419000002818,14509,0.0294699980337,0.0157511824471,14509
37,7.0,14804,0.9911764000002905,14804,0.0294966124756,0.0142967506862,14804
38,33.0,15259,0.990766900000304,15259,0.0282552947751,0.0150809987742,15259
39,7.0,15624,0.9904384000003148,15624,0.0294457205712,0.0154838518034,15624
40,6.0,16020,0.9900820000003265,16020,0.0295520648219,0.0158865220205,16020
41,6.0,16374,0.989763400000337,16374,0.029421010907,0.0144264211467,16374
42,7.0,16716,0.9894556000003472,16716,0.0290489426286,0.0152062277997,16716
43,7.0,16970,0.9892270000003547,16970,0.0304073450764,0.016433913884,16970
44,7.0,17206,0.9890146000003617,17206,0.0297448675432,0.0134686636253,17206
45,19.0,17556,0.988699600000372,17556,0.0284606358728,0.0143381824732,17556
46,21.0,18043,0.9882613000003865,18043,0.0276062451131,0.0150733001363,18043
47,6.0,18354,0.9879814000003957,18354,0.0296645220848,0.0152501083025,18354
48,6.0,18801,0.9875791000004089,18801,0.0295889992059,0.0144598177578,18801
49,18.0,19100,0.9873100000004178,19100,0.0285835279694,0.0132103459095,19100
50,6.0,19559,0.9868969000004314,19559,0.0295590361609,0.0164300220498,19559
51,6.0,19930,0.9865630000004424,19930,0.029812097439,0.016201155818,19930
52,6.0,20333,0.9862003000004543,20333,0.0297109519707,0.0144977696002,20333
53,6.0,20651,0.9859141000004638,20651,0.0293869652592,0.0148028791492,20651
54,6.0,21045,0.9855595000004754,21045,0.030505940753,0.0159460957021,21045
55,21.0,21383,0.9852553000004854,21383,0.0290430177213,0.0154791070321,21383
56,6.0,21684,0.9849844000004944,21684,0.0298256078902,0.0151658560172,21684
57,23.0,22102,0.9846082000005068,22102,0.0285068302366,0.016405042137,22102
58,7.0,22412,0.9843292000005159,22412,0.0296949643221,0.014272565864,22412
59,6.0,22800,0.9839800000005274,22800,0.0298545916238,0.0160173553864,22800
60,7.0,23184,0.9836344000005388,23184,0.0300536698099,0.0149721088834,23184
61,6.0,23490,0.9833590000005479,23490,0.0299823331933,0.0150205515326,23490
62,6.0,23862,0.9830242000005589,23862,0.0301962940783,0.0148697473201,23862
63,9.0,24130,0.9827830000005668,24130,0.0293426027647,0.0155264378304,24130
64,6.0,24488,0.9824608000005774,24488,0.0297518992255,0.0147218582822,24488
65,6.0,24867,0.9821197000005887,24867,0.0297075747697,0.0146162709598,24867
66,6.0,25249,0.9817759000006,25249,0.0295806082687,0.0159281644347,25249
67,7.0,25634,0.9814294000006114,25634,0.0298763572855,0.0124774449887,25634
68,6.0,26110,0.9810010000006255,26110,0.0304192296589,0.0138803943613,26110
69,6.0,26595,0.9805645000006399,26595,0.030321026797,0.0141395122878,26595
70,8.0,26831,0.9803521000006469,26831,0.0303554305949,0.0139967967676,26831
71,6.0,27191,0.9800281000006575,27191,0.0299558727485,0.013172881241,27191
72,6.0,27563,0.9796933000006686,27563,0.0298159616694,0.0146264819327,27563
73,6.0,27826,0.9794566000006764,27826,0.0311725535873,0.0149491419417,27826
74,7.0,28093,0.9792163000006843,28093,0.0306299044594,0.0133851896526,28093
75,6.0,28399,0.9789409000006933,28399,0.0301712215239,0.0138853670288,28399
76,21.0,28842,0.9785422000007065,28842,0.0302124459793,0.0147995086704,28842
77,15.0,29188,0.9782308000007167,29188,0.0307999944282,0.0145215205796,29188
78,23.0,29570,0.977887000000728,29570,0.0289902961984,0.0148798904438,29570
79,6.0,29978,0.9775198000007401,29978,0.0304598536105,0.0146792469603,29978
80,7.0,30285,0.9772435000007492,30285,0.0296047365275,0.0139550118754,30285
81,16.0,30827,0.9767557000007653,30827,0.0306510177692,0.014603104175,30827
82,6.0,31291,0.976338100000779,31291,0.0305131939922,0.013601039883,31291
83,7.0,31694,0.975975400000791,31694,0.0297147133214,0.0143937909558,31694
84,6.0,32002,0.9756982000008001,32002,0.0305783515977,0.0129184694666,32002
85,20.0,32330,0.9754030000008098,32330,0.0293998262254,0.0161735937814,32330
86,6.0,32711,0.9750601000008211,32711,0.0303158731031,0.0139200075676,32711
87,6.0,33075,0.9747325000008319,33075,0.0304987133266,0.0142448330695,33075
88,24.0,33582,0.9742762000008469,33582,0.030983895519,0.0150512695175,33582
89,6.0,33937,0.9739567000008574,33937,0.0304487460358,0.0152476838143,33937
90,31.0,34438,0.9735058000008723,34438,0.0287634068338,0.0144947822629,34438
91,6.0,34902,0.973088200000886,34902,0.0309345781329,0.0130731730695,34902
92,7.0,35250,0.9727750000008963,35250,0.0302415642748,0.0150799484408,35250
93,6.0,35624,0.9724384000009074,35624,0.0306977604411,0.0145166941037,35624
94,18.0,35995,0.9721045000009184,35995,0.0289673533471,0.0147137020345,35995
95,6.0,36317,0.971814700000928,36317,0.0308865708073,0.0147550842432,36317
96,7.0,36587,0.971571700000936,36587,0.0309475513865,0.0163558826126,36587
97,7.0,36952,0.9712432000009468,36952,0.0302229117704,0.0148341610392,36952
98,7.0,37330,0.970903000000958,37330,0.0308780266839,0.0143582106871,37330
99,23.0,37787,0.9704917000009715,37787,0.0287594563843,0.0148238027831,37787
100,6.0,38254,0.9700714000009854,38254,0.0305356761277,0.0143822845961,38254
101,6.0,38624,0.9697384000009963,38624,0.0308239036919,0.0147139375172,38624
102,6.0,38941,0.9694531000010057,38941,0.0310858349765,0.0137543313854,38941
103,7.0,39257,0.9691687000010151,39257,0.0305842266041,0.0138710068227,39257
104,6.0,39716,0.9687556000010287,39716,0.030446354661,0.0156454573439,39716
105,7.0,40174,0.9683434000010422,40174,0.029775292942,0.0143255731932,40174
106,10.0,40419,0.9681229000010495,40419,0.0308324743899,0.0135027204658,40419
107,34.0,40974,0.967623400001066,40974,0.0282699916847,0.0138906664044,40974
108,6.0,41270,0.9673570000010747,41270,0.0306739706949,0.014313343473,41270
109,21.0,41722,0.9669502000010881,41722,0.0291811951964,0.0154070239354,41722
110,6.0,42114,0.9665974000010997,42114,0.0311525774293,0.0142825305179,42114
111,6.0,42465,0.9662815000011101,42465,0.0311164421021,0.0145793354505,42465
112,7.0,42811,0.9659701000011204,42811,0.0305160699477,0.0132235285097,42811
113,22.0,43177,0.9656407000011312,43177,0.029676816126,0.0153717436628,43177
114,6.0,43538,0.9653158000011419,43538,0.0307603349543,0.0149301942147,43538
115,8.0,43917,0.9649747000011532,43917,0.0290807276463,0.0138220778042,43917
116,6.0,44327,0.9646057000011653,44327,0.0313897423355,0.0158050183838,44327
117,18.0,44645,0.9643195000011747,44645,0.02976922398,0.0149248953589,44645
118,6.0,45114,0.9638974000011886,45114,0.0311007574161,0.0160172361733,45114
119,7.0,45445,0.9635995000011984,45445,0.0309444134858,0.0147507330091,45445
120,6.0,45909,0.9631819000012122,45909,0.0311560371393,0.0146110795105,45909
121,6.0,46279,0.9628489000012231,46279,0.0313428869672,0.0133452160802,46279
122,18.0,46727,0.9624457000012364,46727,0.0309097890443,0.0131462955414,46727
123,6.0,47089,0.9621199000012471,47089,0.0312437843017,0.0146552137313,47089
124,6.0,47548,0.9617068000012607,47548,0.0312531306601,0.0152412126019,47548
125,22.0,47866,0.9614206000012702,47866,0.0303670397063,0.0154404889334,47866
126,6.0,48316,0.9610156000012835,48316,0.0313313287372,0.0153736070026,48316
127,7.0,48617,0.9607447000012924,48617,0.0311420075533,0.015068932718,48617
128,6.0,49013,0.9603883000013042,49013,0.0314339391012,0.0145931721396,49013
129,7.0,49524,0.9599284000013193,49524,0.0311348384206,0.0147755160875,49524
130,21.0,50028,0.9594748000013342,50028,0.0312986864878,0.0137562370482,50028
131,6.0,50334,0.9591994000013433,50334,0.0317470259551,0.0145055906442,50334
132,23.0,50724,0.9588484000013549,50724,0.0303878205136,0.014132649689,50724
133,6.0,51029,0.9585739000013639,51029,0.03158377216,0.0148981287798,51029
134,7.0,51361,0.9582751000013737,51361,0.0315236496593,0.0134381871373,51361
135,6.0,51738,0.9579358000013849,51738,0.0317026760222,0.0155805168777,51738
136,6.0,52040,0.9576640000013938,52040,0.0316389500231,0.0123630226237,52040
137,6.0,52426,0.9573166000014053,52426,0.0318778807471,0.0142381111571,52426
138,6.0,52774,0.9570034000014156,52774,0.0316846657801,0.0142716156505,52774
139,6.0,53118,0.9566938000014258,53118,0.0316267198515,0.014839398618,53118
140,6.0,53497,0.956352700001437,53497,0.0322817068026,0.014098462875,53497
141,6.0,53737,0.9561367000014441,53737,0.032174178438,0.0152100398034,53737
142,6.0,54193,0.9557263000014576,54193,0.0318450996807,0.0144134134723,54193
143,6.0,54495,0.9554545000014666,54495,0.0321518641446,0.0130636404584,54495
144,6.0,54900,0.9550900000014786,54900,0.0320071033949,0.0141517602978,54900
145,7.0,55292,0.9547372000014902,55292,0.0312166456133,0.0140629804994,55292
146,6.0,55756,0.954319600001504,55756,0.0320943506266,0.0153035439638,55756
147,6.0,56148,0.9539668000015156,56148,0.0319742635035,0.0138497208206,56148
148,6.0,56443,0.9537013000015243,56443,0.031694204455,0.0155892774947,56443
149,30.0,56828,0.9533548000015357,56828,0.0305738321469,0.013362758552,56828
150,21.0,57260,0.9529660000015485,57260,0.0299169912296,0.0144377964545,57260
151,6.0,57716,0.952555600001562,57716,0.0318407768163,0.013554496927,57716
152,6.0,58126,0.9521866000015742,58126,0.032346059332,0.01416601296,58126
153,7.0,58490,0.951859000001585,58490,0.0320952369801,0.0154924075797,58490
154,6.0,58945,0.9514495000015984,58945,0.0321193005562,0.015005043173,58945
155,21.0,59417,0.9510247000016124,59417,0.0317982943665,0.0135059371132,59417
156,6.0,59712,0.9507592000016212,59712,0.0324598988865,0.0136205049088,59712
157,6.0,60032,0.9504712000016307,60032,0.0324963759689,0.0136271885232,60032
158,26.0,60361,0.9501751000016404,60361,0.030950830502,0.0139026045736,60361
159,23.0,60933,0.9496603000016574,60933,0.0325500039136,0.0144301423359,60933
160,6.0,61299,0.9493309000016682,61299,0.0328221188583,0.0143861422394,61299
161,22.0,61793,0.9488863000016828,61793,0.030384619298,0.0154671530037,61793
162,7.0,62159,0.9485569000016937,62159,0.032116312615,0.0152952161106,62159
163,6.0,62532,0.9482212000017047,62532,0.0326874107622,0.0130788666453,62532
164,27.0,62920,0.9478720000017162,62920,0.0308498407896,0.0146958823575,62920
165,21.0,63410,0.9474310000017307,63410,0.0308103859653,0.0149551437561,63410
166,6.0,63779,0.9470989000017417,63779,0.032665833952,0.0153109099647,63779
167,6.0,64178,0.9467398000017535,64178,0.0327993665675,0.0143399839586,64178
168,6.0,64633,0.946330300001767,64633,0.0328267491044,0.0162638991866,64633
169,6.0,65016,0.9459856000017783,65016,0.0327838072383,0.0144945807587,65016
170,6.0,65407,0.9456337000017899,65407,0.0329324123033,0.0142585638235,65407
171,6.0,65811,0.9452701000018019,65811,0.0331432751315,0.0143930879144,65811
172,6.0,66101,0.9450091000018105,66101,0.0328175363035,0.0139943312666,66101
173,6.0,66469,0.9446779000018214,66469,0.0326722358232,0.0140346787998,66469
174,6.0,66934,0.9442594000018352,66934,0.0328283993067,0.014258903551,66934
175,6.0,67256,0.9439696000018447,67256,0.0333424768416,0.0144920861952,67256
176,6.0,67566,0.9436906000018539,67566,0.032659758345,0.0138103117703,67566
177,6.0,67966,0.9433306000018657,67966,0.0328363229148,0.0145226210364,67966
178,6.0,68269,0.9430579000018747,68269,0.033196549838,0.0132492575349,68269
179,6.0,68664,0.9427024000018864,68664,0.0325428132109,0.0127872512808,68664
180,6.0,69064,0.9423424000018983,69064,0.0331432792498,0.0147665958782,69064
181,6.0,69465,0.9419815000019102,69465,0.033377164854,0.0136914606593,69465
182,8.0,69731,0.941742100001918,69731,0.0333694368391,0.0135248853558,69731
183,6.0,70155,0.9413605000019306,70155,0.0334590417816,0.0138271944638,70155
184,6.0,70644,0.9409204000019451,70644,0.0333148169432,0.0150907188103,70644
185,6.0,71115,0.9404965000019591,71115,0.0333563914827,0.0152427286965,71115
186,6.0,71500,0.9401500000019705,71500,0.0333943217993,0.0142207778229,71500
187,6.0,71951,0.9397441000019838,71951,0.0330496913735,0.0139869954902,71951
188,6.0,72413,0.9393283000019975,72413,0.0331392609212,0.0139782041959,72413
189,6.0,72760,0.9390160000020078,72760,0.0331162458248,0.0142912111381,72760
190,23.0,73278,0.9385498000020231,73278,0.0313671598081,0.0131981870085,73278
191,6.0,73663,0.9382033000020346,73663,0.0336405652442,0.0148394415497,73663
192,6.0,74143,0.9377713000020488,74143,0.0340052182049,0.0143837096608,74143
193,33.0,74540,0.9374140000020605,74540,0.0320871435575,0.0147050399317,74540
194,6.0,75009,0.9369919000020744,75009,0.0338671629363,0.0141262731633,75009
195,6.0,75381,0.9366571000020855,75381,0.0337151722051,0.015030794788,75381
196,6.0,75681,0.9363871000020944,75681,0.0340089413337,0.0145166539203,75681
197,6.0,76062,0.9360442000021056,76062,0.0336787562397,0.0131063169093,76062
198,34.0,76453,0.9356923000021172,76453,0.032435186617,0.0144239814962,76453
199,6.0,76896,0.9352936000021304,76896,0.0337797087905,0.0134758345174,76896
200,22.0,77205,0.9350155000021395,77205,0.0329651245757,0.0142016498096,77205
