EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
5001,32,0.99,30,5e-09,0.01
Date/Time Start,2019-04-03 13:50:32.970601
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,636,1.0,636,0.045842210976,0.0,636
1,5.0,1045,1.0,1045,0.0482467670622,0.0,1045
2,6.0,1675,1.0,1675,0.0454376609671,0.0,1675
3,7.0,2317,1.0,2317,0.0429750692268,0.0,2317
4,5.0,2714,1.0,2714,0.0484443609826,0.0,2714
5,4.0,3105,1.0,3105,0.0479178481814,0.0,3105
6,7.0,3876,1.0,3876,0.0445468622645,0.0,3876
7,10.0,4670,1.0,4670,0.0442043118207,0.0,4670
8,10.0,5482,0.9995662000000143,5482,0.0426314712956,0.00412818594874,5482
9,4.0,5880,0.9992080000000261,5880,0.0480723039589,0.00752242673487,5880
10,6.0,6509,0.9986419000000447,6509,0.0455312452387,0.00690026539829,6509
11,9.0,7443,0.9978013000000724,7443,0.0410296591956,0.00686575765462,7443
12,5.0,7841,0.9974431000000842,7841,0.0484224274829,0.00702020892611,7841
13,9.0,8658,0.9967078000001084,8658,0.0444285900832,0.00658490703922,8658
14,8.0,9444,0.9960004000001317,9444,0.0434976905305,0.00667888704559,9444
15,8.0,10213,0.9953083000001545,10213,0.0441326144671,0.00685301072495,10213
16,11.0,11001,0.9945991000001778,11001,0.044201971904,0.0065304027823,11001
17,11.0,11853,0.9938323000002031,11853,0.0432769962272,0.00626867476033,11853
18,9.0,12616,0.9931456000002257,12616,0.044218211248,0.00600965323366,12616
19,3.0,12996,0.9928036000002369,12996,0.0480392925882,0.00569499621396,12996
20,10.0,13805,0.9920755000002609,13805,0.0447044303095,0.00622479461342,13805
21,6.0,14437,0.9915067000002796,14437,0.0445673357389,0.00695386666874,14437
22,7.0,15091,0.990918100000299,15091,0.0441821376517,0.00647211089159,15091
23,12.0,15908,0.9901828000003232,15908,0.0423319037055,0.00571108092255,15908
24,11.0,16679,0.9894889000003461,16679,0.044487472481,0.00636836701884,16679
25,12.0,17493,0.9887563000003702,17493,0.043192298076,0.0061205515873,17493
26,3.0,18119,0.9881929000003887,18119,0.04570317593,0.0062396328598,18119
27,6.0,18743,0.9876313000004072,18743,0.0455886337739,0.00610560075674,18743
28,6.0,19396,0.9870436000004266,19396,0.0457213793925,0.00554399304067,19396
29,5.0,20018,0.986483800000445,20018,0.0445390355854,0.00581292319645,20018
30,9.0,20800,0.9857800000004682,20800,0.0443553189602,0.00661889675983,20800
31,10.0,21595,0.9850645000004917,21595,0.0419606445041,0.00623329347567,21595
32,9.0,22377,0.9843607000005149,22377,0.0437937182567,0.00680653180499,22377
33,7.0,23039,0.9837649000005345,23039,0.0426159586302,0.00611601139978,23039
34,5.0,23446,0.9833986000005466,23446,0.0486783114164,0.00586590563172,23446
35,6.0,24099,0.9828109000005659,24099,0.0458211756125,0.00571458961886,24099
36,11.0,24908,0.9820828000005899,24908,0.0439865911478,0.00678983801129,24908
37,6.0,25579,0.9814789000006098,25579,0.0449405271566,0.00624850298502,25579
38,10.0,26408,0.9807328000006343,26408,0.0424096645232,0.00591330518805,26408
39,6.0,27049,0.9801559000006533,27049,0.0456424775169,0.00595159897386,27049
40,6.0,27684,0.9795844000006722,27684,0.0456357395056,0.00560289500242,27684
41,9.0,28465,0.9788815000006953,28465,0.0440100826604,0.00634673571474,28465
