EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,2.5e-09,0.01
Date/Time Start,2019-04-20 19:18:40.273434
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,383,1.0,383,0.049721415979,0.0,383
1,6.0,842,1.0,842,0.049729170436,0.0,842
2,29.0,1417,1.0,1417,0.0521194052502,0.0,1417
3,6.0,1800,1.0,1800,0.049591882344,0.0,1800
4,6.0,2208,1.0,2208,0.0501737347347,0.0,2208
5,6.0,2472,1.0,2472,0.0499945711486,0.0,2472
6,6.0,2846,1.0,2846,0.049165323277,0.0,2846
7,6.0,3228,1.0,3228,0.049818780478,0.0,3228
8,7.0,3577,1.0,3577,0.049045922699,0.0,3577
9,20.0,4075,1.0,4075,0.0513973744758,0.0,4075
10,6.0,4533,1.0,4533,0.0498859799878,0.0,4533
11,6.0,4903,1.0,4903,0.0492612361405,0.0,4903
12,20.0,5604,1.0,5604,0.0519489531489,0.0,5604
13,22.0,6147,1.0,6147,0.0510981157559,0.0,6147
14,6.0,6602,1.0,6602,0.0496405620087,0.0,6602
15,19.0,6952,1.0,6952,0.0516393229046,0.0,6952
16,7.0,7298,1.0,7298,0.0484148515765,0.0,7298
17,6.0,7600,1.0,7600,0.0492780180093,0.0,7600
18,22.0,7933,1.0,7933,0.0526892686816,0.0,7933
19,6.0,8244,1.0,8244,0.0492027009152,0.0,8244
20,9.0,8488,1.0,8488,0.0502870955703,0.0,8488
21,19.0,8899,1.0,8899,0.0508719023109,0.0,8899
22,6.0,9199,1.0,9199,0.0490930788219,0.0,9199
23,6.0,9580,1.0,9580,0.0495822015182,0.0,9580
24,7.0,9896,1.0,9896,0.0479493494134,0.0,9896
25,33.0,10384,0.9996544000000114,10384,0.0514435828282,0.0137387057672,10384
26,6.0,10772,0.9993052000000229,10772,0.0496606399526,0.0178855942552,10772
27,23.0,11154,0.9989614000000342,11154,0.0492725579156,0.0168351038717,11154
28,6.0,11558,0.9985978000000462,11558,0.0497047981192,0.0166935467177,11558
29,6.0,12020,0.9981820000000599,12020,0.0500759740574,0.0160534477619,12020
30,21.0,12687,0.9975817000000796,12687,0.0523864759811,0.0170314554237,12687
31,6.0,13069,0.9972379000000909,13069,0.0498530144818,0.0167745697709,13069
32,23.0,13585,0.9967735000001062,13585,0.0523335545634,0.0183272909122,13585
33,7.0,13959,0.9964369000001173,13959,0.0491145662067,0.0193150165742,13959
