EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,2.5e-09,0.01
Date/Time Start,2019-04-19 16:01:44.161019
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,383,1.0,383,0.173909210194,0.0,383
1,6.0,848,1.0,848,0.173503372201,0.0,848
2,6.0,1223,1.0,1223,0.173528510531,0.0,1223
3,6.0,1540,1.0,1540,0.173446358519,0.0,1540
4,6.0,1987,1.0,1987,0.174137079809,0.0,1987
5,7.0,2292,1.0,2292,0.172172104042,0.0,2292
6,7.0,2668,1.0,2668,0.173329588541,0.0,2668
7,27.0,3093,1.0,3093,0.173904887718,0.0,3093
8,6.0,3399,1.0,3399,0.173307074003,0.0,3399
9,6.0,3737,1.0,3737,0.173106609144,0.0,3737
10,21.0,4119,1.0,4119,0.176404066501,0.0,4119
11,6.0,4485,1.0,4485,0.173362612969,0.0,4485
12,17.0,4884,1.0,4884,0.174004413356,0.0,4884
13,7.0,5279,1.0,5279,0.172887053029,0.0,5279
14,6.0,5666,1.0,5666,0.173185287135,0.0,5666
15,6.0,6058,1.0,6058,0.173704070058,0.0,6058
16,6.0,6524,1.0,6524,0.173007787777,0.0,6524
17,6.0,6926,1.0,6926,0.173509949809,0.0,6926
18,6.0,7385,1.0,7385,0.174238521581,0.0,7385
19,24.0,8177,1.0,8177,0.17759994011,0.0,8177
20,22.0,8521,1.0,8521,0.173794413375,0.0,8521
21,7.0,8836,1.0,8836,0.172300271714,0.0,8836
22,6.0,9199,1.0,9199,0.173460036762,0.0,9199
23,6.0,9600,1.0,9600,0.174146479056,0.0,9600
24,6.0,9893,1.0,9893,0.1732895297,0.0,9893
25,9.0,10158,0.9998578000000047,10158,0.173613901802,0.0109368641562,10158
26,10.0,10449,0.9995959000000133,10449,0.173543614364,0.02002189573,10449
27,17.0,10773,0.9993043000000229,10773,0.173089611356,0.018098189134,10773
28,8.0,11392,0.9987472000000412,11392,0.173107188285,0.0185784107805,11392
