EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-05-23 08:55:59.138655
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,392,1.0,392,0.0415424390135,0.0,392
1,10.0,658,1.0,658,0.0426698185756,0.0,658
2,21.0,1161,1.0,1161,0.0425783213243,0.0,1161
3,6.0,1546,1.0,1546,0.0412665256529,0.0,1546
4,6.0,1923,1.0,1923,0.040894777813,0.0,1923
5,7.0,2311,1.0,2311,0.0405353751206,0.0,2311
6,36.0,2790,1.0,2790,0.0419768639772,0.0,2790
7,6.0,3176,1.0,3176,0.0415038333028,0.0,3176
8,6.0,3559,1.0,3559,0.0415359714431,0.0,3559
9,22.0,4125,1.0,4125,0.0417400897076,0.0,4125
10,21.0,4729,1.0,4729,0.0424332047245,0.0,4729
11,7.0,5084,1.0,5084,0.0405273615894,0.0,5084
12,12.0,5410,1.0,5410,0.0418352438994,0.0,5410
13,7.0,5775,1.0,5775,0.0428624641865,0.0,5775
14,6.0,6145,1.0,6145,0.0411764556039,0.0,6145
15,6.0,6436,1.0,6436,0.0413020781123,0.0,6436
16,6.0,6817,1.0,6817,0.0414641503137,0.0,6817
17,6.0,7204,1.0,7204,0.0417842550266,0.0,7204
18,25.0,7593,1.0,7593,0.0427030579386,0.0,7593
19,22.0,8025,1.0,8025,0.0412182041047,0.0,8025
20,20.0,8357,1.0,8357,0.0419001269928,0.0,8357
21,7.0,8681,1.0,8681,0.0426455616066,0.0,8681
22,6.0,9128,1.0,9128,0.0414009046651,0.0,9128
23,6.0,9514,1.0,9514,0.0414132306864,0.0,9514
24,6.0,9837,1.0,9837,0.0415747255121,0.0,9837
25,6.0,10203,0.999817300000006,10203,0.0488931653726,0.00818236734619,10203
26,7.0,10644,0.9994204000000191,10644,0.057334165167,0.0154641128243,10644
27,6.0,11098,0.9990118000000325,11098,0.0530452980344,0.0151174236658,11098
28,10.0,11358,0.9987778000000402,11358,0.0455122722958,0.0142451366361,11358
29,7.0,11702,0.9984682000000504,11702,0.0542794878975,0.0151422925152,11702
30,7.0,12102,0.9981082000000623,12102,0.0422822064938,0.0146025296431,12102
31,6.0,12559,0.9976969000000758,12559,0.0423191859597,0.0143124474124,12559
32,6.0,12921,0.9973711000000866,12921,0.0455215427814,0.01514056501,12921
33,6.0,13221,0.9971011000000954,13221,0.0537012698253,0.0129082054267,13221
34,6.0,13469,0.9968779000001028,13469,0.0433861953732,0.0147766305343,13469
35,6.0,13932,0.9964612000001165,13932,0.0380710717914,0.0137923670804,13932
36,6.0,14318,0.996113800000128,14318,0.0418131993058,0.0127197697643,14318
37,6.0,14685,0.9957835000001388,14685,0.0603413969882,0.0143975463128,14685
38,7.0,15024,0.9954784000001489,15024,0.0336698729223,0.0137938166896,15024
39,24.0,15483,0.9950653000001625,15483,0.0151911301063,0.0142801391364,15483
40,6.0,15822,0.9947602000001725,15822,0.0415300099216,0.0146324895405,15822
41,6.0,16131,0.9944821000001817,16131,-0.00455906435329,0.0137346758712,16131
42,6.0,16508,0.9941428000001928,16508,0.0534104168821,0.0151195959265,16508
43,6.0,16836,0.9938476000002026,16836,-0.0065748500801,0.0154255992165,16836
44,6.0,17338,0.9933958000002174,17338,0.0382781901909,0.012990636967,17338
45,8.0,17658,0.9931078000002269,17658,0.0379623859524,0.0137583405505,17658
46,14.0,17948,0.9928468000002355,17948,0.0600635320077,0.0118062228795,17948
47,6.0,18433,0.9924103000002499,18433,0.0261490243386,0.0131308251158,18433
48,6.0,18831,0.9920521000002617,18831,0.0466043587444,0.0126260928328,18831
49,22.0,19288,0.9916408000002752,19288,0.0473448527046,0.0133221799963,19288
50,6.0,19608,0.9913528000002847,19608,0.0458059297889,0.0125043148936,19608
51,6.0,20000,0.9910000000002963,20000,0.053546463864,0.0134378034991,20000
52,18.0,20312,0.9907192000003056,20312,0.092200087061,0.0127952925586,20312
53,7.0,20623,0.9904393000003148,20623,0.0755333117901,0.011764910586,20623
54,6.0,21083,0.9900253000003284,21083,0.0713261000569,0.0131453401636,21083
55,6.0,21548,0.9896068000003422,21548,0.0741547526411,0.0127063499202,21548
56,6.0,21996,0.9892036000003555,21996,0.0697422226222,0.0117247611992,21996
57,6.0,22390,0.9888490000003671,22390,0.0848878874505,0.0125760355109,22390
58,25.0,22769,0.9885079000003784,22769,0.0973843244103,0.0122066894663,22769
59,7.0,23086,0.9882226000003878,23086,0.101234772968,0.0123856611747,23086
60,7.0,23491,0.9878581000003998,23491,0.0874527764265,0.0124187155536,23491
61,6.0,23755,0.9876205000004076,23755,0.103839274722,0.0122429182164,23755
62,6.0,24020,0.9873820000004154,24020,0.0985764069342,0.0102451132416,24020
63,23.0,24624,0.9868384000004333,24624,0.103157827714,0.011206980514,24624
64,6.0,24872,0.9866152000004407,24872,0.100611962641,0.0110906830944,24872
65,6.0,25216,0.9863056000004509,25216,0.0726713767522,0.0112469979976,25216
66,6.0,25636,0.9859276000004633,25636,0.0614700245161,0.0108533817495,25636
67,6.0,26108,0.9855028000004773,26108,0.0609760162346,0.010675936639,26108
68,6.0,26456,0.9851896000004876,26456,0.0785296119337,0.0112776362441,26456
69,24.0,26844,0.9848404000004991,26844,0.136002352312,0.00979200981256,26844
70,17.0,27284,0.9844444000005121,27284,0.113495108333,0.0120237327136,27284
71,6.0,27671,0.9840961000005236,27671,0.0641638795299,0.0113875950285,27671
72,33.0,28082,0.9837262000005358,28082,0.0990047201088,0.0114527658349,28082
73,6.0,28402,0.9834382000005453,28402,0.0764576538,0.0123873277037,28402
74,6.0,28710,0.9831610000005544,28710,0.0705902929896,0.0118553327839,28710
75,7.0,29076,0.9828316000005652,29076,0.0884521558876,0.0109484735988,29076
76,7.0,29400,0.9825400000005748,29400,0.0992793921542,0.0123591591208,29400
77,7.0,29765,0.9822115000005857,29765,0.092190663935,0.0114125574484,29765
78,7.0,30084,0.9819244000005951,30084,0.0925598648686,0.0116321688396,30084
79,7.0,30427,0.9816157000006053,30427,0.114703205525,0.0132922935926,30427
80,6.0,30888,0.9812008000006189,30888,0.105529246989,0.0118963416738,30888
81,6.0,31285,0.9808435000006307,31285,0.101177000281,0.0119319147447,31285
82,7.0,31548,0.9806068000006385,31548,0.163059974755,0.0110963302454,31548
83,39.0,32178,0.9800398000006572,32178,0.193909213736,0.0125308019507,32178
84,6.0,32559,0.9796969000006684,32559,0.10636680012,0.0111917186213,32559
85,6.0,32848,0.979436800000677,32848,0.154017119407,0.0128774038439,32848
86,6.0,33216,0.9791056000006879,33216,0.107253765536,0.0114386197511,33216
87,6.0,33579,0.9787789000006987,33579,0.102479517706,0.0114800449196,33579
88,7.0,33928,0.978464800000709,33928,0.105445722564,0.0113499270748,33928
89,22.0,34243,0.9781813000007183,34243,0.179977010167,0.00958166178667,34243
90,6.0,34641,0.9778231000007301,34641,0.108796195906,0.0118732685662,34641
