EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-05-21 10:11:54.526829
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,381,1.0,381,0.0633795440999,0.0,381
1,6.0,855,1.0,855,0.062892713863,0.0,855
2,7.0,1283,1.0,1283,0.063182656984,0.0,1283
3,6.0,1604,1.0,1604,0.063518060586,0.0,1604
4,6.0,1922,1.0,1922,0.0635013722305,0.0,1922
5,6.0,2380,1.0,2380,0.0628400928133,0.0,2380
6,6.0,2783,1.0,2783,0.0630179947293,0.0,2783
7,6.0,3104,1.0,3104,0.0634683250128,0.0,3104
8,6.0,3557,1.0,3557,0.0628694348761,0.0,3557
9,7.0,3978,1.0,3978,0.062415800095,0.0,3978
10,23.0,4344,1.0,4344,0.0666677329913,0.0,4344
11,6.0,4665,1.0,4665,0.0634375321925,0.0,4665
12,6.0,4979,1.0,4979,0.0633467914548,0.0,4979
13,6.0,5439,1.0,5439,0.0631294282558,0.0,5439
14,7.0,5842,1.0,5842,0.063004646136,0.0,5842
15,6.0,6299,1.0,6299,0.0627485211099,0.0,6299
16,20.0,6669,1.0,6669,0.0670028001976,0.0,6669
17,7.0,6982,1.0,6982,0.062750204136,0.0,6982
18,6.0,7277,1.0,7277,0.0633088635691,0.0,7277
19,23.0,7654,1.0,7654,0.0647293520839,0.0,7654
20,6.0,8114,1.0,8114,0.0627738255603,0.0,8114
21,6.0,8517,1.0,8517,0.0629949655393,0.0,8517
22,24.0,9075,1.0,9075,0.064271362672,0.0,9075
23,6.0,9391,1.0,9391,0.0636596084584,0.0,9391
24,6.0,9741,1.0,9741,0.063186608191,0.0,9741
25,6.0,10047,0.9999577000000014,10047,0.0640479187219,0.00213773590338,10047
26,6.0,10416,0.9996256000000123,10416,0.0952316883416,0.0104413189621,10416
27,6.0,10724,0.9993484000000215,10724,0.104350454501,0.0121742235537,10724
28,6.0,11061,0.9990451000000314,11061,0.103251201507,0.010446841868,11061
29,21.0,11461,0.9986851000000433,11461,0.105149704982,0.0105551432568,11461
30,22.0,11891,0.998298100000056,11891,0.107133486278,0.0113800193716,11891
31,7.0,12253,0.9979723000000668,12253,0.11065193632,0.0117173820978,12253
32,21.0,12708,0.9975628000000802,12708,0.115062117675,0.0134415773007,12708
33,6.0,13078,0.9972298000000912,13078,0.110352004783,0.0123584183104,13078
34,6.0,13486,0.9968626000001033,13486,0.109499937818,0.0110744610663,13486
35,26.0,14014,0.9963874000001189,14014,0.111626834439,0.0115103696316,14014
36,6.0,14445,0.9959995000001317,14445,0.10549174996,0.0119021541805,14445
37,6.0,14766,0.9957106000001412,14766,0.111694974668,0.0120662282647,14766
38,6.0,15107,0.9954037000001513,15107,0.118590085147,0.0127032497065,15107
39,6.0,15457,0.9950887000001617,15457,0.110262291495,0.0112783987886,15457
40,8.0,15775,0.9948025000001711,15775,0.111215725916,0.011973045537,15775
41,7.0,16140,0.9944740000001819,16140,0.11242133381,0.0123313584681,16140
42,6.0,16453,0.9941923000001912,16453,0.115486291032,0.0118288334191,16453
43,6.0,16901,0.9937891000002045,16901,0.105245289293,0.0117807126567,16901
44,7.0,17172,0.9935452000002125,17172,0.113544737308,0.0100464231316,17172
45,7.0,17516,0.9932356000002227,17516,0.114795576911,0.0119568861618,17516
46,6.0,17888,0.9929008000002337,17888,0.106142409566,0.0115940604623,17888
47,6.0,18285,0.9925435000002455,18285,0.104793377934,0.0112835472421,18285
48,7.0,18639,0.992224900000256,18639,0.114779986357,0.0116479924077,18639
49,6.0,18945,0.991949500000265,18945,0.111268477064,0.0110921260488,18945
50,6.0,19390,0.9915490000002782,19390,0.101654866991,0.0106897488438,19390
51,6.0,19689,0.9912799000002871,19689,0.107302158921,0.0108021961122,19689
52,6.0,20079,0.9909289000002987,20079,0.108867448091,0.0101064032075,20079
53,6.0,20334,0.9906994000003062,20334,0.160079966895,0.00929016965597,20334
54,6.0,20794,0.9902854000003198,20794,0.149638820683,0.0107403451519,20794
55,6.0,21152,0.9899632000003304,21152,0.154581892861,0.009171483721,21152
56,6.0,21511,0.9896401000003411,21511,0.152769295701,0.011802642669,21511
57,6.0,21767,0.9894097000003487,21767,0.169368555566,0.0104024202724,21767
58,6.0,22140,0.9890740000003597,22140,0.156296614907,0.0107240582115,22140
59,8.0,22556,0.988699600000372,22556,0.159615194568,0.0100385404658,22556
60,6.0,23003,0.9882973000003853,23003,0.142819307111,0.010855308662,23003
61,18.0,23370,0.9879670000003962,23370,0.158809996918,0.0100105922628,23370
62,7.0,23739,0.9876349000004071,23739,0.166424246278,0.00981544842494,23739
63,6.0,24124,0.9872884000004185,24124,0.150130123035,0.0109070139951,24124
64,6.0,24586,0.9868726000004322,24586,0.137464045253,0.00895226158771,24586
65,6.0,24899,0.9865909000004415,24899,0.169124096299,0.0111516564286,24899
66,7.0,25214,0.9863074000004508,25214,0.169200383765,0.0107180999769,25214
67,6.0,25678,0.9858898000004646,25678,0.158093760962,0.0101195045336,25678
68,22.0,26029,0.985573900000475,26029,0.187077893066,0.0091852835777,26029
69,21.0,26634,0.9850294000004929,26634,0.204653382856,0.010578290554,26634
70,6.0,27035,0.9846685000005048,27035,0.15396159748,0.0105615450275,27035
71,20.0,27437,0.9843067000005167,27437,0.167962060602,0.00935788886584,27437
72,18.0,27846,0.9839386000005288,27846,0.174880912241,0.010901549267,27846
73,20.0,28149,0.9836659000005378,28149,0.211657603237,0.0116398539178,28149
74,6.0,28466,0.9833806000005472,28466,0.173531564793,0.0114807612682,28466
75,6.0,28761,0.9831151000005559,28761,0.160475806058,0.0101347272471,28761
76,7.0,29103,0.982807300000566,29103,0.17806152165,0.0107598879256,29103
77,17.0,29424,0.9825184000005756,29424,0.183516957168,0.0105655586414,29424
78,6.0,29741,0.982233100000585,29741,0.163200224024,0.00959919720173,29741
79,23.0,30065,0.9819415000005945,30065,0.242583211649,0.0110671308576,30065
80,6.0,30388,0.9816508000006041,30388,0.230356126009,0.0111278601821,30388
81,23.0,30874,0.9812134000006185,30874,0.28551228139,0.0117224703999,30874
