EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,1e-08,0.01
Date/Time Start,2019-03-18 21:55:11.844993
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,9.0,302,1.0,302,0.05798568262021668,0.0,302
1,6.0,616,1.0,616,0.05928986559912657,0.0,616
2,6.0,1012,0.9999892000000004,1012,0.05916654709914718,0.0005875132070158166,1012
3,6.0,1482,0.9995662000000143,1482,0.05914998659269607,0.01833564205828341,1482
4,24.0,1969,0.9991279000000287,1969,0.058622913813750115,0.019068194501144043,1969
5,7.0,2312,0.9988192000000389,2312,0.05889121952409647,0.02008625173957546,2312
6,6.0,2657,0.9985087000000491,2657,0.05939341737092405,0.021464519654873056,2657
7,6.0,2925,0.998267500000057,2925,0.058220486670954905,0.02042554600734208,2925
8,6.0,3305,0.9979255000000683,3305,0.059188574023152654,0.019456223430308072,3305
9,7.0,3633,0.997630300000078,3633,0.058206520531689974,0.019555681815268698,3633
10,19.0,4049,0.9972559000000903,4049,0.05733888663458996,0.01950250406158515,4049
11,20.0,4452,0.9968932000001023,4452,0.05775272255536936,0.021631630333995552,4452
12,6.0,4913,0.996478300000116,4913,0.059432654102169254,0.022347211264025363,4913
13,6.0,5257,0.9961687000001261,5257,0.059279839064232835,0.020641718282456357,5257
14,6.0,5648,0.9958168000001377,5648,0.05898574772088424,0.020836129324877505,5648
15,6.0,5970,0.9955270000001473,5970,0.0592840701596152,0.020607044701956165,5970
16,6.0,6309,0.9952219000001573,6309,0.0591972005006838,0.02068984951785488,6309
17,8.0,6640,0.9949240000001671,6640,0.05924651198921967,0.01977441037563309,6640
18,7.0,6986,0.9946126000001774,6986,0.05904101873236584,0.019787192666994656,6986
19,33.0,7537,0.9941167000001937,7537,0.057735907971967156,0.019810805179198997,7537
20,6.0,7934,0.9937594000002055,7934,0.058950059688286455,0.019738919974917016,7934
21,6.0,8319,0.9934129000002169,8319,0.0591327479713923,0.020435048004176903,8319
22,7.0,8587,0.9931717000002248,8587,0.05882823044684396,0.02097933495820347,8587
23,6.0,8884,0.9929044000002336,8884,0.059825235243999596,0.020860644092670445,8884
24,6.0,9276,0.9925516000002452,9276,0.05926250205470287,0.020640772159748272,9276
25,6.0,9739,0.992134900000259,9739,0.05941057634855707,0.019623700258287864,9739
26,6.0,10118,0.9917938000002702,10118,0.059578189080812055,0.018299527175105263,10118
27,6.0,10574,0.9913834000002837,10574,0.059453184691895,0.015299295004775846,10574
28,7.0,10951,0.9910441000002949,10951,0.0594509294755579,0.015050436357105403,10951
29,6.0,11421,0.9906211000003088,11421,0.059157300669145076,0.014765756972074667,11421
30,7.0,11784,0.9902944000003195,11784,0.059676401368432136,0.016888808141226466,11784
31,20.0,12160,0.9899560000003307,12160,0.05815445661465538,0.015298559058252028,12160
32,6.0,12624,0.9895384000003444,12624,0.05926046300486758,0.015904367869019363,12624
33,7.0,12994,0.9892054000003554,12994,0.059232612679133545,0.015166693720400233,12994
34,42.0,13676,0.9885916000003756,13676,0.05590086235307004,0.016011854336846924,13676
35,6.0,14086,0.9882226000003878,14086,0.059226018944528044,0.016765011889610167,14086
36,7.0,14476,0.9878716000003993,14476,0.058251152044305435,0.016338296486840893,14476
37,6.0,14786,0.9875926000004085,14786,0.05958156124238045,0.015888450270323384,14786
38,21.0,15320,0.9871120000004243,15320,0.0567387356544925,0.01610010040990227,15320
39,21.0,15833,0.9866503000004395,15833,0.057287078285426424,0.016189546318639426,15833
40,20.0,16262,0.9862642000004522,16262,0.057657424568921534,0.0174793430024949,16262
41,7.0,16598,0.9859618000004622,16598,0.0583550940223393,0.017909314714502432,16598
42,6.0,16932,0.9856612000004721,16932,0.05947656795650185,0.01699563798781841,16932
43,6.0,17329,0.9853039000004838,17329,0.05941980336827955,0.016475064128400378,17329
44,6.0,17652,0.9850132000004934,17652,0.059530891189726515,0.017940233788098392,17652
45,7.0,18029,0.9846739000005046,18029,0.05921467828418595,0.01675830579632078,18029
46,7.0,18413,0.984328300000516,18413,0.05819573722934971,0.015958488442568825,18413
47,7.0,18784,0.983994400000527,18784,0.059109551274792525,0.016981677331389344,18784
48,7.0,19149,0.9836659000005378,19149,0.05859130711792267,0.016392021357043558,19149
49,6.0,19450,0.9833950000005467,19450,0.05957664457765528,0.015603619176690215,19450
50,6.0,19848,0.9830368000005585,19848,0.05928984162720603,0.015713545959150352,19848
51,22.0,20248,0.9826768000005703,20248,0.058777903243899345,0.016421229553234298,20248
52,7.0,20506,0.982444600000578,20506,0.059069024586631345,0.016457823245035298,20506
53,22.0,20979,0.982018900000592,20979,0.05815045703320624,0.01819811341988738,20979
54,7.0,21300,0.9817300000006015,21300,0.05846163103606471,0.016669800465148977,21300
55,6.0,21667,0.9813997000006124,21667,0.05951574947228224,0.017343595711836638,21667
56,6.0,22026,0.981076600000623,22026,0.05916420949368756,0.016418358925561365,22026
57,6.0,22491,0.9806581000006368,22491,0.05945169074080324,0.017117405860554626,22491
58,38.0,23067,0.9801397000006539,23067,0.0577426667829665,0.016527191296821304,23067
59,21.0,23424,0.9798184000006644,23424,0.05716059463364737,0.016519571409928574,23424
60,7.0,23806,0.9794746000006758,23806,0.058657237079911204,0.018128553435574554,23806
61,6.0,24173,0.9791443000006866,24173,0.05976462026179974,0.018586920854402073,24173
62,23.0,24777,0.9786007000007045,24777,0.05841722789016978,0.017290470452087973,24777
63,6.0,25239,0.9781849000007182,25239,0.05924702155125606,0.01828977294735917,25239
64,6.0,25647,0.9778177000007303,25647,0.0592533206548907,0.0174629761125235,25647
65,6.0,26117,0.9773947000007442,26117,0.05929455059639951,0.017011560123919092,26117
66,22.0,26651,0.9769141000007601,26651,0.05897263450066695,0.01727213721010792,26651
67,6.0,27035,0.9765685000007714,27035,0.05947911713155918,0.01680029990257026,27035
68,6.0,27414,0.9762274000007827,27414,0.059417122046126536,0.01602878137909387,27414
69,6.0,27796,0.975883600000794,27796,0.05930168139723895,0.018246606223014578,27796
70,6.0,28264,0.9754624000008079,28264,0.059301355734276466,0.01745779998874109,28264
71,7.0,28573,0.975184300000817,28573,0.05813103577899702,0.01792443774619462,28573
72,6.0,28939,0.9748549000008279,28939,0.0599284609321688,0.018217006483868457,28939
73,6.0,29410,0.9744310000008418,29410,0.059255140475659863,0.01660180018746122,29410
74,6.0,29729,0.9741439000008513,29729,0.05963144238839702,0.017370165814718577,29729
75,6.0,30191,0.973728100000865,30191,0.059530339957702724,0.01712837376157064,30191
76,6.0,30553,0.9734023000008757,30553,0.0599812563940965,0.017204086441618714,30553
77,7.0,30875,0.9731125000008852,30875,0.05850070483566071,0.01702808852304606,30875
78,7.0,31223,0.9727993000008955,31223,0.05882540722002928,0.016586278451823405,31223
79,7.0,31565,0.9724915000009057,31565,0.05946878942916965,0.016796905279829445,31565
80,6.0,31935,0.9721585000009166,31935,0.05985923707485199,0.01663750677772269,31935
81,7.0,32227,0.9718957000009253,32227,0.059726683001914256,0.01600080488523953,32227
82,6.0,32581,0.9715771000009358,32581,0.05953116323483192,0.01653394288065091,32581
83,6.0,32960,0.971236000000947,32960,0.05986368962831422,0.01660501374003028,32960
84,6.0,33408,0.9708328000009603,33408,0.05948064140310245,0.015568569395587215,33408
85,24.0,33782,0.9704962000009714,33782,0.05862530240201377,0.015080288077149302,33782
86,21.0,34197,0.9701227000009837,34197,0.05892133214567081,0.015641595113248263,34197
87,6.0,34558,0.9697978000009944,34558,0.05982734136015094,0.01647985147065909,34558
88,6.0,34940,0.9694540000010057,34940,0.05940891623848084,0.01634475272496265,34940
89,6.0,35332,0.9691012000010173,35332,0.05924251270765553,0.016900765061573297,35332
90,6.0,35719,0.9687529000010288,35719,0.0594984009592416,0.016348759250267762,35719
91,6.0,36027,0.9684757000010379,36027,0.059583421155520074,0.01661592693553403,36027
92,21.0,36479,0.9680689000010513,36479,0.058047992177307606,0.01584752925787022,36479
93,6.0,36884,0.9677044000010633,36884,0.05923592785810247,0.015546552562959675,36884
94,6.0,37330,0.9673030000010765,37330,0.059544015784367854,0.017387401459283393,37330
95,6.0,37729,0.9669439000010883,37729,0.05931195922027853,0.01580158984236055,37729
96,6.0,38120,0.9665920000010999,38120,0.059529742954865746,0.01603348379093639,38120
97,6.0,38507,0.9662437000011114,38507,0.059729062723481996,0.014911692936060041,38507
98,6.0,38905,0.9658855000011232,38905,0.059263795174321336,0.015520885260892686,38905
99,6.0,39260,0.9655660000011337,39260,0.0595238010963084,0.015800191706676087,39260
100,18.0,39679,0.9651889000011461,39679,0.05918949925138444,0.016118634444648103,39679
101,21.0,40250,0.964675000001163,40250,0.058918158332906964,0.01711688201585801,40250
102,6.0,40646,0.9643186000011748,40646,0.059325853569640055,0.016826584681191227,40646
103,6.0,41033,0.9639703000011862,41033,0.0595152693047388,0.015896349733524526,41033
104,32.0,41577,0.9634807000012023,41577,0.058224061510854346,0.018373616262311664,41577
105,22.0,42086,0.9630226000012174,42086,0.05874674156864406,0.016641056727506365,42086
106,13.0,42377,0.962760700001226,42377,0.058425138803691795,0.01584378354046558,42377
107,7.0,42682,0.9624862000012351,42682,0.05876699102218034,0.016072252188946624,42682
108,13.0,42983,0.962215300001244,42983,0.0584694336592359,0.016486450206748274,42983
109,6.0,43330,0.9619030000012543,43330,0.05927923860656425,0.01794609357804189,43330
110,7.0,43601,0.9616591000012623,43601,0.05918289863975286,0.016754551362366556,43601
