EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
1001,32,0.99,30,2.5e-08,0.01
Date/Time Start,2019-03-19 21:31:12.681049
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,7.0,324,1.0,324,0.10856664072676206,0.0,324
1,6.0,691,1.0,691,0.1074202704250975,0.0,691
2,17.0,1052,0.9999532000000015,1052,0.1069105551926383,0.002342227926359117,1052
3,22.0,1362,0.9996742000000107,1362,0.10618186835800447,0.018128956957239536,1362
4,6.0,1735,0.9993385000000218,1735,0.10785093651859753,0.01900632715354556,1735
5,6.0,2201,0.9989191000000356,2201,0.10752170569715071,0.01783644409636395,2201
6,6.0,2589,0.9985699000000471,2589,0.10736153103872058,0.015424356494907808,2589
7,7.0,2876,0.9983116000000556,2876,0.10705827887880677,0.015686697089307998,2876
8,7.0,3261,0.997965100000067,3261,0.10772673930827674,0.014880388037168554,3261
9,8.0,3865,0.9974215000000849,3865,0.10801453715720713,0.01547738939808182,3865
10,7.0,4240,0.997084000000096,4240,0.10742749953269959,0.014955787014216185,4240
11,40.0,4841,0.9965431000001138,4841,0.10757725054828973,0.014361701134015836,4841
12,6.0,5212,0.9962092000001248,5212,0.10693916798923214,0.01644282726222032,5212
13,6.0,5518,0.9959338000001339,5518,0.10687985806878096,0.015707380381440195,5518
14,6.0,5889,0.9955999000001449,5889,0.10609355141130097,0.015172511223713664,5889
15,22.0,6376,0.9951616000001593,6376,0.10595609160480558,0.01573088638306628,6376
16,6.0,6707,0.9948637000001691,6707,0.10691345158930632,0.014957666736141162,6707
17,6.0,7097,0.9945127000001807,7097,0.10549545670166993,0.015672940452201054,7097
18,6.0,7420,0.9942220000001902,7420,0.10545576301521561,0.014841433954727907,7420
19,6.0,7808,0.9938728000002017,7808,0.10536096821126249,0.014671859120201204,7808
20,6.0,8143,0.9935713000002117,8143,0.10667176222178473,0.015283012446433084,8143
21,6.0,8451,0.9932941000002208,8451,0.10551081861478168,0.015721340746884898,8451
22,6.0,8850,0.9929350000002326,8850,0.10496191482496142,0.014508554190548981,8850
23,7.0,9137,0.9926767000002411,9137,0.10496531935726724,0.014041264423814957,9137
24,6.0,9436,0.99240760000025,9436,0.10513181431237671,0.014635646018825695,9436
25,6.0,9893,0.9919963000002635,9893,0.10425552528522729,0.014292408320675777,9893
26,6.0,10362,0.9915742000002774,10362,0.10461775942651956,0.01985130066038179,10362
27,6.0,10818,0.9911638000002909,10818,0.10461692126435146,0.021717271347848798,10818
28,21.0,11334,0.9906994000003062,11334,0.10291619230668213,0.021073003256216992,11334
29,6.0,11807,0.9902737000003202,11807,0.10402506378815995,0.020893291708074083,11807
30,22.0,12112,0.9899992000003293,12112,0.10557991432361916,0.02088724843638598,12112
31,6.0,12559,0.9895969000003425,12559,0.10435714729346951,0.023068741810876852,12559
32,6.0,13056,0.9891496000003572,13056,0.10429777825622251,0.020534886494166474,13056
33,25.0,13359,0.9888769000003662,13359,0.10406904338118267,0.02113863252250865,13359
34,7.0,13622,0.988640200000374,13622,0.1041374372268811,0.021480391214569825,13622
35,6.0,13925,0.988367500000383,13925,0.1042517829108553,0.02049801941106569,13925
36,6.0,14394,0.9879454000003969,14394,0.10392894058911277,0.021463225451685282,14394
37,7.0,14782,0.9875962000004084,14782,0.10476056545896013,0.020285968860784143,14782
38,6.0,15166,0.9872506000004198,15166,0.10421116766519845,0.021122104462847346,15166
39,6.0,15472,0.9869752000004288,15472,0.10465006854117306,0.020983574849559494,15472
40,6.0,15792,0.9866872000004383,15792,0.10427909987047315,0.02111995162558742,15792
41,7.0,16101,0.9864091000004475,16101,0.10467980968431362,0.021769707024844914,16101
42,6.0,16465,0.9860815000004582,16465,0.10408164417514434,0.02089570144544468,16465
43,6.0,16826,0.9857566000004689,16826,0.10365429848762761,0.02117019837884712,16826
44,27.0,17244,0.9853804000004813,17244,0.09998424821778347,0.020844674173466256,17244
45,6.0,17564,0.9850924000004908,17564,0.10397549271583557,0.02176700992786209,17564
46,6.0,18016,0.9846856000005042,18016,0.10403179619626134,0.021658930334105955,18016
47,6.0,18389,0.9843499000005153,18389,0.10312478106478903,0.021615595438195537,18389
48,7.0,18792,0.9839872000005272,18792,0.1042903915195548,0.02042019730156505,18792
49,7.0,19105,0.9837055000005365,19105,0.1043709347756526,0.0201477563431183,19105
50,6.0,19478,0.9833698000005475,19478,0.1036339948308372,0.020107415466052516,19478
51,6.0,19775,0.9831025000005563,19775,0.10441481848858823,0.019996149921695693,19775
52,21.0,20341,0.9825931000005731,20341,0.1048706398072386,0.02100792743328156,20341
53,6.0,20789,0.9821899000005864,20789,0.10350640297734312,0.020161797701023585,20789
54,21.0,21230,0.9817930000005994,21230,0.10469442051824798,0.01931646954671579,21230
55,7.0,21623,0.9814393000006111,21623,0.10352794441178859,0.021274185558169626,21623
56,23.0,22206,0.9809146000006284,22206,0.10580451911759417,0.020548553799884475,22206
57,6.0,22519,0.9806329000006376,22519,0.10338310057077164,0.022485668648974583,22519
58,6.0,22822,0.9803602000006466,22822,0.10385778489777751,0.019985269661378053,22822
