Date/Time Start,2019-03-15 09:11:22.001541
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,2.0,175,1.0,175,0.0025353902046169555,0.0,175
1,3.0,373,1.0,373,0.003150441567413509,0.0,373
2,3.0,640,1.0,640,8.806778285443112e-05,0.0,640
3,0.0,749,1.0,749,0.0021728709459714933,0.0,749
4,1.0,875,1.0,875,0.002342180275018253,0.0,875
5,2.0,1051,0.9999541000000015,1051,0.012646110823631963,0.001857355416591004,1051
6,4.0,1332,0.9997012000000098,1332,0.07609921451194006,0.006499713124828573,1332
7,3.0,1588,0.9994708000000174,1588,0.07374737356440164,0.00546948255521329,1588
8,3.0,1793,0.9992863000000235,1793,0.07546200279782458,0.0056910183055417915,1793
9,2.0,1963,0.9991333000000285,1963,0.08185664275113275,0.006636338094219408,1963
10,0.0,2073,0.9990343000000318,2073,0.07999773499640551,0.006459226679759344,2073
11,3.0,2305,0.9988255000000387,2305,0.07461509718720255,0.005163266345883538,2305
