EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-04-26 23:35:49.333223
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,421,1.0,421,0.0228417655796,0.0,421
1,6.0,1042,1.0,1042,0.02367683779,0.0,1042
2,9.0,1827,1.0,1827,0.0237626405993,0.0,1827
3,6.0,2472,1.0,2472,0.0231285495308,0.0,2472
4,8.0,3254,1.0,3254,0.0228776563825,0.0,3254
5,7.0,4014,1.0,4014,0.0227416760794,0.0,4014
6,7.0,4683,1.0,4683,0.0241473613026,0.0,4683
7,3.0,5086,1.0,5086,0.025475006227,0.0,5086
8,10.0,5867,1.0,5867,0.023324019083,0.0,5867
9,8.0,6667,1.0,6667,0.022928147928,0.0,6667
10,4.0,7062,1.0,7062,0.0247885119359,0.0,7062
11,6.0,7691,1.0,7691,0.0230622518554,0.0,7691
12,9.0,8494,1.0,8494,0.0235708760032,0.0,8494
13,9.0,9271,1.0,9271,0.0233354795864,0.0,9271
14,6.0,9908,1.0,9908,0.0232381923899,0.0,9908
15,3.0,10282,0.9997462000000084,10282,0.0297437526988,0.00354265534841,10282
16,9.0,11065,0.9990415000000316,11065,0.0455935603676,0.00562462094032,11065
17,6.0,11702,0.9984682000000504,11702,0.0458822546226,0.00596412618028,11702
18,12.0,12521,0.9977311000000747,12521,0.0463097552054,0.00539835917689,12521
19,9.0,13319,0.9970129000000983,13319,0.0453618886393,0.00540290442473,13319
20,13.0,14253,0.996172300000126,14253,0.0467972927976,0.00545589411959,14253
21,12.0,15124,0.9953884000001518,15124,0.0442323302604,0.00544353915507,15124
22,6.0,15764,0.9948124000001708,15764,0.0439939894568,0.00557616492467,15764
23,12.0,16582,0.994076200000195,16582,0.0487048786047,0.00591483609353,16582
24,6.0,17208,0.9935128000002136,17208,0.0432211835675,0.00581738184029,17208
25,11.0,18024,0.9927784000002378,18024,0.0471445497185,0.00567559539233,18024
26,16.0,19910,0.9910810000002936,19910,0.0422496689169,0.00544297167269,19910
27,4.0,20310,0.9907210000003055,20310,0.06713871649,0.00518832614396,20310
28,9.0,21116,0.9899956000003294,21116,0.0695530927876,0.00512893936384,21116
29,8.0,21891,0.9892981000003523,21891,0.0661806577684,0.00532534110265,21891
30,11.0,22704,0.9885664000003764,22704,0.0662820876873,0.00529966606812,22704
31,3.0,23085,0.9882235000003877,23085,0.0870178320941,0.00512685963773,23085
32,10.0,23867,0.9875197000004109,23867,0.0698144548046,0.00527219696012,23867
33,11.0,24712,0.9867592000004359,24712,0.0675544717829,0.00513446726436,24712
34,9.0,25488,0.9860608000004589,25488,0.0683756488275,0.00505169318524,25488
35,6.0,26109,0.9855019000004773,26109,0.0680305255508,0.00553121850512,26109
36,11.0,26915,0.9847765000005012,26915,0.0696847925966,0.00560469252231,26915
37,8.0,27679,0.9840889000005238,27679,0.0694578547392,0.0049167291149,27679
38,6.0,28301,0.9835291000005423,28301,0.0726774246656,0.00543622596673,28301
39,4.0,28704,0.9831664000005542,28704,0.0828724924207,0.00582186871596,28704
40,6.0,29353,0.9825823000005734,29353,0.0683740660812,0.00509134715291,29353
41,4.0,29744,0.982230400000585,29744,0.0858144249262,0.00539227956642,29744
42,6.0,30374,0.9816634000006037,30374,0.0778345182538,0.00514961385695,30374
43,3.0,30769,0.9813079000006154,30769,0.112626269526,0.00538290868828,30769
44,12.0,31592,0.9805672000006398,31592,0.0936565781114,0.00588558442275,31592
45,7.0,32267,0.9799597000006598,32267,0.0909592179016,0.00559790842651,32267
46,10.0,33051,0.979254100000683,33051,0.0913415712765,0.00513880778249,33051
47,10.0,33826,0.978556600000706,33826,0.0910073669856,0.00519187762119,33826
48,9.0,34605,0.9778555000007291,34605,0.091463816724,0.0052728930677,34605
49,4.0,34994,0.9775054000007406,34994,0.114993692823,0.00557139187829,34994
50,5.0,35389,0.9771499000007523,35389,0.110213616339,0.0055338518258,35389
51,6.0,36008,0.9765928000007706,36008,0.0889920652069,0.00529540167396,36008
52,5.0,36424,0.976218400000783,36424,0.102441944809,0.00501903125909,36424
53,14.0,37523,0.9752293000008155,37523,0.097024956091,0.00565465943521,37523
54,6.0,38141,0.9746731000008338,38141,0.0883301064661,0.00572099620878,38141
55,15.0,39080,0.9738280000008617,39080,0.0966816535487,0.00532417892316,39080
56,10.0,39845,0.9731395000008843,39845,0.0893044733558,0.00549544216006,39845
57,6.0,40473,0.972574300000903,40473,0.1160725436,0.00577489880577,40473
58,4.0,40862,0.9722242000009145,40862,0.151861848841,0.00599122702347,40862
59,5.0,41263,0.9718633000009264,41263,0.127701280318,0.0059321310954,41263
60,5.0,41673,0.9714943000009385,41673,0.123940520634,0.00514449414695,41673
61,6.0,42313,0.9709183000009575,42313,0.103682280239,0.00560127854824,42313
62,6.0,42938,0.970355800000976,42938,0.1053543475,0.00539517152973,42938
63,12.0,43770,0.9696070000010006,43770,0.105570093129,0.00544437749175,43770
64,10.0,44558,0.968897800001024,44558,0.111487103227,0.00586963171125,44558
65,10.0,45346,0.9681886000010473,45346,0.11386391021,0.00589616954469,45346
66,12.0,46166,0.9674506000010716,46166,0.108650241397,0.00576322320077,46166
67,6.0,46819,0.966862900001091,46819,0.11746052862,0.00540667750377,46819
68,11.0,47624,0.9661384000011148,47624,0.108015438331,0.00506264002611,47624
69,12.0,48458,0.9653878000011396,48458,0.110652325947,0.00541233733269,48458
70,6.0,49095,0.9648145000011584,49095,0.103683797514,0.00549712908099,49095
71,8.0,49871,0.9641161000011814,49871,0.111572221836,0.00566292174804,49871
72,11.0,50696,0.9633736000012059,50696,0.12285550837,0.00579261065355,50696
73,4.0,51071,0.963036100001217,51071,0.176865828812,0.00580079977618,51071
74,8.0,51859,0.9623269000012403,51859,0.133965534376,0.00574814570828,51859
75,5.0,52257,0.9619687000012521,52257,0.154611106559,0.00513018386227,52257
76,11.0,53039,0.9612649000012753,53039,0.132977246647,0.00557746293839,53039
77,9.0,53828,0.9605548000012987,53828,0.141634345274,0.00502914639096,53828
78,9.0,54603,0.9598573000013216,54603,0.136509489751,0.0056893059851,54603
79,3.0,54968,0.9595288000013324,54968,0.197571820949,0.00587441798689,54968
80,9.0,55756,0.9588196000013558,55756,0.13022778694,0.0055112592236,55756
81,5.0,56143,0.9584713000013673,56143,0.159436782086,0.00656264238089,56143
82,6.0,56797,0.9578827000013866,56797,0.120593605093,0.00494498572833,56797
83,11.0,57573,0.9571843000014096,57573,0.131275616476,0.00571108322173,57573
84,6.0,58188,0.9566308000014279,58188,0.123798607475,0.00549953630332,58188
85,12.0,59025,0.9558775000014527,59025,0.13483635194,0.00633865231829,59025
86,4.0,59419,0.9555229000014643,59419,0.177138271349,0.00518947992043,59419
87,11.0,60227,0.9547957000014883,60227,0.137577887873,0.00534182005483,60227
88,12.0,61084,0.9540244000015137,61084,0.152753400335,0.00596176367689,61084
89,11.0,61883,0.9533053000015373,61883,0.153369820825,0.00577480428817,61883
90,5.0,62288,0.9529408000015493,62288,0.180891467189,0.00626479431564,62288
91,9.0,63054,0.952251400001572,63054,0.161185134742,0.00611052665192,63054
92,9.0,63853,0.9515323000015957,63853,0.157266457622,0.00619149656939,63853
93,11.0,64662,0.9508042000016197,64662,0.162398831502,0.00489775831824,64662
94,5.0,65050,0.9504550000016312,65050,0.189779086576,0.0060346789897,65050
95,8.0,65833,0.9497503000016544,65833,0.16383738678,0.00563092691472,65833
96,12.0,66640,0.9490240000016783,66640,0.162539823085,0.00501120807416,66640
97,6.0,67274,0.9484534000016971,67274,0.140545769791,0.00515193920134,67274
98,3.0,67655,0.9481105000017084,67655,0.211607504176,0.0051828833579,67655
99,8.0,68442,0.9474022000017317,68442,0.155702450527,0.00597070659745,68442
100,6.0,69099,0.9468109000017512,69099,0.153037072867,0.00526720087937,69099
101,6.0,69745,0.9462295000017703,69745,0.164026680855,0.00552598929005,69745
102,6.0,70374,0.945663400001789,70374,0.18504439934,0.00540709611349,70374
103,17.0,71445,0.9446995000018207,71445,0.202419074908,0.00550604441883,71445
104,11.0,72234,0.9439894000018441,72234,0.185356820651,0.00556387235069,72234
105,6.0,72875,0.943412500001863,72875,0.185866186886,0.00628971091182,72875
106,6.0,73498,0.9428518000018815,73498,0.172489797078,0.00522945205578,73498
107,10.0,74327,0.9421057000019061,74327,0.207558070555,0.00522984610864,74327
108,6.0,74938,0.9415558000019242,74938,0.185265382834,0.00595794222669,74938
109,11.0,75742,0.940832200001948,75742,0.187506466136,0.00583591693118,75742
110,6.0,76372,0.9402652000019667,76372,0.174524120626,0.00531536192064,76372
111,6.0,77005,0.9396955000019854,77005,0.178711503844,0.0054656662225,77005
112,6.0,77634,0.9391294000020041,77634,0.171666040513,0.00555362263123,77634
113,7.0,78402,0.9384382000020268,78402,0.191312060604,0.0056323795922,78402
114,4.0,78786,0.9380926000020382,78786,0.234874607374,0.0051928261563,78786
115,17.0,79748,0.9372268000020667,79748,0.20232246681,0.00552774036949,79748
116,11.0,80551,0.9365041000020905,80551,0.229961625925,0.00588689485641,80551
117,7.0,81328,0.9358048000021135,81328,0.212141493894,0.0060023833597,81328
118,6.0,81955,0.9352405000021321,81955,0.187326336164,0.00557176941084,81955
119,6.0,82602,0.9346582000021513,82602,0.207419532707,0.00616595574106,82602
120,9.0,83372,0.9339652000021741,83372,0.210438901738,0.0059917778003,83372
121,6.0,84048,0.9333568000021941,84048,0.218859526814,0.00574886719116,84048
122,7.0,84690,0.9327790000022131,84690,0.204526543037,0.00548848631996,84690
123,6.0,85315,0.9322165000022317,85315,0.189014515465,0.0057120055735,85315
124,3.0,85713,0.9318583000022435,85713,0.272775204899,0.00543497090915,85713
125,6.0,86112,0.9314992000022553,86112,0.225974371456,0.00581845822525,86112
126,12.0,86974,0.9307234000022808,86974,0.19702174451,0.00578856292955,86974
127,7.0,87592,0.9301672000022991,87592,0.218052784505,0.00571317711957,87592
128,8.0,88381,0.9294571000023225,88381,0.213421001823,0.00554388179917,88381
129,8.0,89163,0.9287533000023457,89163,0.210117874915,0.00551916979144,89163
130,3.0,89556,0.9283996000023573,89556,0.261306181019,0.00646949980474,89556
131,9.0,90323,0.92770930000238,90323,0.210008777761,0.00555252176716,90323
132,3.0,90697,0.9273727000023911,90697,0.383023360037,0.00632092267619,90697
133,4.0,91092,0.9270172000024028,91092,0.269659328102,0.00515827230832,91092
134,8.0,91887,0.9263017000024264,91887,0.231435357325,0.00533051015803,91887
135,8.0,92655,0.9256105000024492,92655,0.225094071924,0.00577937755142,92655
136,4.0,93038,0.9252658000024605,93038,0.299930361053,0.00538473029693,93038
137,5.0,93444,0.9249004000024725,93444,0.236789717903,0.00534120504752,93444
138,9.0,94243,0.9241813000024962,94243,0.221754011345,0.00517363898566,94243
139,9.0,95032,0.9234712000025196,95032,0.226451106511,0.00578920216462,95032
140,12.0,95856,0.922729600002544,95856,0.235700146869,0.00568234157327,95856
141,6.0,96483,0.9221653000025626,96483,0.193876157097,0.0059000087269,96483
142,6.0,97130,0.9215830000025818,97130,0.197029618388,0.00569320012624,97130
143,14.0,98204,0.9206164000026136,98204,0.257723547719,0.00598355015654,98204
144,8.0,98989,0.9199099000026368,98989,0.23352420321,0.00545973167971,98989
145,7.0,99608,0.9193528000026552,99608,0.221928506012,0.00538818365105,99608
146,8.0,100412,0.918629200002679,100412,0.234240582611,0.00611471142575,100412
147,11.0,101194,0.9179254000027022,101194,0.24024661699,0.00550707061416,101194
148,10.0,101964,0.917232400002725,101964,0.246677670996,0.00629791183342,101964
149,7.0,102606,0.916654600002744,102606,0.238495794255,0.00580054016803,102606
150,3.0,102999,0.9163009000027557,102999,0.333564521171,0.00627422459813,102999
151,9.0,103769,0.9156079000027785,103769,0.249413713593,0.00560032200283,103769
152,10.0,104569,0.9148879000028022,104569,0.259276828095,0.00570980231744,104569
153,11.0,105374,0.914163400002826,105374,0.244227417387,0.0060728615155,105374
154,9.0,106162,0.9134542000028494,106162,0.249624930738,0.00576674907587,106162
155,6.0,106773,0.9129043000028675,106773,0.263469065453,0.00551468999266,106773
156,6.0,107417,0.9123247000028866,107417,0.285285665497,0.00575499576335,107417
157,10.0,108212,0.9116092000029101,108212,0.239902658765,0.0059728353035,108212
158,6.0,108861,0.9110251000029294,108861,0.222725030178,0.00559926945344,108861
159,6.0,109500,0.9104500000029483,109500,0.216105738448,0.00555844539909,109500
160,6.0,109887,0.9101017000029598,109887,0.27959099489,0.00612451772802,109887
161,10.0,110673,0.909394300002983,110673,0.269110129829,0.00556078711496,110673
162,6.0,111289,0.9088399000030013,111289,0.280739814745,0.00559117393394,111289
163,6.0,111923,0.9082693000030201,111923,0.276600882282,0.00570718163296,111923
164,10.0,112756,0.9075196000030448,112756,0.273027065692,0.00582371108908,112756
165,6.0,113394,0.9069454000030637,113394,0.215976485194,0.00517496901561,113394
166,9.0,114187,0.9062317000030872,114187,0.297071419995,0.00583933994957,114187
167,6.0,114825,0.9056575000031061,114825,0.219350028383,0.00591166272801,114825
168,11.0,115684,0.9048844000031315,115684,0.296996516281,0.00607275279761,115684
169,6.0,116322,0.9043102000031504,116322,0.266340247679,0.00610608701745,116322
170,10.0,117112,0.9035992000031738,117112,0.250450347699,0.00569712705498,117112
171,6.0,117739,0.9030349000031924,117739,0.277554327352,0.00546066938129,117739
172,4.0,118117,0.9026947000032036,118117,0.395479656914,0.00577431412944,118117
173,10.0,118897,0.9019927000032267,118897,0.244897307306,0.00534871288605,118897
174,10.0,119724,0.9012484000032512,119724,0.267325148622,0.00521309356803,119724
175,10.0,120515,0.9005365000032747,120515,0.282342757912,0.00532149180364,120515
176,6.0,121163,0.8999533000032939,121163,0.264410896986,0.00564276453485,121163
177,6.0,121802,0.8993782000033128,121802,0.301340669242,0.00546266912735,121802
178,6.0,122440,0.8988040000033317,122440,0.241932449506,0.00587267777999,122440
179,11.0,123237,0.8980867000033553,123237,0.265272274109,0.00606632624587,123237
180,11.0,124084,0.8973244000033804,124084,0.254532427634,0.00587061623876,124084
181,9.0,124857,0.8966287000034033,124857,0.28584386924,0.00558529922686,124857
182,11.0,125677,0.8958907000034276,125677,0.301968036024,0.0060631910772,125677
183,12.0,126470,0.8951770000034511,126470,0.26727195303,0.00541589287021,126470
184,8.0,127238,0.8944858000034739,127238,0.288836417885,0.00590228611194,127238
185,9.0,128051,0.893754100003498,128051,0.286098482635,0.00586451725316,128051
186,3.0,128428,0.8934148000035091,128428,0.393556495284,0.00525302961408,128428
187,3.0,128826,0.8930566000035209,128826,0.349052972118,0.00595083831571,128826
188,9.0,129598,0.8923618000035438,129598,0.255917169028,0.00571982198262,129598
189,6.0,130210,0.891811000003562,130210,0.357932574925,0.00577678665593,130210
190,10.0,130991,0.8911081000035851,130991,0.301994449665,0.00543392109878,130991
191,10.0,131808,0.8903728000036093,131808,0.317954581582,0.00551170636459,131808
192,11.0,132626,0.8896366000036335,132626,0.307001278087,0.00546564373405,132626
193,9.0,133415,0.8889265000036569,133415,0.326005440984,0.00547481333853,133415
194,6.0,134059,0.888346900003676,134059,0.261977777383,0.00533474273027,134059
195,6.0,134665,0.887801500003694,134665,0.381216985668,0.00509289425798,134665
196,12.0,135475,0.887072500003718,135475,0.303615228974,0.00497315929463,135475
197,11.0,136325,0.8863075000037431,136325,0.320325339349,0.00585443011507,136325
198,7.0,137001,0.8856991000037632,137001,0.33110940323,0.00612340131916,137001
199,21.0,138351,0.8844841000038032,138351,0.334128237212,0.0056135002679,138351
200,4.0,138748,0.8841268000038149,138748,0.356074496484,0.00570698868225,138748
201,11.0,139541,0.8834131000038384,139541,0.289144349889,0.00536278233077,139541
202,4.0,139934,0.8830594000038501,139934,0.365454940509,0.00606821214633,139934
203,9.0,140709,0.882361900003873,140709,0.329585214709,0.0059554959677,140709
204,9.0,141478,0.8816698000038958,141478,0.341948087285,0.00558822724428,141478
205,12.0,142331,0.8809021000039211,142331,0.352403128037,0.00572223250619,142331
206,9.0,143125,0.8801875000039446,143125,0.303219493629,0.0055990001446,143125
207,4.0,143531,0.8798221000039567,143531,0.409142340621,0.00600416826712,143531
208,4.0,143926,0.8794666000039684,143926,0.404394879334,0.0059476239781,143926
209,10.0,144735,0.8787385000039923,144735,0.305701150017,0.00585781302571,144735
210,9.0,145493,0.8780563000040148,145493,0.300065471248,0.00574649165789,145493
211,12.0,146344,0.87729040000404,146344,0.328945217748,0.00589079018078,146344
212,6.0,146998,0.8767018000040594,146998,0.348277116747,0.00544540097533,146998
213,10.0,147778,0.8759998000040825,147778,0.376637074581,0.00603797915339,147778
214,3.0,148162,0.8756542000040939,148162,0.411457749627,0.00575289159262,148162
215,10.0,148987,0.8749117000041183,148987,0.352934942661,0.00586097232723,148987
216,9.0,149790,0.8741890000041421,149790,0.325437513803,0.00574243039383,149790
217,11.0,150584,0.8734744000041657,150584,0.34510116814,0.00563869788266,150584
218,11.0,151427,0.8727157000041906,151427,0.322953028748,0.00623228383338,151427
219,6.0,152031,0.8721721000042085,152031,0.438794551343,0.00594546060429,152031
220,7.0,152806,0.8714746000042315,152806,0.421964570274,0.00657865839984,152806
221,6.0,153425,0.8709175000042498,153425,0.295918602021,0.00609520096583,153425
222,11.0,154256,0.8701696000042745,154256,0.342845024516,0.00587958811031,154256
223,8.0,155041,0.8694631000042977,155041,0.330023723544,0.0054462989029,155041
224,8.0,155812,0.8687692000043206,155812,0.359391688904,0.00545910941404,155812
225,4.0,156196,0.8684236000043319,156196,0.418555130425,0.00567765787275,156196
226,11.0,157003,0.8676973000043559,157003,0.347788455586,0.00545702912137,157003
227,6.0,157664,0.8671024000043754,157664,0.317572594467,0.00548498571023,157664
228,3.0,158047,0.8667577000043868,158047,0.495934705996,0.00583036544614,158047
229,6.0,158448,0.8663968000043987,158448,0.354804574997,0.0056497293534,158448
230,6.0,159081,0.8658271000044174,159081,0.28163055726,0.00624827141206,159081
231,6.0,159757,0.8652187000044375,159757,0.350867792755,0.00469437611682,159757
232,4.0,160144,0.8648704000044489,160144,0.410578374022,0.00580453232434,160144
233,6.0,160771,0.8643061000044675,160771,0.341652585345,0.00665843315055,160771
234,5.0,161188,0.8639308000044799,161188,0.365848568275,0.00563489744599,161188
235,11.0,161984,0.8632144000045034,161984,0.353394115812,0.00563424903344,161984
236,7.0,162639,0.8626249000045229,162639,0.315272692187,0.00527259064987,162639
