EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,2.5e-09,0.01
Date/Time Start,2019-04-22 21:18:43.553447
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,637,1.0,637,0.0234761620211,0.0,637
1,10.0,1409,1.0,1409,0.0241120812812,0.0,1409
2,9.0,2199,1.0,2199,0.023574528615,0.0,2199
3,5.0,2838,1.0,2838,0.0234369911379,0.0,2838
4,5.0,3236,1.0,3236,0.0256712204454,0.0,3236
5,6.0,3875,1.0,3875,0.024061573536,0.0,3875
6,6.0,4518,1.0,4518,0.0240661805745,0.0,4518
7,10.0,5283,1.0,5283,0.0233327738837,0.0,5283
8,7.0,5906,1.0,5906,0.0230262446476,0.0,5906
9,6.0,6559,1.0,6559,0.0231323181862,0.0,6559
10,11.0,7363,1.0,7363,0.0243456268194,0.0,7363
11,6.0,8005,1.0,8005,0.0223173215678,0.0,8005
12,6.0,8615,1.0,8615,0.0244611780308,0.0,8615
13,5.0,9008,1.0,9008,0.0256290083452,0.0,9008
14,9.0,9797,1.0,9797,0.0239477966778,0.0,9797
15,12.0,10617,0.9994447000000183,10617,0.0237598723292,0.00499749328808,10617
16,10.0,11407,0.9987337000000417,11407,0.0235504605088,0.00648332288057,11407
17,11.0,12258,0.9979678000000669,12258,0.0254452190943,0.00680606921092,12258
18,6.0,12887,0.9974017000000855,12887,0.0235451495198,0.00683196052931,12887
19,9.0,13662,0.9967042000001085,13662,0.0238055031897,0.00701470343295,13662
20,4.0,14063,0.9963433000001204,14063,0.0255936739195,0.00605055125734,14063
21,10.0,14845,0.9956395000001436,14845,0.0246433193153,0.0068453771344,14845
22,11.0,15617,0.9949447000001664,15617,0.0229290776483,0.00721433728414,15617
23,6.0,16282,0.9943462000001861,16282,0.0254332953551,0.00742899672442,16282
24,11.0,17112,0.9935992000002107,17112,0.0249954235375,0.00621374517091,17112
25,3.0,17494,0.993255400000222,17494,0.0255207141242,0.00671626503731,17494
26,4.0,17882,0.9929062000002336,17882,0.0260834218382,0.00653561600191,17882
27,6.0,18531,0.9923221000002528,18531,0.0235387403346,0.00674902426441,18531
28,5.0,18932,0.9919612000002647,18932,0.0253716538941,0.00769961200211,18932
29,12.0,19751,0.9912241000002889,19751,0.0237065555427,0.00636585114403,19751
30,6.0,20385,0.9906535000003077,20385,0.0234789594116,0.00648791353876,20385
31,6.0,21040,0.9900640000003271,21040,0.0230306385,0.00661989074829,21040
32,6.0,21684,0.9894844000003462,21684,0.0238362876735,0.00711434821915,21684
33,9.0,22461,0.9887851000003692,22461,0.0251543496066,0.00687354416735,22461
34,4.0,22860,0.988426000000381,22860,0.0264089212176,0.0064468286157,22860
35,7.0,23503,0.9878473000004001,23503,0.0237834042997,0.00682141899303,23503
36,12.0,24342,0.987092200000425,24342,0.023261861569,0.00702401537903,24342
37,9.0,25106,0.9864046000004476,25106,0.0244268662749,0.00703536216643,25106
38,6.0,25725,0.985847500000466,25725,0.0213865463758,0.00672810252457,25725
39,10.0,26514,0.9851374000004893,26514,0.0254725801773,0.00627882840958,26514
40,4.0,26883,0.9848053000005003,26883,0.0242638687949,0.00646028508666,26883
41,12.0,27702,0.9840682000005245,27702,0.0228501833959,0.00655365647462,27702
42,9.0,28499,0.9833509000005481,28499,0.0248296374813,0.00707651019783,28499
43,6.0,29121,0.9827911000005666,29121,0.0218925756819,0.00605788245133,29121
44,9.0,29908,0.9820828000005899,29908,0.0253733530625,0.00690161886563,29908
45,11.0,30738,0.9813358000006145,30738,0.0248518851762,0.00700050064521,30738
46,4.0,31120,0.9809920000006258,31120,0.0259811642619,0.0074655971961,31120
47,9.0,31906,0.9802846000006491,31906,0.0222882465891,0.00684505760087,31906
48,5.0,32293,0.9799363000006606,32293,0.0252695833321,0.0062297724929,32293
49,6.0,32926,0.9793666000006793,32926,0.0242911827711,0.00636495624348,32926
50,9.0,33701,0.9786691000007023,33701,0.0251026637537,0.00704332853701,33701
51,10.0,34549,0.9779059000007274,34549,0.023928692588,0.0070848675138,34549
52,10.0,35324,0.9772084000007504,35324,0.0201577590433,0.00654640328428,35324
53,8.0,36108,0.9765028000007736,36108,0.0253923484249,0.0065933492356,36108
54,11.0,36947,0.9757477000007985,36947,0.0249440123353,0.00678629980368,36947
55,9.0,37744,0.9750304000008221,37744,0.0212979201132,0.00675093390758,37744
56,11.0,38569,0.9742879000008465,38569,0.0245987553387,0.00640101464063,38569
57,3.0,38943,0.9739513000008576,38943,0.0251675583323,0.00736318639978,38943
58,5.0,39315,0.9736165000008686,39315,0.0242559238317,0.00606684255145,39315
59,6.0,39942,0.9730522000008872,39942,0.023818079273,0.00709830506988,39942
60,4.0,40344,0.9726904000008991,40344,0.025323417837,0.006345406755,40344
61,6.0,40975,0.9721225000009178,40975,0.0227648052686,0.00744526143955,40975
62,10.0,41771,0.9714061000009414,41771,0.0243147885393,0.00694512375743,41771
63,5.0,42155,0.9710605000009528,42155,0.023635814044,0.00701597022582,42155
64,3.0,42553,0.9707023000009646,42553,0.0257272961849,0.00722220960363,42553
65,4.0,42930,0.9703630000009758,42930,0.0247661997527,0.00683899019128,42930
66,11.0,43779,0.9695989000010009,43779,0.0248319514464,0.00644185176339,43779
67,12.0,44618,0.9688438000010258,44618,0.0217184141712,0.00648792775038,44618
68,11.0,45454,0.9680914000010505,45454,0.0219457492134,0.00698893000736,45454
69,6.0,46238,0.9673858000010738,46238,0.0250910170084,0.00688699605431,46238
70,8.0,47003,0.9666973000010964,47003,0.0240642467614,0.00709372071227,47003
71,6.0,47637,0.9661267000011152,47637,0.0249786543383,0.0073841707108,47637
72,11.0,48523,0.9653293000011415,48523,0.0241754198879,0.00659550015508,48523
73,4.0,48913,0.964978300001153,48913,0.0239525796917,0.00766381841759,48913
74,9.0,49685,0.9642835000011759,49685,0.0239960690734,0.00705468881921,49685
75,5.0,50078,0.9639298000011876,50078,0.0262480386279,0.00725460790424,50078
76,14.0,51008,0.9630928000012151,51008,0.0201943953649,0.0071455618948,51008
77,5.0,51409,0.962731900001227,51409,0.0241764811288,0.00691923019693,51409
78,8.0,52196,0.9620236000012503,52196,0.0246060544896,0.00644593001282,52196
79,9.0,52958,0.9613378000012729,52958,0.0233773391885,0.00669379693745,52958
80,5.0,53576,0.9607816000012912,53576,0.0239319203468,0.00696661129208,53576
81,6.0,54219,0.9602029000013103,54219,0.0214628822226,0.00733352685908,54219
