EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,5e-09,0.01
Date/Time Start,2019-04-13 09:17:21.723987
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,5.0,387,1.0,387,0.0294507231169,0.0,387
1,18.0,2292,1.0,2292,0.030408210127,0.0,2292
2,9.0,3054,1.0,3054,0.0323286207852,0.0,3054
3,3.0,3441,1.0,3441,0.0297390540258,0.0,3441
4,10.0,4217,1.0,4217,0.0320311246929,0.0,4217
5,4.0,4613,1.0,4613,0.0295889107134,0.0,4613
6,6.0,5233,1.0,5233,0.0325794655019,0.0,5233
7,6.0,5912,1.0,5912,0.0324394824463,0.0,5912
8,6.0,6323,1.0,6323,0.029460380017,0.0,6323
9,10.0,7151,1.0,7151,0.0317876008204,0.0,7151
10,11.0,7972,1.0,7972,0.0331874946552,0.0,7972
11,11.0,8784,1.0,8784,0.0318476131457,0.0,8784
12,4.0,9175,1.0,9175,0.0296160888041,0.0,9175
13,6.0,9786,1.0,9786,0.0332076790363,0.0,9786
14,11.0,10605,0.9994555000000179,10605,0.0328342055297,0.00423355129896,10605
15,9.0,11394,0.9987454000000413,11394,0.0328795049052,0.00615009658969,11394
16,3.0,11766,0.9984106000000523,11766,0.0324179552876,0.00514076169257,11766
17,17.0,13064,0.9972424000000908,13064,0.0314380902013,0.00577410612898,13064
18,8.0,13844,0.9965404000001139,13844,0.0319699847283,0.00678564597526,13844
19,4.0,14243,0.9961813000001257,14243,0.0301819165426,0.00627273231606,14243
20,6.0,14865,0.9956215000001442,14865,0.0327182622638,0.0063644825635,14865
21,9.0,15634,0.9949294000001669,15634,0.0330921415584,0.00533217612436,15634
22,9.0,16422,0.9942202000001903,16422,0.0318447873162,0.00580433993464,16422
23,11.0,17222,0.993500200000214,17222,0.0314289022819,0.00622089893139,17222
24,4.0,17609,0.9931519000002255,17609,0.0295055247121,0.00636066058393,17609
25,11.0,18429,0.9924139000002498,18429,0.0316685009316,0.00647450361657,18429
26,7.0,19194,0.9917254000002724,19194,0.0321609178741,0.00604908039725,19194
27,8.0,19978,0.9910198000002957,19978,0.0320916436589,0.00668137240275,19978
28,15.0,21050,0.9900550000003274,21050,0.0301314195559,0.00636557842725,21050
29,8.0,21833,0.9893503000003506,21833,0.031886163195,0.00623499424684,21833
30,19.0,23697,0.9876727000004059,23697,0.0315828943873,0.00605010111963,23697
31,9.0,24476,0.9869716000004289,24476,0.0325958153761,0.00613861399952,24476
32,8.0,25252,0.9862732000004519,25252,0.0337621595389,0.00639481636559,25252
33,9.0,26036,0.9855676000004752,26036,0.0320512965602,0.00576911497722,26036
34,9.0,26835,0.9848485000004988,26835,0.0324047652536,0.00626087603597,26835
35,8.0,27615,0.984146500000522,27615,0.0329915543039,0.00604255358429,27615
36,5.0,28005,0.9837955000005335,28005,0.0300236054242,0.00630653439006,28005
37,8.0,28780,0.9830980000005565,28780,0.0320367781505,0.00620372399605,28780
38,6.0,29430,0.9825130000005757,29430,0.0312551813286,0.00628890793426,29430
39,10.0,30207,0.9818137000005988,30207,0.0327455279162,0.0064524672063,30207
40,9.0,30995,0.9811045000006221,30995,0.0322278131811,0.00638206588871,30995
41,6.0,31663,0.9805033000006419,31663,0.0321131184903,0.00595533473866,31663
42,10.0,32479,0.9797689000006661,32479,0.0322609339206,0.00598743013407,32479
43,9.0,33248,0.9790768000006889,33248,0.0341237240891,0.00638906547548,33248
44,11.0,34062,0.978344200000713,34062,0.0321965395777,0.00659599508375,34062
45,3.0,34453,0.9779923000007246,34453,0.0299599622436,0.00571419517062,34453
46,5.0,34818,0.9776638000007354,34818,0.0328600521212,0.00612245632829,34818
47,9.0,35596,0.9769636000007584,35596,0.0332323461963,0.00597142873446,35596
48,6.0,36257,0.976368700000778,36257,0.0314214520872,0.00651342842656,36257
49,10.0,37078,0.9756298000008023,37078,0.0316197634487,0.00578707640512,37078
50,5.0,37483,0.9752653000008144,37483,0.0300786520918,0.00641857420028,37483
51,14.0,38586,0.974272600000847,38586,0.0317660305887,0.00590402779038,38586
52,11.0,39377,0.9735607000008705,39377,0.031174932271,0.00684103971419,39377
53,11.0,40268,0.9727588000008969,40268,0.0327340547041,0.00639199776505,40268
54,8.0,41044,0.9720604000009199,41044,0.0318713749605,0.00563131349089,41044
55,9.0,41833,0.9713503000009432,41833,0.0325201005428,0.00579847147726,41833
56,8.0,42616,0.9706456000009664,42616,0.0321921219866,0.00623828520868,42616
57,4.0,43012,0.9702892000009782,43012,0.0297426291309,0.00591064404934,43012
58,2.0,43386,0.9699526000009893,43386,0.0320519045105,0.0050915605987,43386
59,5.0,43778,0.9695998000010009,43778,0.0300977061911,0.00619958807414,43778
60,6.0,44414,0.9690274000010197,44414,0.0324942700172,0.00629589123141,44414
61,8.0,45198,0.968321800001043,45198,0.0348197217099,0.00581234182045,45198
62,5.0,45586,0.9679726000010545,45586,0.0307815326618,0.00552083644746,45586
63,4.0,45979,0.9676189000010661,45979,0.0296505864511,0.00626679046646,45979
64,7.0,46618,0.967043800001085,46618,0.0315011146395,0.00612583783655,46618
65,8.0,47408,0.9663328000011084,47408,0.0335967727807,0.00637037673292,47408
66,8.0,48186,0.9656326000011315,48186,0.0317583455486,0.00635625783924,48186
67,6.0,48836,0.9650476000011508,48836,0.0318017021767,0.00599855250366,48836
68,16.0,49776,0.9642016000011786,49776,0.0352109580935,0.00588817360085,49776
69,9.0,50549,0.9635059000012015,50549,0.0323103790643,0.00660909139733,50549
70,4.0,50932,0.9631612000012129,50932,0.0295641665291,0.00609657721828,50932
71,3.0,51323,0.9628093000012244,51323,0.0300844036795,0.00596845471517,51323
72,11.0,52160,0.9620560000012492,52160,0.0350129743671,0.0056084061928,52160
73,7.0,52942,0.9613522000012724,52942,0.0335835329498,0.00625892777331,52942
74,10.0,53721,0.9606511000012955,53721,0.0335708552438,0.00626337444263,53721
75,6.0,54363,0.9600733000013145,54363,0.0314719769204,0.00626037125087,54363
76,10.0,55150,0.9593650000013378,55150,0.0327343090569,0.00650430632351,55150
77,12.0,55954,0.9586414000013617,55954,0.0319887560941,0.00612379845234,55954
78,11.0,56789,0.9578899000013864,56789,0.0326972660737,0.00687619929099,56789
79,10.0,57566,0.9571906000014094,57566,0.0322343439962,0.00610456920444,57566
80,8.0,58358,0.9564778000014329,58358,0.0345582260064,0.00603382936182,58358
81,6.0,58996,0.9559036000014518,58996,0.0330794607421,0.0066724744567,58996
82,5.0,59405,0.9555355000014639,59405,0.0309328776135,0.00654681362528,59405
83,9.0,60213,0.9548083000014879,60213,0.0325086935986,0.00597100694286,60213
84,11.0,61004,0.9540964000015113,61004,0.0322132884335,0.00659249494365,61004
85,11.0,61808,0.9533728000015351,61808,0.0324530766904,0.00622012572038,61808
86,6.0,62427,0.9528157000015535,62427,0.032838132094,0.0065728215355,62427
87,6.0,63071,0.9522361000015725,63071,0.0328045603009,0.00606129098464,63071
88,6.0,63705,0.9516655000015913,63705,0.0318392215338,0.00580396491093,63705
89,5.0,64090,0.9513190000016027,64090,0.0311505914557,0.00624317463208,64090
90,4.0,64474,0.9509734000016141,64474,0.0302404504716,0.0067908624178,64474
91,4.0,64858,0.9506278000016255,64858,0.0297183801061,0.00605284140962,64858
92,6.0,65488,0.9500608000016442,65488,0.0324245744222,0.0060735454324,65488
93,11.0,66295,0.9493345000016681,66295,0.0326164529752,0.00590130377342,66295
